# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
46.172.224.0/19,46.172.224.0,46.172.255.255,19,255.255.224.0,8192
46.175.156.0/22,46.175.156.0,46.175.159.255,22,255.255.252.0,1024
80.80.84.0/22,80.80.84.0,80.80.87.255,22,255.255.252.0,1024
80.80.92.0/22,80.80.92.0,80.80.95.255,22,255.255.252.0,1024
85.94.160.0/19,85.94.160.0,85.94.191.255,19,255.255.224.0,8192
89.150.2.0/23,89.150.2.0,89.150.3.255,23,255.255.254.0,512
89.150.4.0/22,89.150.4.0,89.150.7.255,22,255.255.252.0,1024
89.150.8.0/21,89.150.8.0,89.150.15.255,21,255.255.248.0,2048
91.187.64.0/19,91.187.64.0,91.187.95.255,19,255.255.224.0,8192
94.125.138.0/23,94.125.138.0,94.125.139.255,23,255.255.254.0,512
94.125.140.0/23,94.125.140.0,94.125.141.255,23,255.255.254.0,512
109.111.96.0/19,109.111.96.0,109.111.127.255,19,255.255.224.0,8192
185.4.52.0/22,185.4.52.0,185.4.55.255,22,255.255.252.0,1024
185.33.0.0/22,185.33.0.0,185.33.3.255,22,255.255.252.0,1024
185.87.36.0/22,185.87.36.0,185.87.39.255,22,255.255.252.0,1024
185.87.40.0/21,185.87.40.0,185.87.47.255,21,255.255.248.0,2048
185.132.200.0/22,185.132.200.0,185.132.203.255,22,255.255.252.0,1024
185.194.56.0/22,185.194.56.0,185.194.59.255,22,255.255.252.0,1024
185.247.24.0/22,185.247.24.0,185.247.27.255,22,255.255.252.0,1024
188.241.26.0/23,188.241.26.0,188.241.27.255,23,255.255.254.0,512
194.158.64.0/19,194.158.64.0,194.158.95.255,19,255.255.224.0,8192
213.236.8.0/21,213.236.8.0,213.236.15.255,21,255.255.248.0,2048
