# CIDR,network(start) address,end address,prefix,subnet mask
2.48.0.0/14,2.48.0.0,2.51.255.255,14,255.252.0.0
2.56.16.0/22,2.56.16.0,2.56.19.255,22,255.255.252.0
2.56.240.0/22,2.56.240.0,2.56.243.255,22,255.255.252.0
2.57.16.0/21,2.57.16.0,2.57.23.255,21,255.255.248.0
2.57.148.0/22,2.57.148.0,2.57.151.255,22,255.255.252.0
2.57.240.0/22,2.57.240.0,2.57.243.255,22,255.255.252.0
2.58.28.0/22,2.58.28.0,2.58.31.255,22,255.255.252.0
2.58.96.0/22,2.58.96.0,2.58.99.255,22,255.255.252.0
2.58.172.0/22,2.58.172.0,2.58.175.255,22,255.255.252.0
2.59.0.0/22,2.59.0.0,2.59.3.255,22,255.255.252.0
2.59.40.0/22,2.59.40.0,2.59.43.255,22,255.255.252.0
2.59.212.0/22,2.59.212.0,2.59.215.255,22,255.255.252.0
5.30.0.0/15,5.30.0.0,5.31.255.255,15,255.254.0.0
5.32.0.0/17,5.32.0.0,5.32.127.255,17,255.255.128.0
5.38.0.0/17,5.38.0.0,5.38.127.255,17,255.255.128.0
5.45.36.0/22,5.45.36.0,5.45.39.255,22,255.255.252.0
5.53.96.0/21,5.53.96.0,5.53.103.255,21,255.255.248.0
5.83.112.0/21,5.83.112.0,5.83.119.255,21,255.255.248.0
5.107.0.0/16,5.107.0.0,5.107.255.255,16,255.255.0.0
5.133.80.0/22,5.133.80.0,5.133.83.255,22,255.255.252.0
5.133.108.0/22,5.133.108.0,5.133.111.255,22,255.255.252.0
5.152.248.0/21,5.152.248.0,5.152.255.255,21,255.255.248.0
5.180.16.0/22,5.180.16.0,5.180.19.255,22,255.255.252.0
5.181.12.0/22,5.181.12.0,5.181.15.255,22,255.255.252.0
5.181.124.0/22,5.181.124.0,5.181.127.255,22,255.255.252.0
5.181.128.0/21,5.181.128.0,5.181.135.255,21,255.255.248.0
5.182.24.0/22,5.182.24.0,5.182.27.255,22,255.255.252.0
5.182.108.0/22,5.182.108.0,5.182.111.255,22,255.255.252.0
5.182.124.0/22,5.182.124.0,5.182.127.255,22,255.255.252.0
5.183.152.0/22,5.183.152.0,5.183.155.255,22,255.255.252.0
5.192.0.0/14,5.192.0.0,5.195.255.255,14,255.252.0.0
5.252.68.0/22,5.252.68.0,5.252.71.255,22,255.255.252.0
5.252.72.0/21,5.252.72.0,5.252.79.255,21,255.255.248.0
5.252.80.0/22,5.252.80.0,5.252.83.255,22,255.255.252.0
5.252.160.0/22,5.252.160.0,5.252.163.255,22,255.255.252.0
5.253.200.0/22,5.253.200.0,5.253.203.255,22,255.255.252.0
31.24.253.0/24,31.24.253.0,31.24.253.255,24,255.255.255.0
