# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.88.192.0/19,23.88.192.0,23.88.223.255,19,255.255.224.0,8192
36.50.21.0/24,36.50.21.0,36.50.21.255,24,255.255.255.0,256
43.230.209.0/24,43.230.209.0,43.230.209.255,24,255.255.255.0,256
43.250.136.0/22,43.250.136.0,43.250.139.255,22,255.255.252.0,1024
45.65.56.0/22,45.65.56.0,45.65.59.255,22,255.255.252.0,1024
45.116.128.0/23,45.116.128.0,45.116.129.255,23,255.255.254.0,512
45.126.253.0/24,45.126.253.0,45.126.253.255,24,255.255.255.0,256
58.147.128.0/19,58.147.128.0,58.147.159.255,19,255.255.224.0,8192
59.153.124.0/22,59.153.124.0,59.153.127.255,22,255.255.252.0,1024
61.5.192.0/20,61.5.192.0,61.5.207.255,20,255.255.240.0,4096
64.207.208.0/21,64.207.208.0,64.207.215.255,21,255.255.248.0,2048
64.224.144.0/20,64.224.144.0,64.224.159.255,20,255.255.240.0,4096
74.118.80.0/22,74.118.80.0,74.118.83.255,22,255.255.252.0,1024
91.109.216.0/21,91.109.216.0,91.109.223.255,21,255.255.248.0,2048
103.5.172.0/22,103.5.172.0,103.5.175.255,22,255.255.252.0,1024
103.13.64.0/22,103.13.64.0,103.13.67.255,22,255.255.252.0,1024
103.15.38.0/24,103.15.38.0,103.15.38.255,24,255.255.255.0,256
103.15.238.0/23,103.15.238.0,103.15.239.255,23,255.255.254.0,512
103.17.60.0/22,103.17.60.0,103.17.63.255,22,255.255.252.0,1024
103.17.165.0/24,103.17.165.0,103.17.165.255,24,255.255.255.0,256
103.17.166.0/23,103.17.166.0,103.17.167.255,23,255.255.254.0,512
103.18.160.0/22,103.18.160.0,103.18.163.255,22,255.255.252.0,1024
103.23.36.0/22,103.23.36.0,103.23.39.255,22,255.255.252.0,1024
103.28.132.0/22,103.28.132.0,103.28.135.255,22,255.255.252.0,1024
103.30.136.0/22,103.30.136.0,103.30.139.255,22,255.255.252.0,1024
103.42.0.0/22,103.42.0.0,103.42.3.255,22,255.255.252.0,1024
103.46.208.0/22,103.46.208.0,103.46.211.255,22,255.255.252.0,1024
103.53.16.0/22,103.53.16.0,103.53.19.255,22,255.255.252.0,1024
103.53.24.0/22,103.53.24.0,103.53.27.255,22,255.255.252.0,1024
103.71.59.0/24,103.71.59.0,103.71.59.255,24,255.255.255.0,256
103.84.97.0/24,103.84.97.0,103.84.97.255,24,255.255.255.0,256
103.86.124.0/22,103.86.124.0,103.86.127.255,22,255.255.252.0,1024
103.87.88.0/24,103.87.88.0,103.87.88.255,24,255.255.255.0,256
103.88.192.0/22,103.88.192.0,103.88.195.255,22,255.255.252.0,1024
103.89.152.0/23,103.89.152.0,103.89.153.255,23,255.255.254.0,512
103.93.254.0/24,103.93.254.0,103.93.254.255,24,255.255.255.0,256
103.94.24.0/23,103.94.24.0,103.94.25.255,23,255.255.254.0,512
103.96.233.0/24,103.96.233.0,103.96.233.255,24,255.255.255.0,256
103.102.220.0/23,103.102.220.0,103.102.221.255,23,255.255.254.0,512
103.104.146.0/23,103.104.146.0,103.104.147.255,23,255.255.254.0,512
103.106.182.0/24,103.106.182.0,103.106.182.255,24,255.255.255.0,256
103.110.53.0/24,103.110.53.0,103.110.53.255,24,255.255.255.0,256
103.110.54.0/23,103.110.54.0,103.110.55.255,23,255.255.254.0,512
103.112.164.0/22,103.112.164.0,103.112.167.255,22,255.255.252.0,1024
103.112.177.0/24,103.112.177.0,103.112.177.255,24,255.255.255.0,256
103.112.178.0/23,103.112.178.0,103.112.179.255,23,255.255.254.0,512
103.114.128.0/23,103.114.128.0,103.114.129.255,23,255.255.254.0,512
103.115.14.0/23,103.115.14.0,103.115.15.255,23,255.255.254.0,512
103.116.25.0/24,103.116.25.0,103.116.25.255,24,255.255.255.0,256
103.119.24.0/22,103.119.24.0,103.119.27.255,22,255.255.252.0,1024
103.125.186.0/24,103.125.186.0,103.125.186.255,24,255.255.255.0,256
103.126.4.0/23,103.126.4.0,103.126.5.255,23,255.255.254.0,512
103.132.98.0/23,103.132.98.0,103.132.99.255,23,255.255.254.0,512
103.133.75.0/24,103.133.75.0,103.133.75.255,24,255.255.255.0,256
103.133.82.0/23,103.133.82.0,103.133.83.255,23,255.255.254.0,512
103.139.179.0/24,103.139.179.0,103.139.179.255,24,255.255.255.0,256
103.142.212.0/23,103.142.212.0,103.142.213.255,23,255.255.254.0,512
103.143.204.0/23,103.143.204.0,103.143.205.255,23,255.255.254.0,512
103.144.237.0/24,103.144.237.0,103.144.237.255,24,255.255.255.0,256
103.146.104.0/24,103.146.104.0,103.146.104.255,24,255.255.255.0,256
103.146.146.0/24,103.146.146.0,103.146.146.255,24,255.255.255.0,256
103.146.198.0/24,103.146.198.0,103.146.198.255,24,255.255.255.0,256
103.147.232.0/23,103.147.232.0,103.147.233.255,23,255.255.254.0,512
103.148.70.0/23,103.148.70.0,103.148.71.255,23,255.255.254.0,512
103.149.39.0/24,103.149.39.0,103.149.39.255,24,255.255.255.0,256
103.151.88.0/24,103.151.88.0,103.151.88.255,24,255.255.255.0,256
103.153.80.0/24,103.153.80.0,103.153.80.255,24,255.255.255.0,256
103.156.190.0/23,103.156.190.0,103.156.191.255,23,255.255.254.0,512
103.157.85.0/24,103.157.85.0,103.157.85.255,24,255.255.255.0,256
103.159.163.0/24,103.159.163.0,103.159.163.255,24,255.255.255.0,256
103.161.236.0/23,103.161.236.0,103.161.237.255,23,255.255.254.0,512
103.162.126.0/24,103.162.126.0,103.162.126.255,24,255.255.255.0,256
103.165.190.0/23,103.165.190.0,103.165.191.255,23,255.255.254.0,512
103.168.193.0/24,103.168.193.0,103.168.193.255,24,255.255.255.0,256
103.170.98.0/23,103.170.98.0,103.170.99.255,23,255.255.254.0,512
103.177.206.0/23,103.177.206.0,103.177.207.255,23,255.255.254.0,512
103.185.231.0/24,103.185.231.0,103.185.231.255,24,255.255.255.0,256
103.212.160.0/23,103.212.160.0,103.212.161.255,23,255.255.254.0,512
103.213.104.0/22,103.213.104.0,103.213.107.255,22,255.255.252.0,1024
103.215.210.0/23,103.215.210.0,103.215.211.255,23,255.255.254.0,512
103.216.160.0/24,103.216.160.0,103.216.160.255,24,255.255.255.0,256
103.224.127.0/24,103.224.127.0,103.224.127.255,24,255.255.255.0,256
103.227.16.0/22,103.227.16.0,103.227.19.255,22,255.255.252.0,1024
103.230.252.0/22,103.230.252.0,103.230.255.255,22,255.255.252.0,1024
103.233.183.0/24,103.233.183.0,103.233.183.255,24,255.255.255.0,256
103.235.176.0/22,103.235.176.0,103.235.179.255,22,255.255.252.0,1024
103.241.156.0/22,103.241.156.0,103.241.159.255,22,255.255.252.0,1024
103.242.50.0/23,103.242.50.0,103.242.51.255,23,255.255.254.0,512
103.244.146.0/23,103.244.146.0,103.244.147.255,23,255.255.254.0,512
103.247.198.0/24,103.247.198.0,103.247.198.255,24,255.255.255.0,256
103.254.166.0/24,103.254.166.0,103.254.166.255,24,255.255.255.0,256
103.255.204.0/23,103.255.204.0,103.255.205.255,23,255.255.254.0,512
111.125.152.0/21,111.125.152.0,111.125.159.255,21,255.255.248.0,2048
116.204.160.0/22,116.204.160.0,116.204.163.255,22,255.255.252.0,1024
116.204.240.0/22,116.204.240.0,116.204.243.255,22,255.255.252.0,1024
116.206.188.0/22,116.206.188.0,116.206.191.255,22,255.255.252.0,1024
117.55.192.0/22,117.55.192.0,117.55.195.255,22,255.255.252.0,1024
117.55.196.0/23,117.55.196.0,117.55.197.255,23,255.255.254.0,512
117.55.198.0/24,117.55.198.0,117.55.198.255,24,255.255.255.0,256
117.104.224.0/21,117.104.224.0,117.104.231.255,21,255.255.248.0,2048
119.59.80.0/21,119.59.80.0,119.59.87.255,21,255.255.248.0,2048
121.100.48.0/21,121.100.48.0,121.100.55.255,21,255.255.248.0,2048
125.213.192.0/19,125.213.192.0,125.213.223.255,19,255.255.224.0,8192
137.59.120.0/22,137.59.120.0,137.59.123.255,22,255.255.252.0,1024
149.54.0.0/17,149.54.0.0,149.54.127.255,17,255.255.128.0,32768
