# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.132.144.0/24,23.132.144.0,23.132.144.255,24,255.255.255.0,256
23.176.240.0/24,23.176.240.0,23.176.240.255,24,255.255.255.0,256
46.19.184.0/21,46.19.184.0,46.19.191.255,21,255.255.248.0,2048
69.50.64.0/20,69.50.64.0,69.50.79.255,20,255.255.240.0,4096
69.57.224.0/19,69.57.224.0,69.57.255.255,19,255.255.224.0,8192
76.76.160.0/19,76.76.160.0,76.76.191.255,19,255.255.224.0,8192
77.239.224.0/19,77.239.224.0,77.239.255.255,19,255.255.224.0,8192
91.108.0.0/18,91.108.0.0,91.108.63.255,18,255.255.192.0,16384
91.212.88.0/24,91.212.88.0,91.212.88.255,24,255.255.255.0,256
92.62.48.0/20,92.62.48.0,92.62.63.255,20,255.255.240.0,4096
94.124.176.0/21,94.124.176.0,94.124.183.255,21,255.255.248.0,2048
94.229.96.0/20,94.229.96.0,94.229.111.255,20,255.255.240.0,4096
95.140.80.0/20,95.140.80.0,95.140.95.255,20,255.255.240.0,4096
95.161.0.0/17,95.161.0.0,95.161.127.255,17,255.255.128.0,32768
95.161.128.0/21,95.161.128.0,95.161.135.255,21,255.255.248.0,2048
95.161.136.0/22,95.161.136.0,95.161.139.255,22,255.255.252.0,1024
95.161.240.0/20,95.161.240.0,95.161.255.255,20,255.255.240.0,4096
109.239.128.0/20,109.239.128.0,109.239.143.255,20,255.255.240.0,4096
149.112.100.0/24,149.112.100.0,149.112.100.255,24,255.255.255.0,256
149.154.160.0/20,149.154.160.0,149.154.175.255,20,255.255.240.0,4096
162.210.156.0/22,162.210.156.0,162.210.159.255,22,255.255.252.0,1024
162.222.84.0/22,162.222.84.0,162.222.87.255,22,255.255.252.0,1024
162.252.188.0/22,162.252.188.0,162.252.191.255,22,255.255.252.0,1024
170.39.108.0/22,170.39.108.0,170.39.111.255,22,255.255.252.0,1024
178.18.224.0/20,178.18.224.0,178.18.239.255,20,255.255.240.0,4096
185.51.60.0/22,185.51.60.0,185.51.63.255,22,255.255.252.0,1024
185.182.12.0/22,185.182.12.0,185.182.15.255,22,255.255.252.0,1024
188.65.64.0/21,188.65.64.0,188.65.71.255,21,255.255.248.0,2048
192.64.120.0/22,192.64.120.0,192.64.123.255,22,255.255.252.0,1024
199.16.56.0/22,199.16.56.0,199.16.59.255,22,255.255.252.0,1024
199.48.204.0/22,199.48.204.0,199.48.207.255,22,255.255.252.0,1024
199.189.112.0/22,199.189.112.0,199.189.115.255,22,255.255.252.0,1024
204.16.112.0/22,204.16.112.0,204.16.115.255,22,255.255.252.0,1024
205.217.224.0/19,205.217.224.0,205.217.255.255,19,255.255.224.0,8192
206.83.13.0/24,206.83.13.0,206.83.13.255,24,255.255.255.0,256
206.214.0.0/19,206.214.0.0,206.214.31.255,19,255.255.224.0,8192
208.83.80.0/21,208.83.80.0,208.83.87.255,21,255.255.248.0,2048
209.59.64.0/18,209.59.64.0,209.59.127.255,18,255.255.192.0,16384
212.232.64.0/20,212.232.64.0,212.232.79.255,20,255.255.240.0,4096
213.21.0.0/19,213.21.0.0,213.21.31.255,19,255.255.224.0,8192
213.21.48.0/20,213.21.48.0,213.21.63.255,20,255.255.240.0,4096
216.48.96.0/22,216.48.96.0,216.48.99.255,22,255.255.252.0,1024
