# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.206.232.0/21,5.206.232.0,5.206.239.255,21,255.255.248.0,2048
31.22.48.0/20,31.22.48.0,31.22.63.255,20,255.255.240.0,4096
31.41.33.0/24,31.41.33.0,31.41.33.255,24,255.255.255.0,256
31.44.64.0/20,31.44.64.0,31.44.79.255,20,255.255.240.0,4096
31.171.152.0/21,31.171.152.0,31.171.159.255,21,255.255.248.0,2048
31.222.40.0/21,31.222.40.0,31.222.47.255,21,255.255.248.0,2048
37.26.64.0/21,37.26.64.0,37.26.71.255,21,255.255.248.0,2048
37.26.80.0/21,37.26.80.0,37.26.87.255,21,255.255.248.0,2048
37.35.64.0/21,37.35.64.0,37.35.71.255,21,255.255.248.0,2048
37.139.112.0/21,37.139.112.0,37.139.119.255,21,255.255.248.0,2048
37.252.221.0/24,37.252.221.0,37.252.221.255,24,255.255.255.0,256
45.66.252.0/22,45.66.252.0,45.66.255.255,22,255.255.252.0,1024
45.80.48.0/22,45.80.48.0,45.80.51.255,22,255.255.252.0,1024
45.84.116.0/22,45.84.116.0,45.84.119.255,22,255.255.252.0,1024
45.84.236.0/22,45.84.236.0,45.84.239.255,22,255.255.252.0,1024
45.90.80.0/22,45.90.80.0,45.90.83.255,22,255.255.252.0,1024
45.93.220.0/22,45.93.220.0,45.93.223.255,22,255.255.252.0,1024
45.142.24.0/22,45.142.24.0,45.142.27.255,22,255.255.252.0,1024
45.157.124.0/22,45.157.124.0,45.157.127.255,22,255.255.252.0,1024
46.19.224.0/21,46.19.224.0,46.19.231.255,21,255.255.248.0,2048
46.99.0.0/16,46.99.0.0,46.99.255.255,16,255.255.0.0,65536
46.183.120.0/21,46.183.120.0,46.183.127.255,21,255.255.248.0,2048
46.252.32.0/20,46.252.32.0,46.252.47.255,20,255.255.240.0,4096
46.255.144.0/21,46.255.144.0,46.255.151.255,21,255.255.248.0,2048
66.186.194.0/23,66.186.194.0,66.186.195.255,23,255.255.254.0,512
66.186.198.0/23,66.186.198.0,66.186.199.255,23,255.255.254.0,512
77.83.120.0/22,77.83.120.0,77.83.123.255,22,255.255.252.0,1024
77.242.16.0/20,77.242.16.0,77.242.31.255,20,255.255.240.0,4096
77.247.88.0/21,77.247.88.0,77.247.95.255,21,255.255.248.0,2048
77.247.195.0/24,77.247.195.0,77.247.195.255,24,255.255.255.0,256
77.247.248.0/21,77.247.248.0,77.247.255.255,21,255.255.248.0,2048
79.98.112.0/21,79.98.112.0,79.98.119.255,21,255.255.248.0,2048
79.106.0.0/16,79.106.0.0,79.106.255.255,16,255.255.0.0,65536
79.171.48.0/21,79.171.48.0,79.171.55.255,21,255.255.248.0,2048
79.174.24.0/22,79.174.24.0,79.174.27.255,22,255.255.252.0,1024
80.65.216.0/22,80.65.216.0,80.65.219.255,22,255.255.252.0,1024
80.78.64.0/20,80.78.64.0,80.78.79.255,20,255.255.240.0,4096
80.80.160.0/20,80.80.160.0,80.80.175.255,20,255.255.240.0,4096
80.90.80.0/20,80.90.80.0,80.90.95.255,20,255.255.240.0,4096
80.91.112.0/20,80.91.112.0,80.91.127.255,20,255.255.240.0,4096
81.21.232.0/22,81.21.232.0,81.21.235.255,22,255.255.252.0,1024
81.26.200.0/21,81.26.200.0,81.26.207.255,21,255.255.248.0,2048
82.114.64.0/19,82.114.64.0,82.114.95.255,19,255.255.224.0,8192
84.20.64.0/19,84.20.64.0,84.20.95.255,19,255.255.224.0,8192
84.22.32.0/19,84.22.32.0,84.22.63.255,19,255.255.224.0,8192
85.209.248.0/22,85.209.248.0,85.209.251.255,22,255.255.252.0,1024
87.120.100.0/22,87.120.100.0,87.120.103.255,22,255.255.252.0,1024
87.238.208.0/21,87.238.208.0,87.238.215.255,21,255.255.248.0,2048
88.214.16.0/22,88.214.16.0,88.214.19.255,22,255.255.252.0,1024
91.132.172.0/22,91.132.172.0,91.132.175.255,22,255.255.252.0,1024
91.187.96.0/19,91.187.96.0,91.187.127.255,19,255.255.224.0,8192
91.210.136.0/22,91.210.136.0,91.210.139.255,22,255.255.252.0,1024
91.212.96.0/24,91.212.96.0,91.212.96.255,24,255.255.255.0,256
91.217.6.0/23,91.217.6.0,91.217.7.255,23,255.255.254.0,512
91.217.72.0/23,91.217.72.0,91.217.73.255,23,255.255.254.0,512
91.226.220.0/24,91.226.220.0,91.226.220.255,24,255.255.255.0,256
91.230.254.0/23,91.230.254.0,91.230.255.255,23,255.255.254.0,512
91.239.145.0/24,91.239.145.0,91.239.145.255,24,255.255.255.0,256
91.239.240.0/24,91.239.240.0,91.239.240.255,24,255.255.255.0,256
91.240.165.0/24,91.240.165.0,91.240.165.255,24,255.255.255.0,256
92.60.16.0/20,92.60.16.0,92.60.31.255,20,255.255.240.0,4096
92.118.68.0/22,92.118.68.0,92.118.71.255,22,255.255.252.0,1024
92.119.236.0/22,92.119.236.0,92.119.239.255,22,255.255.252.0,1024
93.93.168.0/22,93.93.168.0,93.93.171.255,22,255.255.252.0,1024
