# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.204.0/22,2.56.204.0,2.56.207.255,22,255.255.252.0,1024
5.39.204.0/22,5.39.204.0,5.39.207.255,22,255.255.252.0,1024
5.63.160.0/21,5.63.160.0,5.63.167.255,21,255.255.248.0,2048
5.77.128.0/17,5.77.128.0,5.77.255.255,17,255.255.128.0,32768
5.101.36.0/22,5.101.36.0,5.101.39.255,22,255.255.252.0,1024
5.101.71.0/24,5.101.71.0,5.101.71.255,24,255.255.255.0,256
5.134.80.0/21,5.134.80.0,5.134.87.255,21,255.255.248.0,2048
31.7.160.0/21,31.7.160.0,31.7.167.255,21,255.255.248.0,2048
31.47.192.0/21,31.47.192.0,31.47.199.255,21,255.255.248.0,2048
31.128.60.0/24,31.128.60.0,31.128.60.255,24,255.255.255.0,256
31.132.72.0/21,31.132.72.0,31.132.79.255,21,255.255.248.0,2048
31.184.232.0/22,31.184.232.0,31.184.235.255,22,255.255.252.0,1024
37.26.168.0/21,37.26.168.0,37.26.175.255,21,255.255.248.0,2048
37.157.208.0/20,37.157.208.0,37.157.223.255,20,255.255.240.0,4096
37.186.64.0/18,37.186.64.0,37.186.127.255,18,255.255.192.0,16384
37.252.64.0/19,37.252.64.0,37.252.95.255,19,255.255.224.0,8192
37.252.216.0/22,37.252.216.0,37.252.219.255,22,255.255.252.0,1024
45.11.136.0/22,45.11.136.0,45.11.139.255,22,255.255.252.0,1024
45.15.148.0/22,45.15.148.0,45.15.151.255,22,255.255.252.0,1024
45.131.124.0/22,45.131.124.0,45.131.127.255,22,255.255.252.0,1024
45.133.104.0/22,45.133.104.0,45.133.107.255,22,255.255.252.0,1024
45.143.204.0/22,45.143.204.0,45.143.207.255,22,255.255.252.0,1024
45.153.212.0/22,45.153.212.0,45.153.215.255,22,255.255.252.0,1024
45.159.72.0/22,45.159.72.0,45.159.75.255,22,255.255.252.0,1024
46.19.96.0/21,46.19.96.0,46.19.103.255,21,255.255.248.0,2048
46.36.112.0/20,46.36.112.0,46.36.127.255,20,255.255.240.0,4096
46.70.0.0/15,46.70.0.0,46.71.255.255,15,255.254.0.0,131072
46.130.0.0/16,46.130.0.0,46.130.255.255,16,255.255.0.0,65536
46.162.192.0/18,46.162.192.0,46.162.255.255,18,255.255.192.0,16384
46.182.172.0/22,46.182.172.0,46.182.175.255,22,255.255.252.0,1024
46.226.160.0/21,46.226.160.0,46.226.167.255,21,255.255.248.0,2048
46.241.128.0/17,46.241.128.0,46.241.255.255,17,255.255.128.0,32768
62.3.16.0/24,62.3.16.0,62.3.16.255,24,255.255.255.0,256
62.89.0.0/19,62.89.0.0,62.89.31.255,19,255.255.224.0,8192
77.95.184.0/21,77.95.184.0,77.95.191.255,21,255.255.248.0,2048
78.109.64.0/20,78.109.64.0,78.109.79.255,20,255.255.240.0,4096
80.72.16.0/21,80.72.16.0,80.72.23.255,21,255.255.248.0,2048
80.72.24.0/22,80.72.24.0,80.72.27.255,22,255.255.252.0,1024
80.86.224.0/20,80.86.224.0,80.86.239.255,20,255.255.240.0,4096
81.16.0.0/20,81.16.0.0,81.16.15.255,20,255.255.240.0,4096
81.89.208.0/20,81.89.208.0,81.89.223.255,20,255.255.240.0,4096
82.199.192.0/20,82.199.192.0,82.199.207.255,20,255.255.240.0,4096
83.139.0.0/18,83.139.0.0,83.139.63.255,18,255.255.192.0,16384
87.241.128.0/18,87.241.128.0,87.241.191.255,18,255.255.192.0,16384
89.40.171.0/24,89.40.171.0,89.40.171.255,24,255.255.255.0,256
89.169.52.0/22,89.169.52.0,89.169.55.255,22,255.255.252.0,1024
89.249.192.0/20,89.249.192.0,89.249.207.255,20,255.255.240.0,4096
91.103.24.0/21,91.103.24.0,91.103.31.255,21,255.255.248.0,2048
91.103.56.0/21,91.103.56.0,91.103.63.255,21,255.255.248.0,2048
91.103.248.0/22,91.103.248.0,91.103.251.255,22,255.255.252.0,1024
91.108.187.0/24,91.108.187.0,91.108.187.255,24,255.255.255.0,256
91.195.110.0/23,91.195.110.0,91.195.111.255,23,255.255.254.0,512
91.195.254.0/23,91.195.254.0,91.195.255.255,23,255.255.254.0,512
91.196.36.0/22,91.196.36.0,91.196.39.255,22,255.255.252.0,1024
91.198.108.0/23,91.198.108.0,91.198.109.255,23,255.255.254.0,512
91.199.38.0/24,91.199.38.0,91.199.38.255,24,255.255.255.0,256
91.199.226.0/24,91.199.226.0,91.199.226.255,24,255.255.255.0,256
91.201.196.0/24,91.201.196.0,91.201.196.255,24,255.255.255.0,256
91.204.188.0/22,91.204.188.0,91.204.191.255,22,255.255.252.0,1024
91.205.132.0/22,91.205.132.0,91.205.135.255,22,255.255.252.0,1024
91.205.136.0/21,91.205.136.0,91.205.143.255,21,255.255.248.0,2048
91.205.196.0/22,91.205.196.0,91.205.199.255,22,255.255.252.0,1024
91.208.76.0/24,91.208.76.0,91.208.76.255,24,255.255.255.0,256
91.209.38.0/24,91.209.38.0,91.209.38.255,24,255.255.255.0,256
91.210.40.0/22,91.210.40.0,91.210.43.255,22,255.255.252.0,1024
91.212.71.0/24,91.212.71.0,91.212.71.255,24,255.255.255.0,256
91.217.157.0/24,91.217.157.0,91.217.157.255,24,255.255.255.0,256
91.218.4.0/22,91.218.4.0,91.218.7.255,22,255.255.252.0,1024
91.218.180.0/23,91.218.180.0,91.218.181.255,23,255.255.254.0,512
91.221.60.0/23,91.221.60.0,91.221.61.255,23,255.255.254.0,512
91.221.228.0/23,91.221.228.0,91.221.229.255,23,255.255.254.0,512
91.223.82.0/24,91.223.82.0,91.223.82.255,24,255.255.255.0,256
91.226.12.0/23,91.226.12.0,91.226.13.255,23,255.255.254.0,512
91.226.235.0/24,91.226.235.0,91.226.235.255,24,255.255.255.0,256
91.231.200.0/22,91.231.200.0,91.231.203.255,22,255.255.252.0,1024
91.237.150.0/24,91.237.150.0,91.237.150.255,24,255.255.255.0,256
91.239.22.0/24,91.239.22.0,91.239.22.255,24,255.255.255.0,256
91.239.85.0/24,91.239.85.0,91.239.85.255,24,255.255.255.0,256
92.43.136.0/21,92.43.136.0,92.43.143.255,21,255.255.248.0,2048
92.118.72.0/22,92.118.72.0,92.118.75.255,22,255.255.252.0,1024
92.246.132.0/22,92.246.132.0,92.246.135.255,22,255.255.252.0,1024
92.246.136.0/21,92.246.136.0,92.246.143.255,21,255.255.248.0,2048
93.94.216.0/21,93.94.216.0,93.94.223.255,21,255.255.248.0,2048
93.113.129.0/24,93.113.129.0,93.113.129.255,24,255.255.255.0,256
93.185.32.0/20,93.185.32.0,93.185.47.255,20,255.255.240.0,4096
