# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.63.160.0/19,41.63.160.0,41.63.191.255,19,255.255.224.0,8192
41.70.128.0/17,41.70.128.0,41.70.255.255,17,255.255.128.0,32768
41.74.240.0/20,41.74.240.0,41.74.255.255,20,255.255.240.0,4096
41.78.16.0/22,41.78.16.0,41.78.19.255,22,255.255.252.0,1024
41.205.32.0/19,41.205.32.0,41.205.63.255,19,255.255.224.0,8192
41.210.192.0/18,41.210.192.0,41.210.255.255,18,255.255.192.0,16384
41.216.236.0/22,41.216.236.0,41.216.239.255,22,255.255.252.0,1024
41.221.240.0/20,41.221.240.0,41.221.255.255,20,255.255.240.0,4096
41.222.200.0/22,41.222.200.0,41.222.203.255,22,255.255.252.0,1024
41.222.236.0/22,41.222.236.0,41.222.239.255,22,255.255.252.0,1024
41.222.248.0/21,41.222.248.0,41.222.255.255,21,255.255.248.0,2048
41.223.40.0/22,41.223.40.0,41.223.43.255,22,255.255.252.0,1024
41.223.100.0/22,41.223.100.0,41.223.103.255,22,255.255.252.0,1024
41.223.156.0/22,41.223.156.0,41.223.159.255,22,255.255.252.0,1024
41.223.164.0/22,41.223.164.0,41.223.167.255,22,255.255.252.0,1024
80.88.9.0/24,80.88.9.0,80.88.9.255,24,255.255.255.0,256
102.36.224.0/22,102.36.224.0,102.36.227.255,22,255.255.252.0,1024
102.64.60.0/22,102.64.60.0,102.64.63.255,22,255.255.252.0,1024
102.130.64.0/21,102.130.64.0,102.130.71.255,21,255.255.248.0,2048
102.130.192.0/19,102.130.192.0,102.130.223.255,19,255.255.224.0,8192
102.208.148.0/22,102.208.148.0,102.208.151.255,22,255.255.252.0,1024
102.209.4.0/22,102.209.4.0,102.209.7.255,22,255.255.252.0,1024
102.209.154.0/24,102.209.154.0,102.209.154.255,24,255.255.255.0,256
102.210.4.0/22,102.210.4.0,102.210.7.255,22,255.255.252.0,1024
102.210.120.0/22,102.210.120.0,102.210.123.255,22,255.255.252.0,1024
102.210.169.0/24,102.210.169.0,102.210.169.255,24,255.255.255.0,256
102.210.176.0/22,102.210.176.0,102.210.179.255,22,255.255.252.0,1024
102.210.228.0/22,102.210.228.0,102.210.231.255,22,255.255.252.0,1024
102.211.55.0/24,102.211.55.0,102.211.55.255,24,255.255.255.0,256
102.211.128.0/22,102.211.128.0,102.211.131.255,22,255.255.252.0,1024
102.211.152.0/22,102.211.152.0,102.211.155.255,22,255.255.252.0,1024
102.211.200.0/22,102.211.200.0,102.211.203.255,22,255.255.252.0,1024
102.211.224.0/22,102.211.224.0,102.211.227.255,22,255.255.252.0,1024
102.212.216.0/22,102.212.216.0,102.212.219.255,22,255.255.252.0,1024
102.213.12.0/22,102.213.12.0,102.213.15.255,22,255.255.252.0,1024
102.213.32.0/22,102.213.32.0,102.213.35.255,22,255.255.252.0,1024
102.213.54.0/24,102.213.54.0,102.213.54.255,24,255.255.255.0,256
102.213.96.0/20,102.213.96.0,102.213.111.255,20,255.255.240.0,4096
102.213.240.0/24,102.213.240.0,102.213.240.255,24,255.255.255.0,256
102.214.0.0/22,102.214.0.0,102.214.3.255,22,255.255.252.0,1024
102.214.36.0/22,102.214.36.0,102.214.39.255,22,255.255.252.0,1024
102.214.120.0/22,102.214.120.0,102.214.123.255,22,255.255.252.0,1024
102.214.127.0/24,102.214.127.0,102.214.127.255,24,255.255.255.0,256
102.214.236.0/22,102.214.236.0,102.214.239.255,22,255.255.252.0,1024
102.215.60.0/22,102.215.60.0,102.215.63.255,22,255.255.252.0,1024
102.215.168.0/22,102.215.168.0,102.215.171.255,22,255.255.252.0,1024
102.215.180.0/22,102.215.180.0,102.215.183.255,22,255.255.252.0,1024
102.215.184.0/22,102.215.184.0,102.215.187.255,22,255.255.252.0,1024
102.216.44.0/22,102.216.44.0,102.216.47.255,22,255.255.252.0,1024
