# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
24.152.57.0/24,24.152.57.0,24.152.57.255,24,255.255.255.0,256
24.232.0.0/16,24.232.0.0,24.232.255.255,16,255.255.0.0,65536
45.4.97.0/24,45.4.97.0,45.4.97.255,24,255.255.255.0,256
45.4.100.0/22,45.4.100.0,45.4.103.255,22,255.255.252.0,1024
45.4.160.0/21,45.4.160.0,45.4.167.255,21,255.255.248.0,2048
45.4.216.0/22,45.4.216.0,45.4.219.255,22,255.255.252.0,1024
45.4.252.0/22,45.4.252.0,45.4.255.255,22,255.255.252.0,1024
45.5.0.0/22,45.5.0.0,45.5.3.255,22,255.255.252.0,1024
45.5.15.0/24,45.5.15.0,45.5.15.255,24,255.255.255.0,256
45.5.20.0/22,45.5.20.0,45.5.23.255,22,255.255.252.0,1024
45.5.148.0/22,45.5.148.0,45.5.151.255,22,255.255.252.0,1024
45.5.152.0/22,45.5.152.0,45.5.155.255,22,255.255.252.0,1024
45.6.4.0/22,45.6.4.0,45.6.7.255,22,255.255.252.0,1024
45.6.8.0/22,45.6.8.0,45.6.11.255,22,255.255.252.0,1024
45.6.104.0/22,45.6.104.0,45.6.107.255,22,255.255.252.0,1024
45.6.132.0/22,45.6.132.0,45.6.135.255,22,255.255.252.0,1024
45.6.212.0/22,45.6.212.0,45.6.215.255,22,255.255.252.0,1024
45.7.84.0/22,45.7.84.0,45.7.87.255,22,255.255.252.0,1024
45.7.88.0/22,45.7.88.0,45.7.91.255,22,255.255.252.0,1024
45.7.96.0/22,45.7.96.0,45.7.99.255,22,255.255.252.0,1024
45.7.124.0/22,45.7.124.0,45.7.127.255,22,255.255.252.0,1024
45.7.208.0/22,45.7.208.0,45.7.211.255,22,255.255.252.0,1024
45.7.240.0/20,45.7.240.0,45.7.255.255,20,255.255.240.0,4096
45.65.148.0/22,45.65.148.0,45.65.151.255,22,255.255.252.0,1024
45.65.202.0/24,45.65.202.0,45.65.202.255,24,255.255.255.0,256
45.65.224.0/22,45.65.224.0,45.65.227.255,22,255.255.252.0,1024
45.65.252.0/24,45.65.252.0,45.65.252.255,24,255.255.255.0,256
45.68.8.0/21,45.68.8.0,45.68.15.255,21,255.255.248.0,2048
45.70.8.0/22,45.70.8.0,45.70.11.255,22,255.255.252.0,1024
45.70.88.0/22,45.70.88.0,45.70.91.255,22,255.255.252.0,1024
45.70.116.0/22,45.70.116.0,45.70.119.255,22,255.255.252.0,1024
45.70.152.0/22,45.70.152.0,45.70.155.255,22,255.255.252.0,1024
45.70.184.0/22,45.70.184.0,45.70.187.255,22,255.255.252.0,1024
45.70.220.0/22,45.70.220.0,45.70.223.255,22,255.255.252.0,1024
45.71.5.0/24,45.71.5.0,45.71.5.255,24,255.255.255.0,256
45.71.56.0/22,45.71.56.0,45.71.59.255,22,255.255.252.0,1024
45.71.106.0/24,45.71.106.0,45.71.106.255,24,255.255.255.0,256
45.71.152.0/22,45.71.152.0,45.71.155.255,22,255.255.252.0,1024
45.71.196.0/22,45.71.196.0,45.71.199.255,22,255.255.252.0,1024
45.71.204.0/22,45.71.204.0,45.71.207.255,22,255.255.252.0,1024
45.160.28.0/22,45.160.28.0,45.160.31.255,22,255.255.252.0,1024
45.160.156.0/22,45.160.156.0,45.160.159.255,22,255.255.252.0,1024
45.160.196.0/22,45.160.196.0,45.160.199.255,22,255.255.252.0,1024
45.160.200.0/22,45.160.200.0,45.160.203.255,22,255.255.252.0,1024
45.161.8.0/22,45.161.8.0,45.161.11.255,22,255.255.252.0,1024
45.161.116.0/22,45.161.116.0,45.161.119.255,22,255.255.252.0,1024
45.161.132.0/22,45.161.132.0,45.161.135.255,22,255.255.252.0,1024
45.161.168.0/21,45.161.168.0,45.161.175.255,21,255.255.248.0,2048
45.161.180.0/22,45.161.180.0,45.161.183.255,22,255.255.252.0,1024
45.162.20.0/23,45.162.20.0,45.162.21.255,23,255.255.254.0,512
45.162.60.0/22,45.162.60.0,45.162.63.255,22,255.255.252.0,1024
45.162.88.0/22,45.162.88.0,45.162.91.255,22,255.255.252.0,1024
45.162.100.0/22,45.162.100.0,45.162.103.255,22,255.255.252.0,1024
45.162.108.0/22,45.162.108.0,45.162.111.255,22,255.255.252.0,1024
45.162.125.0/24,45.162.125.0,45.162.125.255,24,255.255.255.0,256
45.162.140.0/22,45.162.140.0,45.162.143.255,22,255.255.252.0,1024
45.162.168.0/22,45.162.168.0,45.162.171.255,22,255.255.252.0,1024
45.163.20.0/22,45.163.20.0,45.163.23.255,22,255.255.252.0,1024
45.163.31.0/24,45.163.31.0,45.163.31.255,24,255.255.255.0,256
45.163.36.0/22,45.163.36.0,45.163.39.255,22,255.255.252.0,1024
45.163.80.0/22,45.163.80.0,45.163.83.255,22,255.255.252.0,1024
45.163.128.0/22,45.163.128.0,45.163.131.255,22,255.255.252.0,1024
45.163.140.0/22,45.163.140.0,45.163.143.255,22,255.255.252.0,1024
45.163.248.0/22,45.163.248.0,45.163.251.255,22,255.255.252.0,1024
45.164.16.0/22,45.164.16.0,45.164.19.255,22,255.255.252.0,1024
45.164.204.0/23,45.164.204.0,45.164.205.255,23,255.255.254.0,512
45.164.228.0/22,45.164.228.0,45.164.231.255,22,255.255.252.0,1024
45.165.36.0/22,45.165.36.0,45.165.39.255,22,255.255.252.0,1024
45.165.44.0/22,45.165.44.0,45.165.47.255,22,255.255.252.0,1024
45.165.112.0/22,45.165.112.0,45.165.115.255,22,255.255.252.0,1024
45.165.154.0/23,45.165.154.0,45.165.155.255,23,255.255.254.0,512
45.166.76.0/23,45.166.76.0,45.166.77.255,23,255.255.254.0,512
45.166.78.0/24,45.166.78.0,45.166.78.255,24,255.255.255.0,256
45.166.80.0/22,45.166.80.0,45.166.83.255,22,255.255.252.0,1024
45.166.176.0/22,45.166.176.0,45.166.179.255,22,255.255.252.0,1024
45.166.252.0/22,45.166.252.0,45.166.255.255,22,255.255.252.0,1024
45.167.18.0/23,45.167.18.0,45.167.19.255,23,255.255.254.0,512
45.167.20.0/22,45.167.20.0,45.167.23.255,22,255.255.252.0,1024
45.167.88.0/22,45.167.88.0,45.167.91.255,22,255.255.252.0,1024
45.167.120.0/23,45.167.120.0,45.167.121.255,23,255.255.254.0,512
45.167.127.0/24,45.167.127.0,45.167.127.255,24,255.255.255.0,256
45.167.168.0/22,45.167.168.0,45.167.171.255,22,255.255.252.0,1024
45.167.220.0/22,45.167.220.0,45.167.223.255,22,255.255.252.0,1024
45.168.80.0/24,45.168.80.0,45.168.80.255,24,255.255.255.0,256
45.168.192.0/22,45.168.192.0,45.168.195.255,22,255.255.252.0,1024
45.168.212.0/22,45.168.212.0,45.168.215.255,22,255.255.252.0,1024
45.169.52.0/23,45.169.52.0,45.169.53.255,23,255.255.254.0,512
45.169.104.0/22,45.169.104.0,45.169.107.255,22,255.255.252.0,1024
45.169.168.0/22,45.169.168.0,45.169.171.255,22,255.255.252.0,1024
45.169.250.0/23,45.169.250.0,45.169.251.255,23,255.255.254.0,512
45.170.8.0/22,45.170.8.0,45.170.11.255,22,255.255.252.0,1024
45.170.40.0/22,45.170.40.0,45.170.43.255,22,255.255.252.0,1024
45.170.108.0/23,45.170.108.0,45.170.109.255,23,255.255.254.0,512
45.170.184.0/22,45.170.184.0,45.170.187.255,22,255.255.252.0,1024
45.170.212.0/22,45.170.212.0,45.170.215.255,22,255.255.252.0,1024
45.171.36.0/22,45.171.36.0,45.171.39.255,22,255.255.252.0,1024
45.171.80.0/23,45.171.80.0,45.171.81.255,23,255.255.254.0,512
