# CIDR,network(start) address,end address,prefix,subnet mask
138.255.252.0/22,138.255.252.0,138.255.255.255,22,255.255.252.0
170.84.254.0/24,170.84.254.0,170.84.254.255,24,255.255.255.0
179.61.32.0/19,179.61.32.0,179.61.63.255,19,255.255.224.0
181.41.0.0/18,181.41.0.0,181.41.63.255,18,255.255.192.0
186.96.200.0/21,186.96.200.0,186.96.207.255,21,255.255.248.0
186.96.224.0/20,186.96.224.0,186.96.239.255,20,255.255.240.0
186.96.240.0/21,186.96.240.0,186.96.247.255,21,255.255.248.0
186.189.0.0/18,186.189.0.0,186.189.63.255,18,255.255.192.0
186.189.128.0/18,186.189.128.0,186.189.191.255,18,255.255.192.0
190.12.224.0/19,190.12.224.0,190.12.255.255,19,255.255.224.0
190.104.96.0/20,190.104.96.0,190.104.111.255,20,255.255.240.0
201.229.0.0/17,201.229.0.0,201.229.127.255,17,255.255.128.0
