# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.10.240.0/20,5.10.240.0,5.10.255.255,20,255.255.240.0,4096
5.44.32.0/21,5.44.32.0,5.44.39.255,21,255.255.248.0,2048
5.133.224.0/20,5.133.224.0,5.133.239.255,20,255.255.240.0,4096
5.134.48.0/20,5.134.48.0,5.134.63.255,20,255.255.240.0,4096
5.178.0.0/20,5.178.0.0,5.178.15.255,20,255.255.240.0,4096
5.191.0.0/16,5.191.0.0,5.191.255.255,16,255.255.0.0,65536
5.197.0.0/16,5.197.0.0,5.197.255.255,16,255.255.0.0,65536
5.250.192.0/19,5.250.192.0,5.250.223.255,19,255.255.224.0,8192
5.252.48.0/22,5.252.48.0,5.252.51.255,22,255.255.252.0,1024
31.170.224.0/19,31.170.224.0,31.170.255.255,19,255.255.224.0,8192
31.171.0.0/17,31.171.0.0,31.171.127.255,17,255.255.128.0,32768
31.222.225.0/24,31.222.225.0,31.222.225.255,24,255.255.255.0,256
37.18.58.0/24,37.18.58.0,37.18.58.255,24,255.255.255.0,256
37.26.0.0/18,37.26.0.0,37.26.63.255,18,255.255.192.0,16384
37.32.64.0/20,37.32.64.0,37.32.79.255,20,255.255.240.0,4096
37.61.0.0/17,37.61.0.0,37.61.127.255,17,255.255.128.0,32768
37.114.128.0/18,37.114.128.0,37.114.191.255,18,255.255.192.0,16384
37.128.200.0/21,37.128.200.0,37.128.207.255,21,255.255.248.0,2048
45.15.43.0/24,45.15.43.0,45.15.43.255,24,255.255.255.0,256
45.136.164.0/22,45.136.164.0,45.136.167.255,22,255.255.252.0,1024
46.18.64.0/21,46.18.64.0,46.18.71.255,21,255.255.248.0,2048
46.22.224.0/20,46.22.224.0,46.22.239.255,20,255.255.240.0,4096
46.23.96.0/20,46.23.96.0,46.23.111.255,20,255.255.240.0,4096
46.28.237.0/24,46.28.237.0,46.28.237.255,24,255.255.255.0,256
46.32.160.0/19,46.32.160.0,46.32.191.255,19,255.255.224.0,8192
46.228.176.0/20,46.228.176.0,46.228.191.255,20,255.255.240.0,4096
62.212.224.0/19,62.212.224.0,62.212.255.255,19,255.255.224.0,8192
62.217.128.0/19,62.217.128.0,62.217.159.255,19,255.255.224.0,8192
77.81.56.0/21,77.81.56.0,77.81.63.255,21,255.255.248.0,2048
77.81.248.0/21,77.81.248.0,77.81.255.255,21,255.255.248.0,2048
77.244.112.0/20,77.244.112.0,77.244.127.255,20,255.255.240.0,4096
78.109.48.0/21,78.109.48.0,78.109.55.255,21,255.255.248.0,2048
78.111.48.0/20,78.111.48.0,78.111.63.255,20,255.255.240.0,4096
80.69.48.0/20,80.69.48.0,80.69.63.255,20,255.255.240.0,4096
81.17.80.0/20,81.17.80.0,81.17.95.255,20,255.255.240.0,4096
81.21.80.0/20,81.21.80.0,81.21.95.255,20,255.255.240.0,4096
82.194.0.0/19,82.194.0.0,82.194.31.255,19,255.255.224.0,8192
85.132.0.0/17,85.132.0.0,85.132.127.255,17,255.255.128.0,32768
85.158.144.0/21,85.158.144.0,85.158.151.255,21,255.255.248.0,2048
88.151.192.0/21,88.151.192.0,88.151.199.255,21,255.255.248.0,2048
89.23.124.0/24,89.23.124.0,89.23.124.255,24,255.255.255.0,256
89.37.16.0/21,89.37.16.0,89.37.23.255,21,255.255.248.0,2048
89.37.32.0/21,89.37.32.0,89.37.39.255,21,255.255.248.0,2048
89.40.30.0/24,89.40.30.0,89.40.30.255,24,255.255.255.0,256
89.41.0.0/21,89.41.0.0,89.41.7.255,21,255.255.248.0,2048
