# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.43.64.0/18,5.43.64.0,5.43.127.255,18,255.255.192.0,16384
5.133.0.0/21,5.133.0.0,5.133.7.255,21,255.255.248.0,2048
5.133.128.0/19,5.133.128.0,5.133.159.255,19,255.255.224.0,8192
5.149.64.0/19,5.149.64.0,5.149.95.255,19,255.255.224.0,8192
5.152.232.0/21,5.152.232.0,5.152.239.255,21,255.255.248.0,2048
5.154.168.0/23,5.154.168.0,5.154.169.255,23,255.255.254.0,512
5.154.228.0/23,5.154.228.0,5.154.229.255,23,255.255.254.0,512
5.154.248.0/22,5.154.248.0,5.154.251.255,22,255.255.252.0,1024
31.47.0.0/19,31.47.0.0,31.47.31.255,19,255.255.224.0,8192
31.176.128.0/17,31.176.128.0,31.176.255.255,17,255.255.128.0,32768
31.185.112.0/20,31.185.112.0,31.185.127.255,20,255.255.240.0,4096
31.216.184.0/21,31.216.184.0,31.216.191.255,21,255.255.248.0,2048
31.223.128.0/19,31.223.128.0,31.223.159.255,19,255.255.224.0,8192
31.223.208.0/20,31.223.208.0,31.223.223.255,20,255.255.240.0,4096
37.8.128.0/20,37.8.128.0,37.8.143.255,20,255.255.240.0,4096
37.203.64.0/18,37.203.64.0,37.203.127.255,18,255.255.192.0,16384
37.205.24.0/21,37.205.24.0,37.205.31.255,21,255.255.248.0,2048
37.208.32.0/21,37.208.32.0,37.208.39.255,21,255.255.248.0,2048
45.14.36.0/22,45.14.36.0,45.14.39.255,22,255.255.252.0,1024
45.82.88.0/22,45.82.88.0,45.82.91.255,22,255.255.252.0,1024
45.131.116.0/22,45.131.116.0,45.131.119.255,22,255.255.252.0,1024
45.156.248.0/22,45.156.248.0,45.156.251.255,22,255.255.252.0,1024
46.35.128.0/19,46.35.128.0,46.35.159.255,19,255.255.224.0,8192
46.36.160.0/19,46.36.160.0,46.36.191.255,19,255.255.224.0,8192
46.229.252.0/24,46.229.252.0,46.229.252.255,24,255.255.255.0,256
46.239.0.0/18,46.239.0.0,46.239.63.255,18,255.255.192.0,16384
62.68.96.0/19,62.68.96.0,62.68.127.255,19,255.255.224.0,8192
62.101.144.0/20,62.101.144.0,62.101.159.255,20,255.255.240.0,4096
62.113.0.0/19,62.113.0.0,62.113.31.255,19,255.255.224.0,8192
77.74.224.0/21,77.74.224.0,77.74.231.255,21,255.255.248.0,2048
77.77.192.0/18,77.77.192.0,77.77.255.255,18,255.255.192.0,16384
77.78.192.0/18,77.78.192.0,77.78.255.255,18,255.255.192.0,16384
77.221.0.0/19,77.221.0.0,77.221.31.255,19,255.255.224.0,8192
77.238.192.0/19,77.238.192.0,77.238.223.255,19,255.255.224.0,8192
77.239.0.0/19,77.239.0.0,77.239.31.255,19,255.255.224.0,8192
77.239.64.0/19,77.239.64.0,77.239.95.255,19,255.255.224.0,8192
78.28.128.0/18,78.28.128.0,78.28.191.255,18,255.255.192.0,16384
79.142.0.0/20,79.142.0.0,79.142.15.255,20,255.255.240.0,4096
79.142.180.0/22,79.142.180.0,79.142.183.255,22,255.255.252.0,1024
79.143.160.0/20,79.143.160.0,79.143.175.255,20,255.255.240.0,4096
80.65.64.0/19,80.65.64.0,80.65.95.255,19,255.255.224.0,8192
80.80.32.0/20,80.80.32.0,80.80.47.255,20,255.255.240.0,4096
80.87.240.0/20,80.87.240.0,80.87.255.255,20,255.255.240.0,4096
80.242.112.0/20,80.242.112.0,80.242.127.255,20,255.255.240.0,4096
81.93.64.0/19,81.93.64.0,81.93.95.255,19,255.255.224.0,8192
81.94.0.0/20,81.94.0.0,81.94.15.255,20,255.255.240.0,4096
82.117.232.0/21,82.117.232.0,82.117.239.255,21,255.255.248.0,2048
82.118.0.0/20,82.118.0.0,82.118.15.255,20,255.255.240.0,4096
85.92.224.0/19,85.92.224.0,85.92.255.255,19,255.255.224.0,8192
85.94.128.0/19,85.94.128.0,85.94.159.255,19,255.255.224.0,8192
85.158.32.0/21,85.158.32.0,85.158.39.255,21,255.255.248.0,2048
85.209.96.0/22,85.209.96.0,85.209.99.255,22,255.255.252.0,1024
85.235.84.0/22,85.235.84.0,85.235.87.255,22,255.255.252.0,1024
87.247.136.0/22,87.247.136.0,87.247.139.255,22,255.255.252.0,1024
87.250.96.0/19,87.250.96.0,87.250.127.255,19,255.255.224.0,8192
89.111.192.0/18,89.111.192.0,89.111.255.255,18,255.255.192.0,16384
89.146.128.0/18,89.146.128.0,89.146.191.255,18,255.255.192.0,16384
91.191.0.0/18,91.191.0.0,91.191.63.255,18,255.255.192.0,16384
91.198.219.0/24,91.198.219.0,91.198.219.255,24,255.255.255.0,256
91.205.68.0/22,91.205.68.0,91.205.71.255,22,255.255.252.0,1024
