# CIDR,network(start) address,end address,prefix,subnet mask
23.236.0.0/20,23.236.0.0,23.236.15.255,20,255.255.240.0
64.119.192.0/20,64.119.192.0,64.119.207.255,20,255.255.240.0
65.48.128.0/17,65.48.128.0,65.48.255.255,17,255.255.128.0
69.73.192.0/18,69.73.192.0,69.73.255.255,18,255.255.192.0
69.80.0.0/18,69.80.0.0,69.80.63.255,18,255.255.192.0
72.22.128.0/19,72.22.128.0,72.22.159.255,19,255.255.224.0
72.51.64.0/18,72.51.64.0,72.51.127.255,18,255.255.192.0
104.153.128.0/21,104.153.128.0,104.153.135.255,21,255.255.248.0
104.200.96.0/20,104.200.96.0,104.200.111.255,20,255.255.240.0
104.218.176.0/22,104.218.176.0,104.218.179.255,22,255.255.252.0
162.212.12.0/22,162.212.12.0,162.212.15.255,22,255.255.252.0
162.220.136.0/21,162.220.136.0,162.220.143.255,21,255.255.248.0
162.246.104.0/21,162.246.104.0,162.246.111.255,21,255.255.248.0
192.65.160.0/21,192.65.160.0,192.65.167.255,21,255.255.248.0
192.171.120.0/21,192.171.120.0,192.171.127.255,21,255.255.248.0
192.214.112.0/20,192.214.112.0,192.214.127.255,20,255.255.240.0
192.235.48.0/20,192.235.48.0,192.235.63.255,20,255.255.240.0
196.1.160.0/20,196.1.160.0,196.1.175.255,20,255.255.240.0
196.3.192.0/19,196.3.192.0,196.3.223.255,19,255.255.224.0
198.56.56.0/21,198.56.56.0,198.56.63.255,21,255.255.248.0
198.245.160.0/24,198.245.160.0,198.245.160.255,24,255.255.255.0
198.246.229.0/24,198.246.229.0,198.246.229.255,24,255.255.255.0
198.246.230.0/24,198.246.230.0,198.246.230.255,24,255.255.255.0
199.7.112.0/21,199.7.112.0,199.7.119.255,21,255.255.248.0
199.47.52.0/22,199.47.52.0,199.47.55.255,22,255.255.252.0
199.58.152.0/22,199.58.152.0,199.58.155.255,22,255.255.252.0
199.254.104.0/21,199.254.104.0,199.254.111.255,21,255.255.248.0
200.50.64.0/19,200.50.64.0,200.50.95.255,19,255.255.224.0
205.214.192.0/19,205.214.192.0,205.214.223.255,19,255.255.224.0
216.110.96.0/19,216.110.96.0,216.110.127.255,19,255.255.224.0
