# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.171.0/24,2.56.171.0,2.56.171.255,24,255.255.255.0,256
2.57.40.0/22,2.57.40.0,2.57.43.255,22,255.255.252.0,1024
2.58.108.0/22,2.58.108.0,2.58.111.255,22,255.255.252.0,1024
2.59.64.0/22,2.59.64.0,2.59.67.255,22,255.255.252.0,1024
5.23.128.0/17,5.23.128.0,5.23.255.255,17,255.255.128.0,32768
5.134.0.0/21,5.134.0.0,5.134.7.255,21,255.255.248.0,2048
5.149.136.0/21,5.149.136.0,5.149.143.255,21,255.255.248.0,2048
5.183.52.0/22,5.183.52.0,5.183.55.255,22,255.255.252.0,1024
5.183.236.0/22,5.183.236.0,5.183.239.255,22,255.255.252.0,1024
5.253.231.0/24,5.253.231.0,5.253.231.255,24,255.255.255.0,256
5.255.128.0/21,5.255.128.0,5.255.135.255,21,255.255.248.0,2048
31.12.64.0/21,31.12.64.0,31.12.71.255,21,255.255.248.0,2048
31.14.50.0/23,31.14.50.0,31.14.51.255,23,255.255.254.0,512
31.22.16.0/21,31.22.16.0,31.22.23.255,21,255.255.248.0,2048
31.24.112.0/21,31.24.112.0,31.24.119.255,21,255.255.248.0,2048
31.24.249.0/24,31.24.249.0,31.24.249.255,24,255.255.255.0,256
31.31.128.0/19,31.31.128.0,31.31.159.255,19,255.255.224.0,8192
31.193.40.0/21,31.193.40.0,31.193.47.255,21,255.255.248.0,2048
31.193.176.0/21,31.193.176.0,31.193.183.255,21,255.255.248.0,2048
31.216.58.0/24,31.216.58.0,31.216.58.255,24,255.255.255.0,256
37.19.8.0/21,37.19.8.0,37.19.15.255,21,255.255.248.0,2048
37.44.240.0/22,37.44.240.0,37.44.243.255,22,255.255.252.0,1024
37.58.40.0/21,37.58.40.0,37.58.47.255,21,255.255.248.0,2048
37.62.0.0/16,37.62.0.0,37.62.255.255,16,255.255.0.0,65536
37.72.110.0/24,37.72.110.0,37.72.110.255,24,255.255.255.0,256
37.72.160.0/21,37.72.160.0,37.72.167.255,21,255.255.248.0,2048
37.123.232.0/21,37.123.232.0,37.123.239.255,21,255.255.248.0,2048
37.143.0.0/21,37.143.0.0,37.143.7.255,21,255.255.248.0,2048
37.148.176.0/21,37.148.176.0,37.148.183.255,21,255.255.248.0,2048
37.184.0.0/15,37.184.0.0,37.185.255.255,15,255.254.0.0,131072
37.208.56.0/21,37.208.56.0,37.208.63.255,21,255.255.248.0,2048
37.208.88.0/21,37.208.88.0,37.208.95.255,21,255.255.248.0,2048
37.228.72.0/21,37.228.72.0,37.228.79.255,21,255.255.248.0,2048
37.230.120.0/21,37.230.120.0,37.230.127.255,21,255.255.248.0,2048
45.13.100.0/22,45.13.100.0,45.13.103.255,22,255.255.252.0,1024
