# CIDR,network(start) address,end address,prefix,subnet mask
41.78.48.0/21,41.78.48.0,41.78.55.255,21,255.255.248.0
41.138.96.0/19,41.138.96.0,41.138.127.255,19,255.255.224.0
41.203.224.0/20,41.203.224.0,41.203.239.255,20,255.255.240.0
41.216.144.0/20,41.216.144.0,41.216.159.255,20,255.255.240.0
41.223.232.0/22,41.223.232.0,41.223.235.255,22,255.255.252.0
102.23.0.0/18,102.23.0.0,102.23.63.255,18,255.255.192.0
102.36.164.0/22,102.36.164.0,102.36.167.255,22,255.255.252.0
102.67.96.0/19,102.67.96.0,102.67.127.255,19,255.255.224.0
102.67.172.0/22,102.67.172.0,102.67.175.255,22,255.255.252.0
102.68.32.0/21,102.68.32.0,102.68.39.255,21,255.255.248.0
102.68.100.0/22,102.68.100.0,102.68.103.255,22,255.255.252.0
102.68.125.0/24,102.68.125.0,102.68.125.255,24,255.255.255.0
102.68.188.0/22,102.68.188.0,102.68.191.255,22,255.255.252.0
102.69.152.0/22,102.69.152.0,102.69.155.255,22,255.255.252.0
102.176.176.0/22,102.176.176.0,102.176.179.255,22,255.255.252.0
102.178.0.0/15,102.178.0.0,102.179.255.255,15,255.254.0.0
102.180.0.0/16,102.180.0.0,102.180.255.255,16,255.255.0.0
102.212.160.0/23,102.212.160.0,102.212.161.255,23,255.255.254.0
102.214.40.0/22,102.214.40.0,102.214.43.255,22,255.255.252.0
102.214.64.0/22,102.214.64.0,102.214.67.255,22,255.255.252.0
102.216.120.0/22,102.216.120.0,102.216.123.255,22,255.255.252.0
102.219.0.0/22,102.219.0.0,102.219.3.255,22,255.255.252.0
102.219.92.0/24,102.219.92.0,102.219.92.255,24,255.255.255.0
102.222.56.0/22,102.222.56.0,102.222.59.255,22,255.255.252.0
102.222.120.0/22,102.222.120.0,102.222.123.255,22,255.255.252.0
102.223.102.0/24,102.223.102.0,102.223.102.255,24,255.255.255.0
102.223.174.0/23,102.223.174.0,102.223.175.255,23,255.255.254.0
105.235.176.0/20,105.235.176.0,105.235.191.255,20,255.255.240.0
129.45.128.0/17,129.45.128.0,129.45.255.255,17,255.255.128.0
154.65.60.0/22,154.65.60.0,154.65.63.255,22,255.255.252.0
154.66.160.0/20,154.66.160.0,154.66.175.255,20,255.255.240.0
160.226.184.0/22,160.226.184.0,160.226.187.255,22,255.255.252.0
165.16.208.0/20,165.16.208.0,165.16.223.255,20,255.255.240.0
192.12.116.0/24,192.12.116.0,192.12.116.255,24,255.255.255.0
192.136.55.0/24,192.136.55.0,192.136.55.255,24,255.255.255.0
192.136.56.0/23,192.136.56.0,192.136.57.255,23,255.255.254.0
196.13.207.0/24,196.13.207.0,196.13.207.255,24,255.255.255.0
196.28.240.0/20,196.28.240.0,196.28.255.255,20,255.255.240.0
196.43.247.0/24,196.43.247.0,196.43.247.255,24,255.255.255.0
196.49.19.0/24,196.49.19.0,196.49.19.255,24,255.255.255.0
196.49.74.0/24,196.49.74.0,196.49.74.255,24,255.255.255.0
196.60.76.0/24,196.60.76.0,196.60.76.255,24,255.255.255.0
196.223.47.0/24,196.223.47.0,196.223.47.255,24,255.255.255.0
197.239.64.0/18,197.239.64.0,197.239.127.255,18,255.255.192.0
212.52.128.0/19,212.52.128.0,212.52.159.255,19,255.255.224.0
