# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.12.0/22,2.56.12.0,2.56.15.255,22,255.255.252.0,1024
2.56.52.0/22,2.56.52.0,2.56.55.255,22,255.255.252.0,1024
2.58.92.0/24,2.58.92.0,2.58.92.255,24,255.255.255.0,256
2.58.95.0/24,2.58.95.0,2.58.95.255,24,255.255.255.0,256
2.59.252.0/22,2.59.252.0,2.59.255.255,22,255.255.252.0,1024
5.32.128.0/21,5.32.128.0,5.32.135.255,21,255.255.248.0,2048
5.53.128.0/17,5.53.128.0,5.53.255.255,17,255.255.128.0,32768
5.61.96.0/20,5.61.96.0,5.61.111.255,20,255.255.240.0,4096
5.104.160.0/19,5.104.160.0,5.104.191.255,19,255.255.224.0,8192
5.133.92.0/22,5.133.92.0,5.133.95.255,22,255.255.252.0,1024
5.149.248.0/21,5.149.248.0,5.149.255.255,21,255.255.248.0,2048
5.181.28.0/22,5.181.28.0,5.181.31.255,22,255.255.252.0,1024
5.181.55.0/24,5.181.55.0,5.181.55.255,24,255.255.255.0,256
5.181.80.0/22,5.181.80.0,5.181.83.255,22,255.255.252.0,1024
5.182.20.0/22,5.182.20.0,5.182.23.255,22,255.255.252.0,1024
5.183.228.0/22,5.183.228.0,5.183.231.255,22,255.255.252.0,1024
5.252.132.0/22,5.252.132.0,5.252.135.255,22,255.255.252.0,1024
5.253.56.0/22,5.253.56.0,5.253.59.255,22,255.255.252.0,1024
5.253.64.0/22,5.253.64.0,5.253.67.255,22,255.255.252.0,1024
31.10.5.0/24,31.10.5.0,31.10.5.255,24,255.255.255.0,256
31.13.192.0/23,31.13.192.0,31.13.193.255,23,255.255.254.0,512
31.13.195.0/24,31.13.195.0,31.13.195.255,24,255.255.255.0,256
31.13.196.0/22,31.13.196.0,31.13.199.255,22,255.255.252.0,1024
31.13.200.0/21,31.13.200.0,31.13.207.255,21,255.255.248.0,2048
31.13.208.0/23,31.13.208.0,31.13.209.255,23,255.255.254.0,512
31.13.211.0/24,31.13.211.0,31.13.211.255,24,255.255.255.0,256
31.13.212.0/24,31.13.212.0,31.13.212.255,24,255.255.255.0,256
31.13.215.0/24,31.13.215.0,31.13.215.255,24,255.255.255.0,256
31.13.216.0/21,31.13.216.0,31.13.223.255,21,255.255.248.0,2048
31.13.224.0/20,31.13.224.0,31.13.239.255,20,255.255.240.0,4096
31.13.240.0/21,31.13.240.0,31.13.247.255,21,255.255.248.0,2048
31.13.248.0/24,31.13.248.0,31.13.248.255,24,255.255.255.0,256
31.41.16.0/21,31.41.16.0,31.41.23.255,21,255.255.248.0,2048
31.169.124.0/22,31.169.124.0,31.169.127.255,22,255.255.252.0,1024
31.193.189.0/24,31.193.189.0,31.193.189.255,24,255.255.255.0,256
31.210.170.0/23,31.210.170.0,31.210.171.255,23,255.255.254.0,512
31.210.172.0/23,31.210.172.0,31.210.173.255,23,255.255.254.0,512
31.211.128.0/19,31.211.128.0,31.211.159.255,19,255.255.224.0,8192
37.60.136.0/22,37.60.136.0,37.60.139.255,22,255.255.252.0,1024
37.60.140.0/23,37.60.140.0,37.60.141.255,23,255.255.254.0,512
37.60.143.0/24,37.60.143.0,37.60.143.255,24,255.255.255.0,256
37.60.224.0/19,37.60.224.0,37.60.255.255,19,255.255.224.0,8192
37.63.0.0/17,37.63.0.0,37.63.127.255,17,255.255.128.0,32768
37.72.130.0/24,37.72.130.0,37.72.130.255,24,255.255.255.0,256
37.77.80.0/20,37.77.80.0,37.77.95.255,20,255.255.240.0,4096
37.130.240.0/21,37.130.240.0,37.130.247.255,21,255.255.248.0,2048
37.139.128.0/23,37.139.128.0,37.139.129.255,23,255.255.254.0,512
37.139.130.0/24,37.139.130.0,37.139.130.255,24,255.255.255.0,256
37.143.192.0/18,37.143.192.0,37.143.255.255,18,255.255.192.0,16384
37.157.136.0/21,37.157.136.0,37.157.143.255,21,255.255.248.0,2048
37.157.160.0/19,37.157.160.0,37.157.191.255,19,255.255.224.0,8192
37.209.168.0/21,37.209.168.0,37.209.175.255,21,255.255.248.0,2048
37.221.120.0/22,37.221.120.0,37.221.123.255,22,255.255.252.0,1024
45.8.72.0/23,45.8.72.0,45.8.73.255,23,255.255.254.0,512
45.8.92.0/22,45.8.92.0,45.8.95.255,22,255.255.252.0,1024
45.9.156.0/22,45.9.156.0,45.9.159.255,22,255.255.252.0,1024
45.9.208.0/22,45.9.208.0,45.9.211.255,22,255.255.252.0,1024
45.10.188.0/22,45.10.188.0,45.10.191.255,22,255.255.252.0,1024
45.12.253.0/24,45.12.253.0,45.12.253.255,24,255.255.255.0,256
45.12.254.0/23,45.12.254.0,45.12.255.255,23,255.255.254.0,512
45.14.164.0/22,45.14.164.0,45.14.167.255,22,255.255.252.0,1024
45.15.180.0/22,45.15.180.0,45.15.183.255,22,255.255.252.0,1024
45.65.68.0/22,45.65.68.0,45.65.71.255,22,255.255.252.0,1024
45.66.44.0/22,45.66.44.0,45.66.47.255,22,255.255.252.0,1024
