# CIDR,network(start) address,end address,prefix,subnet mask
31.217.249.0/24,31.217.249.0,31.217.249.255,24,255.255.255.0
37.131.0.0/17,37.131.0.0,37.131.127.255,17,255.255.128.0
45.11.72.0/22,45.11.72.0,45.11.75.255,22,255.255.252.0
46.42.64.0/18,46.42.64.0,46.42.127.255,18,255.255.192.0
46.184.128.0/17,46.184.128.0,46.184.255.255,17,255.255.128.0
46.235.208.0/21,46.235.208.0,46.235.215.255,21,255.255.248.0
62.209.0.0/19,62.209.0.0,62.209.31.255,19,255.255.224.0
77.69.128.0/17,77.69.128.0,77.69.255.255,17,255.255.128.0
77.83.88.0/22,77.83.88.0,77.83.91.255,22,255.255.252.0
77.92.160.0/19,77.92.160.0,77.92.191.255,19,255.255.224.0
78.110.64.0/20,78.110.64.0,78.110.79.255,20,255.255.240.0
79.171.240.0/21,79.171.240.0,79.171.247.255,21,255.255.248.0
80.88.240.0/20,80.88.240.0,80.88.255.255,20,255.255.240.0
80.95.208.0/20,80.95.208.0,80.95.223.255,20,255.255.240.0
80.241.144.0/20,80.241.144.0,80.241.159.255,20,255.255.240.0
81.22.16.0/20,81.22.16.0,81.22.31.255,20,255.255.240.0
82.194.32.0/19,82.194.32.0,82.194.63.255,19,255.255.224.0
83.136.56.0/21,83.136.56.0,83.136.63.255,21,255.255.248.0
84.255.128.0/18,84.255.128.0,84.255.191.255,18,255.255.192.0
85.158.128.0/21,85.158.128.0,85.158.135.255,21,255.255.248.0
87.236.48.0/21,87.236.48.0,87.236.55.255,21,255.255.248.0
87.236.136.0/21,87.236.136.0,87.236.143.255,21,255.255.248.0
87.237.192.0/21,87.237.192.0,87.237.199.255,21,255.255.248.0
87.252.96.0/21,87.252.96.0,87.252.103.255,21,255.255.248.0
87.252.104.0/23,87.252.104.0,87.252.105.255,23,255.255.254.0
87.252.126.0/23,87.252.126.0,87.252.127.255,23,255.255.254.0
88.201.0.0/17,88.201.0.0,88.201.127.255,17,255.255.128.0
89.31.192.0/21,89.31.192.0,89.31.199.255,21,255.255.248.0
89.148.0.0/18,89.148.0.0,89.148.63.255,18,255.255.192.0
91.189.188.0/22,91.189.188.0,91.189.191.255,22,255.255.252.0
93.188.192.0/21,93.188.192.0,93.188.199.255,21,255.255.248.0
94.76.0.0/18,94.76.0.0,94.76.63.255,18,255.255.192.0
94.79.192.0/18,94.79.192.0,94.79.255.255,18,255.255.192.0
95.84.64.0/18,95.84.64.0,95.84.127.255,18,255.255.192.0
109.63.0.0/17,109.63.0.0,109.63.127.255,17,255.255.128.0
109.161.128.0/17,109.161.128.0,109.161.255.255,17,255.255.128.0
151.248.96.0/20,151.248.96.0,151.248.111.255,20,255.255.240.0
176.118.176.0/22,176.118.176.0,176.118.179.255,22,255.255.252.0
178.132.32.0/20,178.132.32.0,178.132.47.255,20,255.255.240.0
185.3.120.0/22,185.3.120.0,185.3.123.255,22,255.255.252.0
185.7.8.0/22,185.7.8.0,185.7.11.255,22,255.255.252.0
185.33.176.0/22,185.33.176.0,185.33.179.255,22,255.255.252.0
185.34.228.0/22,185.34.228.0,185.34.231.255,22,255.255.252.0
185.36.88.0/22,185.36.88.0,185.36.91.255,22,255.255.252.0
185.49.160.0/22,185.49.160.0,185.49.163.255,22,255.255.252.0
185.143.124.0/22,185.143.124.0,185.143.127.255,22,255.255.252.0
185.156.236.0/22,185.156.236.0,185.156.239.255,22,255.255.252.0
185.165.176.0/22,185.165.176.0,185.165.179.255,22,255.255.252.0
185.201.192.0/22,185.201.192.0,185.201.195.255,22,255.255.252.0
185.236.132.0/22,185.236.132.0,185.236.135.255,22,255.255.252.0
188.116.192.0/18,188.116.192.0,188.116.255.255,18,255.255.192.0
188.137.128.0/17,188.137.128.0,188.137.255.255,17,255.255.128.0
193.25.204.0/24,193.25.204.0,193.25.204.255,24,255.255.255.0
193.188.12.0/23,193.188.12.0,193.188.13.255,23,255.255.254.0
193.188.96.0/19,193.188.96.0,193.188.127.255,19,255.255.224.0
213.5.134.0/24,213.5.134.0,213.5.134.255,24,255.255.255.0
217.17.224.0/19,217.17.224.0,217.17.255.255,19,255.255.224.0
