# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.74.0.0/20,41.74.0.0,41.74.15.255,20,255.255.240.0,4096
41.79.216.0/22,41.79.216.0,41.79.219.255,22,255.255.252.0,1024
41.85.160.0/19,41.85.160.0,41.85.191.255,19,255.255.224.0,8192
41.86.224.0/19,41.86.224.0,41.86.255.255,19,255.255.224.0,8192
41.138.88.0/22,41.138.88.0,41.138.91.255,22,255.255.252.0,1024
41.191.84.0/22,41.191.84.0,41.191.87.255,22,255.255.252.0,1024
41.216.32.0/19,41.216.32.0,41.216.63.255,19,255.255.224.0,8192
41.222.192.0/22,41.222.192.0,41.222.195.255,22,255.255.252.0,1024
41.223.248.0/22,41.223.248.0,41.223.251.255,22,255.255.252.0,1024
45.221.224.0/19,45.221.224.0,45.221.255.255,19,255.255.224.0,8192
81.91.224.0/20,81.91.224.0,81.91.239.255,20,255.255.240.0,4096
102.38.128.0/19,102.38.128.0,102.38.159.255,19,255.255.224.0,8192
102.213.224.0/22,102.213.224.0,102.213.227.255,22,255.255.252.0,1024
102.214.143.0/24,102.214.143.0,102.214.143.255,24,255.255.255.0,256
102.214.247.0/24,102.214.247.0,102.214.247.255,24,255.255.255.0,256
102.215.88.0/22,102.215.88.0,102.215.91.255,22,255.255.252.0,1024
102.215.93.0/24,102.215.93.0,102.215.93.255,24,255.255.255.0,256
102.215.124.0/22,102.215.124.0,102.215.127.255,22,255.255.252.0,1024
102.215.136.0/22,102.215.136.0,102.215.139.255,22,255.255.252.0,1024
102.216.164.0/22,102.216.164.0,102.216.167.255,22,255.255.252.0,1024
102.222.216.0/22,102.222.216.0,102.222.219.255,22,255.255.252.0,1024
137.255.0.0/16,137.255.0.0,137.255.255.255,16,255.255.0.0,65536
154.65.28.0/22,154.65.28.0,154.65.31.255,22,255.255.252.0,1024
154.66.128.0/20,154.66.128.0,154.66.143.255,20,255.255.240.0,4096
154.127.32.0/20,154.127.32.0,154.127.47.255,20,255.255.240.0,4096
156.0.212.0/22,156.0.212.0,156.0.215.255,22,255.255.252.0,1024
160.119.144.0/22,160.119.144.0,160.119.147.255,22,255.255.252.0,1024
164.160.140.0/22,164.160.140.0,164.160.143.255,22,255.255.252.0,1024
196.49.8.0/24,196.49.8.0,196.49.8.255,24,255.255.255.0,256
196.192.16.0/20,196.192.16.0,196.192.31.255,20,255.255.240.0,4096
196.223.40.0/24,196.223.40.0,196.223.40.255,24,255.255.255.0,256
196.251.152.0/22,196.251.152.0,196.251.155.255,22,255.255.252.0,1024
197.234.216.0/21,197.234.216.0,197.234.223.255,21,255.255.248.0,2048
