# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
31.47.88.0/21,31.47.88.0,31.47.95.255,21,255.255.248.0,2048
45.42.144.0/22,45.42.144.0,45.42.147.255,22,255.255.252.0,1024
64.37.32.0/20,64.37.32.0,64.37.47.255,20,255.255.240.0,4096
64.89.168.0/22,64.89.168.0,64.89.171.255,22,255.255.252.0,1024
64.147.80.0/20,64.147.80.0,64.147.95.255,20,255.255.240.0,4096
66.55.112.0/20,66.55.112.0,66.55.127.255,20,255.255.240.0,4096
66.97.172.0/23,66.97.172.0,66.97.173.255,23,255.255.254.0,512
69.17.192.0/19,69.17.192.0,69.17.223.255,19,255.255.224.0,8192
74.114.240.0/22,74.114.240.0,74.114.243.255,22,255.255.252.0,1024
76.8.32.0/20,76.8.32.0,76.8.47.255,20,255.255.240.0,4096
104.218.168.0/21,104.218.168.0,104.218.175.255,21,255.255.248.0,2048
142.54.192.0/21,142.54.192.0,142.54.199.255,21,255.255.248.0,2048
162.219.233.0/24,162.219.233.0,162.219.233.255,24,255.255.255.0,256
162.221.212.0/22,162.221.212.0,162.221.215.255,22,255.255.252.0,1024
162.255.216.0/21,162.255.216.0,162.255.223.255,21,255.255.248.0,2048
185.198.104.0/22,185.198.104.0,185.198.107.255,22,255.255.252.0,1024
192.40.84.0/22,192.40.84.0,192.40.87.255,22,255.255.252.0,1024
192.156.199.0/24,192.156.199.0,192.156.199.255,24,255.255.255.0,256
196.1.107.0/24,196.1.107.0,196.1.107.255,24,255.255.255.0,256
196.12.64.0/18,196.12.64.0,196.12.127.255,18,255.255.192.0,16384
198.182.170.0/24,198.182.170.0,198.182.170.255,24,255.255.255.0,256
198.186.235.0/24,198.186.235.0,198.186.235.255,24,255.255.255.0,256
198.187.171.0/24,198.187.171.0,198.187.171.255,24,255.255.255.0,256
198.207.16.0/21,198.207.16.0,198.207.23.255,21,255.255.248.0,2048
199.15.228.0/22,199.15.228.0,199.15.231.255,22,255.255.252.0,1024
199.16.248.0/22,199.16.248.0,199.16.251.255,22,255.255.252.0,1024
199.27.70.0/23,199.27.70.0,199.27.71.255,23,255.255.254.0,512
199.68.192.0/22,199.68.192.0,199.68.195.255,22,255.255.252.0,1024
199.87.170.0/23,199.87.170.0,199.87.171.255,23,255.255.254.0,512
199.96.64.0/22,199.96.64.0,199.96.67.255,22,255.255.252.0,1024
199.193.228.0/22,199.193.228.0,199.193.231.255,22,255.255.252.0,1024
200.1.160.0/24,200.1.160.0,200.1.160.255,24,255.255.255.0,256
200.10.165.0/24,200.10.165.0,200.10.165.255,24,255.255.255.0,256
200.10.166.0/24,200.10.166.0,200.10.166.255,24,255.255.255.0,256
204.13.24.0/21,204.13.24.0,204.13.31.255,21,255.255.248.0,2048
205.211.8.0/23,205.211.8.0,205.211.9.255,23,255.255.254.0,512
206.53.176.0/20,206.53.176.0,206.53.191.255,20,255.255.240.0,4096
206.188.128.0/19,206.188.128.0,206.188.159.255,19,255.255.224.0,8192
207.2.96.0/21,207.2.96.0,207.2.103.255,21,255.255.248.0,2048
207.228.128.0/18,207.228.128.0,207.228.191.255,18,255.255.192.0,16384
208.64.0.0/23,208.64.0.0,208.64.1.255,23,255.255.254.0,512
208.64.6.0/23,208.64.6.0,208.64.7.255,23,255.255.254.0,512
208.75.200.0/22,208.75.200.0,208.75.203.255,22,255.255.252.0,1024
208.82.164.0/22,208.82.164.0,208.82.167.255,22,255.255.252.0,1024
208.89.228.0/22,208.89.228.0,208.89.231.255,22,255.255.252.0,1024
209.240.32.0/20,209.240.32.0,209.240.47.255,20,255.255.240.0,4096
216.249.32.0/20,216.249.32.0,216.249.47.255,20,255.255.240.0,4096
