# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
43.225.40.0/22,43.225.40.0,43.225.43.255,22,255.255.252.0,1024
43.225.136.0/22,43.225.136.0,43.225.139.255,22,255.255.252.0,1024
43.251.128.0/22,43.251.128.0,43.251.131.255,22,255.255.252.0,1024
45.126.140.0/22,45.126.140.0,45.126.143.255,22,255.255.252.0,1024
45.127.140.0/22,45.127.140.0,45.127.143.255,22,255.255.252.0,1024
58.97.144.0/20,58.97.144.0,58.97.159.255,20,255.255.240.0,4096
61.6.192.0/18,61.6.192.0,61.6.255.255,18,255.255.192.0,16384
103.4.188.0/22,103.4.188.0,103.4.191.255,22,255.255.252.0,1024
103.12.208.0/23,103.12.208.0,103.12.209.255,23,255.255.254.0,512
103.16.120.0/22,103.16.120.0,103.16.123.255,22,255.255.252.0,1024
103.17.24.0/22,103.17.24.0,103.17.27.255,22,255.255.252.0,1024
103.18.172.0/22,103.18.172.0,103.18.175.255,22,255.255.252.0,1024
103.20.24.0/22,103.20.24.0,103.20.27.255,22,255.255.252.0,1024
103.42.208.0/22,103.42.208.0,103.42.211.255,22,255.255.252.0,1024
103.139.109.0/24,103.139.109.0,103.139.109.255,24,255.255.255.0,256
103.162.82.0/24,103.162.82.0,103.162.82.255,24,255.255.255.0,256
103.170.170.0/24,103.170.170.0,103.170.170.255,24,255.255.255.0,256
103.224.96.0/22,103.224.96.0,103.224.99.255,22,255.255.252.0,1024
103.230.64.0/22,103.230.64.0,103.230.67.255,22,255.255.252.0,1024
118.103.248.0/21,118.103.248.0,118.103.255.255,21,255.255.248.0,2048
119.160.128.0/18,119.160.128.0,119.160.191.255,18,255.255.192.0,16384
139.5.184.0/22,139.5.184.0,139.5.187.255,22,255.255.252.0,1024
156.31.0.0/16,156.31.0.0,156.31.255.255,16,255.255.0.0,65536
158.161.0.0/16,158.161.0.0,158.161.255.255,16,255.255.0.0,65536
185.8.100.0/22,185.8.100.0,185.8.103.255,22,255.255.252.0,1024
185.100.40.0/22,185.100.40.0,185.100.43.255,22,255.255.252.0,1024
192.94.122.0/24,192.94.122.0,192.94.122.255,24,255.255.255.0,256
195.128.4.0/22,195.128.4.0,195.128.7.255,22,255.255.252.0,1024
202.12.26.0/24,202.12.26.0,202.12.26.255,24,255.255.255.0,256
202.59.230.0/24,202.59.230.0,202.59.230.255,24,255.255.255.0,256
202.86.24.0/21,202.86.24.0,202.86.31.255,21,255.255.248.0,2048
202.90.36.0/24,202.90.36.0,202.90.36.255,24,255.255.255.0,256
202.93.208.0/20,202.93.208.0,202.93.223.255,20,255.255.240.0,4096
202.152.64.0/19,202.152.64.0,202.152.95.255,19,255.255.224.0,8192
202.160.0.0/19,202.160.0.0,202.160.31.255,19,255.255.224.0,8192
202.160.32.0/20,202.160.32.0,202.160.47.255,20,255.255.240.0,4096
