# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.4.98.0/23,45.4.98.0,45.4.99.255,23,255.255.254.0,512
45.5.13.0/24,45.5.13.0,45.5.13.255,24,255.255.255.0,256
45.68.0.0/22,45.68.0.0,45.68.3.255,22,255.255.252.0,1024
45.70.180.0/22,45.70.180.0,45.70.183.255,22,255.255.252.0,1024
45.163.18.0/23,45.163.18.0,45.163.19.255,23,255.255.254.0,512
45.183.184.0/22,45.183.184.0,45.183.187.255,22,255.255.252.0,1024
45.225.75.0/24,45.225.75.0,45.225.75.255,24,255.255.255.0,256
45.226.32.0/22,45.226.32.0,45.226.35.255,22,255.255.252.0,1024
45.229.195.0/24,45.229.195.0,45.229.195.255,24,255.255.255.0,256
45.229.244.0/23,45.229.244.0,45.229.245.255,23,255.255.254.0,512
45.232.46.0/23,45.232.46.0,45.232.47.255,23,255.255.254.0,512
45.236.192.0/22,45.236.192.0,45.236.195.255,22,255.255.252.0,1024
131.0.0.0/22,131.0.0.0,131.0.3.255,22,255.255.252.0,1024
131.0.196.0/22,131.0.196.0,131.0.199.255,22,255.255.252.0,1024
132.251.224.0/19,132.251.224.0,132.251.255.255,19,255.255.224.0,8192
138.36.76.0/22,138.36.76.0,138.36.79.255,22,255.255.252.0,1024
143.0.101.0/24,143.0.101.0,143.0.101.255,24,255.255.255.0,256
143.137.112.0/22,143.137.112.0,143.137.115.255,22,255.255.252.0,1024
143.137.228.0/22,143.137.228.0,143.137.231.255,22,255.255.252.0,1024
160.20.225.0/24,160.20.225.0,160.20.225.255,24,255.255.255.0,256
161.22.128.0/17,161.22.128.0,161.22.255.255,17,255.255.128.0,32768
161.56.0.0/16,161.56.0.0,161.56.255.255,16,255.255.0.0,65536
161.138.0.0/16,161.138.0.0,161.138.255.255,16,255.255.0.0,65536
166.114.0.0/16,166.114.0.0,166.114.255.255,16,255.255.0.0,65536
167.157.0.0/16,167.157.0.0,167.157.255.255,16,255.255.0.0,65536
167.250.135.0/24,167.250.135.0,167.250.135.255,24,255.255.255.0,256
168.197.240.0/22,168.197.240.0,168.197.243.255,22,255.255.252.0,1024
168.205.96.0/22,168.205.96.0,168.205.99.255,22,255.255.252.0,1024
168.228.132.0/22,168.228.132.0,168.228.135.255,22,255.255.252.0,1024
170.82.244.0/23,170.82.244.0,170.82.245.255,23,255.255.254.0,512
170.239.120.0/22,170.239.120.0,170.239.123.255,22,255.255.252.0,1024
170.245.35.0/24,170.245.35.0,170.245.35.255,24,255.255.255.0,256
170.247.160.0/22,170.247.160.0,170.247.163.255,22,255.255.252.0,1024
177.222.32.0/19,177.222.32.0,177.222.63.255,19,255.255.224.0,8192
177.222.96.0/19,177.222.96.0,177.222.127.255,19,255.255.224.0,8192
179.0.30.0/24,179.0.30.0,179.0.30.255,24,255.255.255.0,256
179.42.80.0/22,179.42.80.0,179.42.83.255,22,255.255.252.0,1024
179.58.0.0/15,179.58.0.0,179.59.255.255,15,255.254.0.0,131072
179.60.112.0/20,179.60.112.0,179.60.127.255,20,255.255.240.0,4096
181.114.64.0/18,181.114.64.0,181.114.127.255,18,255.255.192.0,16384
181.114.160.0/19,181.114.160.0,181.114.191.255,19,255.255.224.0,8192
181.115.128.0/17,181.115.128.0,181.115.255.255,17,255.255.128.0,32768
181.177.128.0/18,181.177.128.0,181.177.191.255,18,255.255.192.0,16384
181.188.128.0/18,181.188.128.0,181.188.191.255,18,255.255.192.0,16384
181.191.68.0/22,181.191.68.0,181.191.71.255,22,255.255.252.0,1024
181.227.0.0/16,181.227.0.0,181.227.255.255,16,255.255.0.0,65536
186.0.156.0/22,186.0.156.0,186.0.159.255,22,255.255.252.0,1024
186.2.0.0/17,186.2.0.0,186.2.127.255,17,255.255.128.0,32768
186.27.0.0/17,186.27.0.0,186.27.127.255,17,255.255.128.0,32768
186.121.192.0/18,186.121.192.0,186.121.255.255,18,255.255.192.0,16384
186.195.247.0/24,186.195.247.0,186.195.247.255,24,255.255.255.0,256
187.102.200.0/22,187.102.200.0,187.102.203.255,22,255.255.252.0,1024
190.0.248.0/21,190.0.248.0,190.0.255.255,21,255.255.248.0,2048
190.3.184.0/21,190.3.184.0,190.3.191.255,21,255.255.248.0,2048
190.11.64.0/19,190.11.64.0,190.11.95.255,19,255.255.224.0,8192
190.14.64.0/18,190.14.64.0,190.14.127.255,18,255.255.192.0,16384
190.52.48.0/21,190.52.48.0,190.52.55.255,21,255.255.248.0,2048
190.99.92.0/22,190.99.92.0,190.99.95.255,22,255.255.252.0,1024
190.103.64.0/20,190.103.64.0,190.103.79.255,20,255.255.240.0,4096
190.104.0.0/19,190.104.0.0,190.104.31.255,19,255.255.224.0,8192
190.106.240.0/20,190.106.240.0,190.106.255.255,20,255.255.240.0,4096
190.107.32.0/19,190.107.32.0,190.107.63.255,19,255.255.224.0,8192
190.109.224.0/19,190.109.224.0,190.109.255.255,19,255.255.224.0,8192
190.111.152.0/22,190.111.152.0,190.111.155.255,22,255.255.252.0,1024
190.111.178.0/24,190.111.178.0,190.111.178.255,24,255.255.255.0,256
190.129.0.0/16,190.129.0.0,190.129.255.255,16,255.255.0.0,65536
190.171.192.0/18,190.171.192.0,190.171.255.255,18,255.255.192.0,16384
190.180.0.0/17,190.180.0.0,190.180.127.255,17,255.255.128.0,32768
190.181.0.0/18,190.181.0.0,190.181.63.255,18,255.255.192.0,16384
190.186.0.0/16,190.186.0.0,190.186.255.255,16,255.255.0.0,65536
190.211.224.0/20,190.211.224.0,190.211.239.255,20,255.255.240.0,4096
191.241.62.0/23,191.241.62.0,191.241.63.255,23,255.255.254.0,512
192.223.64.0/18,192.223.64.0,192.223.127.255,18,255.255.192.0,16384
192.245.121.0/24,192.245.121.0,192.245.121.255,24,255.255.255.0,256
200.7.160.0/20,200.7.160.0,200.7.175.255,20,255.255.240.0,4096
200.9.165.0/24,200.9.165.0,200.9.165.255,24,255.255.255.0,256
200.9.166.0/23,200.9.166.0,200.9.167.255,23,255.255.254.0,512
200.9.168.0/24,200.9.168.0,200.9.168.255,24,255.255.255.0,256
200.10.156.0/23,200.10.156.0,200.10.157.255,23,255.255.254.0,512
200.12.248.0/21,200.12.248.0,200.12.255.255,21,255.255.248.0,2048
200.13.152.0/21,200.13.152.0,200.13.159.255,21,255.255.248.0,2048
200.33.113.0/24,200.33.113.0,200.33.113.255,24,255.255.255.0,256
200.58.64.0/19,200.58.64.0,200.58.95.255,19,255.255.224.0,8192
200.58.160.0/19,200.58.160.0,200.58.191.255,19,255.255.224.0,8192
200.73.96.0/21,200.73.96.0,200.73.103.255,21,255.255.248.0,2048
200.75.160.0/20,200.75.160.0,200.75.175.255,20,255.255.240.0,4096
200.85.128.0/21,200.85.128.0,200.85.135.255,21,255.255.248.0,2048
200.85.140.0/22,200.85.140.0,200.85.143.255,22,255.255.252.0,1024
200.85.144.0/21,200.85.144.0,200.85.151.255,21,255.255.248.0,2048
200.87.0.0/16,200.87.0.0,200.87.255.255,16,255.255.0.0,65536
200.90.144.0/21,200.90.144.0,200.90.151.255,21,255.255.248.0,2048
200.105.128.0/18,200.105.128.0,200.105.191.255,18,255.255.192.0,16384
200.105.192.0/19,200.105.192.0,200.105.223.255,19,255.255.224.0,8192
200.106.244.0/23,200.106.244.0,200.106.245.255,23,255.255.254.0,512
200.107.240.0/21,200.107.240.0,200.107.247.255,21,255.255.248.0,2048
200.110.48.0/20,200.110.48.0,200.110.63.255,20,255.255.240.0,4096
200.119.192.0/19,200.119.192.0,200.119.223.255,19,255.255.224.0,8192
201.131.41.0/24,201.131.41.0,201.131.41.255,24,255.255.255.0,256
201.131.45.0/24,201.131.45.0,201.131.45.255,24,255.255.255.0,256
201.150.160.0/19,201.150.160.0,201.150.191.255,19,255.255.224.0,8192
201.222.64.0/18,201.222.64.0,201.222.127.255,18,255.255.192.0,16384
