# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
138.185.208.0/22,138.185.208.0,138.185.211.255,22,255.255.252.0,1024
143.0.32.0/22,143.0.32.0,143.0.35.255,22,255.255.252.0,1024
161.0.80.0/20,161.0.80.0,161.0.95.255,20,255.255.240.0,4096
186.159.96.0/20,186.159.96.0,186.159.111.255,20,255.255.240.0,4096
190.4.64.0/20,190.4.64.0,190.4.79.255,20,255.255.240.0,4096
190.97.112.0/21,190.97.112.0,190.97.119.255,21,255.255.248.0,2048
190.107.248.0/21,190.107.248.0,190.107.255.255,21,255.255.248.0,2048
190.123.16.0/22,190.123.16.0,190.123.19.255,22,255.255.252.0,1024
193.17.35.0/24,193.17.35.0,193.17.35.255,24,255.255.255.0,256
200.6.144.0/21,200.6.144.0,200.6.151.255,21,255.255.248.0,2048
200.71.248.0/21,200.71.248.0,200.71.255.255,21,255.255.248.0,2048
200.107.84.0/22,200.107.84.0,200.107.87.255,22,255.255.252.0,1024
