# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
24.152.0.0/19,24.152.0.0,24.152.31.255,19,255.255.224.0,8192
24.152.32.0/21,24.152.32.0,24.152.39.255,21,255.255.248.0,2048
24.152.44.0/22,24.152.44.0,24.152.47.255,22,255.255.252.0,1024
24.152.60.0/22,24.152.60.0,24.152.63.255,22,255.255.252.0,1024
24.152.64.0/18,24.152.64.0,24.152.127.255,18,255.255.192.0,16384
45.4.4.0/22,45.4.4.0,45.4.7.255,22,255.255.252.0,1024
45.4.8.0/21,45.4.8.0,45.4.15.255,21,255.255.248.0,2048
45.4.16.0/20,45.4.16.0,45.4.31.255,20,255.255.240.0,4096
45.4.32.0/19,45.4.32.0,45.4.63.255,19,255.255.224.0,8192
45.4.64.0/20,45.4.64.0,45.4.79.255,20,255.255.240.0,4096
45.4.80.0/22,45.4.80.0,45.4.83.255,22,255.255.252.0,1024
45.4.96.0/24,45.4.96.0,45.4.96.255,24,255.255.255.0,256
45.4.104.0/21,45.4.104.0,45.4.111.255,21,255.255.248.0,2048
45.4.112.0/20,45.4.112.0,45.4.127.255,20,255.255.240.0,4096
45.4.132.0/22,45.4.132.0,45.4.135.255,22,255.255.252.0,1024
45.4.140.0/22,45.4.140.0,45.4.143.255,22,255.255.252.0,1024
45.4.144.0/20,45.4.144.0,45.4.159.255,20,255.255.240.0,4096
45.4.176.0/20,45.4.176.0,45.4.191.255,20,255.255.240.0,4096
45.4.192.0/22,45.4.192.0,45.4.195.255,22,255.255.252.0,1024
45.4.208.0/21,45.4.208.0,45.4.215.255,21,255.255.248.0,2048
45.4.220.0/22,45.4.220.0,45.4.223.255,22,255.255.252.0,1024
45.4.224.0/20,45.4.224.0,45.4.239.255,20,255.255.240.0,4096
45.4.240.0/21,45.4.240.0,45.4.247.255,21,255.255.248.0,2048
45.4.248.0/22,45.4.248.0,45.4.251.255,22,255.255.252.0,1024
45.5.4.0/22,45.5.4.0,45.5.7.255,22,255.255.252.0,1024
45.5.14.0/24,45.5.14.0,45.5.14.255,24,255.255.255.0,256
45.5.16.0/22,45.5.16.0,45.5.19.255,22,255.255.252.0,1024
45.5.24.0/22,45.5.24.0,45.5.27.255,22,255.255.252.0,1024
45.5.32.0/20,45.5.32.0,45.5.47.255,20,255.255.240.0,4096
45.5.48.0/22,45.5.48.0,45.5.51.255,22,255.255.252.0,1024
45.5.72.0/22,45.5.72.0,45.5.75.255,22,255.255.252.0,1024
45.5.80.0/21,45.5.80.0,45.5.87.255,21,255.255.248.0,2048
45.5.88.0/22,45.5.88.0,45.5.91.255,22,255.255.252.0,1024
45.5.96.0/20,45.5.96.0,45.5.111.255,20,255.255.240.0,4096
45.5.112.0/22,45.5.112.0,45.5.115.255,22,255.255.252.0,1024
45.5.128.0/20,45.5.128.0,45.5.143.255,20,255.255.240.0,4096
45.5.144.0/22,45.5.144.0,45.5.147.255,22,255.255.252.0,1024
45.5.156.0/22,45.5.156.0,45.5.159.255,22,255.255.252.0,1024
45.5.168.0/22,45.5.168.0,45.5.171.255,22,255.255.252.0,1024
45.5.176.0/22,45.5.176.0,45.5.179.255,22,255.255.252.0,1024
45.5.192.0/20,45.5.192.0,45.5.207.255,20,255.255.240.0,4096
45.5.208.0/21,45.5.208.0,45.5.215.255,21,255.255.248.0,2048
45.5.220.0/22,45.5.220.0,45.5.223.255,22,255.255.252.0,1024
45.5.224.0/19,45.5.224.0,45.5.255.255,19,255.255.224.0,8192
45.6.0.0/22,45.6.0.0,45.6.3.255,22,255.255.252.0,1024
45.6.12.0/22,45.6.12.0,45.6.15.255,22,255.255.252.0,1024
45.6.16.0/20,45.6.16.0,45.6.31.255,20,255.255.240.0,4096
45.6.32.0/21,45.6.32.0,45.6.39.255,21,255.255.248.0,2048
45.6.52.0/22,45.6.52.0,45.6.55.255,22,255.255.252.0,1024
45.6.56.0/22,45.6.56.0,45.6.59.255,22,255.255.252.0,1024
45.6.64.0/19,45.6.64.0,45.6.95.255,19,255.255.224.0,8192
45.6.96.0/21,45.6.96.0,45.6.103.255,21,255.255.248.0,2048
45.6.108.0/22,45.6.108.0,45.6.111.255,22,255.255.252.0,1024
45.6.112.0/21,45.6.112.0,45.6.119.255,21,255.255.248.0,2048
45.6.124.0/22,45.6.124.0,45.6.127.255,22,255.255.252.0,1024
45.6.128.0/22,45.6.128.0,45.6.131.255,22,255.255.252.0,1024
45.6.136.0/22,45.6.136.0,45.6.139.255,22,255.255.252.0,1024
45.6.144.0/20,45.6.144.0,45.6.159.255,20,255.255.240.0,4096
45.6.160.0/19,45.6.160.0,45.6.191.255,19,255.255.224.0,8192
45.6.192.0/20,45.6.192.0,45.6.207.255,20,255.255.240.0,4096
45.6.208.0/22,45.6.208.0,45.6.211.255,22,255.255.252.0,1024
45.6.216.0/21,45.6.216.0,45.6.223.255,21,255.255.248.0,2048
45.6.228.0/22,45.6.228.0,45.6.231.255,22,255.255.252.0,1024
45.6.232.0/21,45.6.232.0,45.6.239.255,21,255.255.248.0,2048
45.6.240.0/21,45.6.240.0,45.6.247.255,21,255.255.248.0,2048
45.7.0.0/20,45.7.0.0,45.7.15.255,20,255.255.240.0,4096
45.7.16.0/21,45.7.16.0,45.7.23.255,21,255.255.248.0,2048
45.7.24.0/22,45.7.24.0,45.7.27.255,22,255.255.252.0,1024
45.7.32.0/21,45.7.32.0,45.7.39.255,21,255.255.248.0,2048
45.7.40.0/22,45.7.40.0,45.7.43.255,22,255.255.252.0,1024
45.7.48.0/20,45.7.48.0,45.7.63.255,20,255.255.240.0,4096
45.7.68.0/22,45.7.68.0,45.7.71.255,22,255.255.252.0,1024
45.7.72.0/21,45.7.72.0,45.7.79.255,21,255.255.248.0,2048
45.7.80.0/22,45.7.80.0,45.7.83.255,22,255.255.252.0,1024
45.7.92.0/22,45.7.92.0,45.7.95.255,22,255.255.252.0,1024
45.7.100.0/22,45.7.100.0,45.7.103.255,22,255.255.252.0,1024
45.7.104.0/21,45.7.104.0,45.7.111.255,21,255.255.248.0,2048
45.7.112.0/21,45.7.112.0,45.7.119.255,21,255.255.248.0,2048
45.7.120.0/22,45.7.120.0,45.7.123.255,22,255.255.252.0,1024
45.7.128.0/22,45.7.128.0,45.7.131.255,22,255.255.252.0,1024
45.7.144.0/20,45.7.144.0,45.7.159.255,20,255.255.240.0,4096
45.7.160.0/19,45.7.160.0,45.7.191.255,19,255.255.224.0,8192
45.7.192.0/20,45.7.192.0,45.7.207.255,20,255.255.240.0,4096
45.7.212.0/22,45.7.212.0,45.7.215.255,22,255.255.252.0,1024
45.7.216.0/21,45.7.216.0,45.7.223.255,21,255.255.248.0,2048
45.7.224.0/22,45.7.224.0,45.7.227.255,22,255.255.252.0,1024
45.7.232.0/22,45.7.232.0,45.7.235.255,22,255.255.252.0,1024
45.65.128.0/21,45.65.128.0,45.65.135.255,21,255.255.248.0,2048
45.65.140.0/22,45.65.140.0,45.65.143.255,22,255.255.252.0,1024
45.65.144.0/22,45.65.144.0,45.65.147.255,22,255.255.252.0,1024
45.65.156.0/22,45.65.156.0,45.65.159.255,22,255.255.252.0,1024
45.65.160.0/20,45.65.160.0,45.65.175.255,20,255.255.240.0,4096
45.65.176.0/21,45.65.176.0,45.65.183.255,21,255.255.248.0,2048
45.65.184.0/22,45.65.184.0,45.65.187.255,22,255.255.252.0,1024
45.65.192.0/21,45.65.192.0,45.65.199.255,21,255.255.248.0,2048
45.65.201.0/24,45.65.201.0,45.65.201.255,24,255.255.255.0,256
45.65.204.0/22,45.65.204.0,45.65.207.255,22,255.255.252.0,1024
45.65.208.0/20,45.65.208.0,45.65.223.255,20,255.255.240.0,4096
45.65.228.0/22,45.65.228.0,45.65.231.255,22,255.255.252.0,1024
45.65.236.0/22,45.65.236.0,45.65.239.255,22,255.255.252.0,1024
45.65.253.0/24,45.65.253.0,45.65.253.255,24,255.255.255.0,256
45.68.72.0/21,45.68.72.0,45.68.79.255,21,255.255.248.0,2048
45.68.80.0/21,45.68.80.0,45.68.87.255,21,255.255.248.0,2048
45.68.92.0/23,45.68.92.0,45.68.93.255,23,255.255.254.0,512
45.70.0.0/21,45.70.0.0,45.70.7.255,21,255.255.248.0,2048
45.70.16.0/20,45.70.16.0,45.70.31.255,20,255.255.240.0,4096
45.70.32.0/20,45.70.32.0,45.70.47.255,20,255.255.240.0,4096
45.70.48.0/21,45.70.48.0,45.70.55.255,21,255.255.248.0,2048
45.70.60.0/22,45.70.60.0,45.70.63.255,22,255.255.252.0,1024
45.70.64.0/20,45.70.64.0,45.70.79.255,20,255.255.240.0,4096
45.70.80.0/21,45.70.80.0,45.70.87.255,21,255.255.248.0,2048
45.70.92.0/22,45.70.92.0,45.70.95.255,22,255.255.252.0,1024
45.70.96.0/20,45.70.96.0,45.70.111.255,20,255.255.240.0,4096
45.70.112.0/22,45.70.112.0,45.70.115.255,22,255.255.252.0,1024
45.70.120.0/21,45.70.120.0,45.70.127.255,21,255.255.248.0,2048
45.70.128.0/20,45.70.128.0,45.70.143.255,20,255.255.240.0,4096
45.70.144.0/21,45.70.144.0,45.70.151.255,21,255.255.248.0,2048
45.70.156.0/22,45.70.156.0,45.70.159.255,22,255.255.252.0,1024
45.70.160.0/21,45.70.160.0,45.70.167.255,21,255.255.248.0,2048
45.70.172.0/22,45.70.172.0,45.70.175.255,22,255.255.252.0,1024
45.70.176.0/22,45.70.176.0,45.70.179.255,22,255.255.252.0,1024
45.70.188.0/22,45.70.188.0,45.70.191.255,22,255.255.252.0,1024
45.70.192.0/22,45.70.192.0,45.70.195.255,22,255.255.252.0,1024
45.70.204.0/22,45.70.204.0,45.70.207.255,22,255.255.252.0,1024
45.70.208.0/21,45.70.208.0,45.70.215.255,21,255.255.248.0,2048
45.70.216.0/22,45.70.216.0,45.70.219.255,22,255.255.252.0,1024
45.70.224.0/22,45.70.224.0,45.70.227.255,22,255.255.252.0,1024
45.70.232.0/22,45.70.232.0,45.70.235.255,22,255.255.252.0,1024
45.70.244.0/22,45.70.244.0,45.70.247.255,22,255.255.252.0,1024
45.70.248.0/21,45.70.248.0,45.70.255.255,21,255.255.248.0,2048
45.71.4.0/24,45.71.4.0,45.71.4.255,24,255.255.255.0,256
45.71.6.0/24,45.71.6.0,45.71.6.255,24,255.255.255.0,256
45.71.12.0/22,45.71.12.0,45.71.15.255,22,255.255.252.0,1024
45.71.20.0/22,45.71.20.0,45.71.23.255,22,255.255.252.0,1024
45.71.24.0/21,45.71.24.0,45.71.31.255,21,255.255.248.0,2048
45.71.40.0/22,45.71.40.0,45.71.43.255,22,255.255.252.0,1024
45.71.48.0/22,45.71.48.0,45.71.51.255,22,255.255.252.0,1024
45.71.60.0/22,45.71.60.0,45.71.63.255,22,255.255.252.0,1024
45.71.64.0/19,45.71.64.0,45.71.95.255,19,255.255.224.0,8192
45.71.96.0/21,45.71.96.0,45.71.103.255,21,255.255.248.0,2048
45.71.104.0/23,45.71.104.0,45.71.105.255,23,255.255.254.0,512
45.71.107.0/24,45.71.107.0,45.71.107.255,24,255.255.255.0,256
45.71.108.0/22,45.71.108.0,45.71.111.255,22,255.255.252.0,1024
45.71.116.0/22,45.71.116.0,45.71.119.255,22,255.255.252.0,1024
45.71.120.0/21,45.71.120.0,45.71.127.255,21,255.255.248.0,2048
45.71.128.0/20,45.71.128.0,45.71.143.255,20,255.255.240.0,4096
45.71.144.0/21,45.71.144.0,45.71.151.255,21,255.255.248.0,2048
45.71.160.0/20,45.71.160.0,45.71.175.255,20,255.255.240.0,4096
45.71.176.0/22,45.71.176.0,45.71.179.255,22,255.255.252.0,1024
45.71.188.0/22,45.71.188.0,45.71.191.255,22,255.255.252.0,1024
45.71.192.0/22,45.71.192.0,45.71.195.255,22,255.255.252.0,1024
45.71.208.0/20,45.71.208.0,45.71.223.255,20,255.255.240.0,4096
45.71.224.0/20,45.71.224.0,45.71.239.255,20,255.255.240.0,4096
45.71.244.0/22,45.71.244.0,45.71.247.255,22,255.255.252.0,1024
45.71.248.0/22,45.71.248.0,45.71.251.255,22,255.255.252.0,1024
45.160.0.0/22,45.160.0.0,45.160.3.255,22,255.255.252.0,1024
45.160.8.0/22,45.160.8.0,45.160.11.255,22,255.255.252.0,1024
45.160.16.0/21,45.160.16.0,45.160.23.255,21,255.255.248.0,2048
45.160.24.0/22,45.160.24.0,45.160.27.255,22,255.255.252.0,1024
45.160.36.0/22,45.160.36.0,45.160.39.255,22,255.255.252.0,1024
45.160.40.0/21,45.160.40.0,45.160.47.255,21,255.255.248.0,2048
45.160.48.0/20,45.160.48.0,45.160.63.255,20,255.255.240.0,4096
45.160.64.0/21,45.160.64.0,45.160.71.255,21,255.255.248.0,2048
45.160.76.0/22,45.160.76.0,45.160.79.255,22,255.255.252.0,1024
45.160.80.0/20,45.160.80.0,45.160.95.255,20,255.255.240.0,4096
45.160.96.0/19,45.160.96.0,45.160.127.255,19,255.255.224.0,8192
45.160.128.0/22,45.160.128.0,45.160.131.255,22,255.255.252.0,1024
45.160.136.0/21,45.160.136.0,45.160.143.255,21,255.255.248.0,2048
45.160.144.0/21,45.160.144.0,45.160.151.255,21,255.255.248.0,2048
45.160.152.0/22,45.160.152.0,45.160.155.255,22,255.255.252.0,1024
45.160.160.0/20,45.160.160.0,45.160.175.255,20,255.255.240.0,4096
45.160.176.0/21,45.160.176.0,45.160.183.255,21,255.255.248.0,2048
45.160.184.0/22,45.160.184.0,45.160.187.255,22,255.255.252.0,1024
45.160.192.0/22,45.160.192.0,45.160.195.255,22,255.255.252.0,1024
45.160.204.0/22,45.160.204.0,45.160.207.255,22,255.255.252.0,1024
45.160.208.0/22,45.160.208.0,45.160.211.255,22,255.255.252.0,1024
45.160.215.0/24,45.160.215.0,45.160.215.255,24,255.255.255.0,256
45.160.216.0/21,45.160.216.0,45.160.223.255,21,255.255.248.0,2048
45.160.228.0/22,45.160.228.0,45.160.231.255,22,255.255.252.0,1024
45.160.232.0/21,45.160.232.0,45.160.239.255,21,255.255.248.0,2048
45.160.240.0/20,45.160.240.0,45.160.255.255,20,255.255.240.0,4096
45.161.0.0/21,45.161.0.0,45.161.7.255,21,255.255.248.0,2048
45.161.12.0/22,45.161.12.0,45.161.15.255,22,255.255.252.0,1024
45.161.16.0/21,45.161.16.0,45.161.23.255,21,255.255.248.0,2048
45.161.28.0/22,45.161.28.0,45.161.31.255,22,255.255.252.0,1024
45.161.36.0/22,45.161.36.0,45.161.39.255,22,255.255.252.0,1024
45.161.40.0/22,45.161.40.0,45.161.43.255,22,255.255.252.0,1024
45.161.48.0/20,45.161.48.0,45.161.63.255,20,255.255.240.0,4096
45.161.64.0/19,45.161.64.0,45.161.95.255,19,255.255.224.0,8192
45.161.96.0/21,45.161.96.0,45.161.103.255,21,255.255.248.0,2048
45.161.104.0/22,45.161.104.0,45.161.107.255,22,255.255.252.0,1024
45.161.120.0/21,45.161.120.0,45.161.127.255,21,255.255.248.0,2048
45.161.128.0/22,45.161.128.0,45.161.131.255,22,255.255.252.0,1024
45.161.136.0/21,45.161.136.0,45.161.143.255,21,255.255.248.0,2048
45.161.144.0/20,45.161.144.0,45.161.159.255,20,255.255.240.0,4096
45.161.160.0/21,45.161.160.0,45.161.167.255,21,255.255.248.0,2048
45.161.176.0/22,45.161.176.0,45.161.179.255,22,255.255.252.0,1024
45.161.184.0/22,45.161.184.0,45.161.187.255,22,255.255.252.0,1024
45.161.192.0/19,45.161.192.0,45.161.223.255,19,255.255.224.0,8192
45.161.224.0/21,45.161.224.0,45.161.231.255,21,255.255.248.0,2048
45.161.232.0/22,45.161.232.0,45.161.235.255,22,255.255.252.0,1024
45.161.240.0/20,45.161.240.0,45.161.255.255,20,255.255.240.0,4096
45.162.4.0/22,45.162.4.0,45.162.7.255,22,255.255.252.0,1024
45.162.8.0/21,45.162.8.0,45.162.15.255,21,255.255.248.0,2048
45.162.16.0/22,45.162.16.0,45.162.19.255,22,255.255.252.0,1024
45.162.22.0/23,45.162.22.0,45.162.23.255,23,255.255.254.0,512
45.162.24.0/21,45.162.24.0,45.162.31.255,21,255.255.248.0,2048
45.162.32.0/20,45.162.32.0,45.162.47.255,20,255.255.240.0,4096
45.162.48.0/21,45.162.48.0,45.162.55.255,21,255.255.248.0,2048
45.162.56.0/22,45.162.56.0,45.162.59.255,22,255.255.252.0,1024
45.162.64.0/21,45.162.64.0,45.162.71.255,21,255.255.248.0,2048
45.162.80.0/23,45.162.80.0,45.162.81.255,23,255.255.254.0,512
45.162.86.0/23,45.162.86.0,45.162.87.255,23,255.255.254.0,512
45.162.92.0/22,45.162.92.0,45.162.95.255,22,255.255.252.0,1024
45.162.96.0/22,45.162.96.0,45.162.99.255,22,255.255.252.0,1024
45.162.104.0/22,45.162.104.0,45.162.107.255,22,255.255.252.0,1024
45.162.112.0/21,45.162.112.0,45.162.119.255,21,255.255.248.0,2048
45.162.120.0/22,45.162.120.0,45.162.123.255,22,255.255.252.0,1024
45.162.124.0/24,45.162.124.0,45.162.124.255,24,255.255.255.0,256
45.162.127.0/24,45.162.127.0,45.162.127.255,24,255.255.255.0,256
45.162.128.0/22,45.162.128.0,45.162.131.255,22,255.255.252.0,1024
45.162.136.0/22,45.162.136.0,45.162.139.255,22,255.255.252.0,1024
45.162.144.0/20,45.162.144.0,45.162.159.255,20,255.255.240.0,4096
45.162.160.0/21,45.162.160.0,45.162.167.255,21,255.255.248.0,2048
45.162.172.0/22,45.162.172.0,45.162.175.255,22,255.255.252.0,1024
45.162.176.0/22,45.162.176.0,45.162.179.255,22,255.255.252.0,1024
45.162.188.0/22,45.162.188.0,45.162.191.255,22,255.255.252.0,1024
45.162.196.0/22,45.162.196.0,45.162.199.255,22,255.255.252.0,1024
45.162.200.0/22,45.162.200.0,45.162.203.255,22,255.255.252.0,1024
45.162.212.0/22,45.162.212.0,45.162.215.255,22,255.255.252.0,1024
45.162.216.0/21,45.162.216.0,45.162.223.255,21,255.255.248.0,2048
45.162.224.0/19,45.162.224.0,45.162.255.255,19,255.255.224.0,8192
45.163.0.0/20,45.163.0.0,45.163.15.255,20,255.255.240.0,4096
45.163.16.0/23,45.163.16.0,45.163.17.255,23,255.255.254.0,512
45.163.24.0/22,45.163.24.0,45.163.27.255,22,255.255.252.0,1024
45.163.32.0/22,45.163.32.0,45.163.35.255,22,255.255.252.0,1024
45.163.40.0/21,45.163.40.0,45.163.47.255,21,255.255.248.0,2048
45.163.48.0/20,45.163.48.0,45.163.63.255,20,255.255.240.0,4096
45.163.64.0/20,45.163.64.0,45.163.79.255,20,255.255.240.0,4096
45.163.84.0/22,45.163.84.0,45.163.87.255,22,255.255.252.0,1024
45.163.88.0/21,45.163.88.0,45.163.95.255,21,255.255.248.0,2048
45.163.96.0/20,45.163.96.0,45.163.111.255,20,255.255.240.0,4096
45.163.112.0/21,45.163.112.0,45.163.119.255,21,255.255.248.0,2048
45.163.132.0/22,45.163.132.0,45.163.135.255,22,255.255.252.0,1024
45.163.144.0/20,45.163.144.0,45.163.159.255,20,255.255.240.0,4096
45.163.160.0/20,45.163.160.0,45.163.175.255,20,255.255.240.0,4096
45.163.176.0/21,45.163.176.0,45.163.183.255,21,255.255.248.0,2048
45.163.184.0/22,45.163.184.0,45.163.187.255,22,255.255.252.0,1024
45.163.192.0/21,45.163.192.0,45.163.199.255,21,255.255.248.0,2048
45.163.200.0/22,45.163.200.0,45.163.203.255,22,255.255.252.0,1024
45.163.208.0/20,45.163.208.0,45.163.223.255,20,255.255.240.0,4096
45.163.224.0/20,45.163.224.0,45.163.239.255,20,255.255.240.0,4096
45.163.240.0/21,45.163.240.0,45.163.247.255,21,255.255.248.0,2048
45.163.252.0/22,45.163.252.0,45.163.255.255,22,255.255.252.0,1024
45.164.0.0/21,45.164.0.0,45.164.7.255,21,255.255.248.0,2048
45.164.8.0/22,45.164.8.0,45.164.11.255,22,255.255.252.0,1024
45.164.24.0/21,45.164.24.0,45.164.31.255,21,255.255.248.0,2048
45.164.32.0/19,45.164.32.0,45.164.63.255,19,255.255.224.0,8192
45.164.68.0/22,45.164.68.0,45.164.71.255,22,255.255.252.0,1024
45.164.72.0/21,45.164.72.0,45.164.79.255,21,255.255.248.0,2048
45.164.80.0/20,45.164.80.0,45.164.95.255,20,255.255.240.0,4096
45.164.96.0/21,45.164.96.0,45.164.103.255,21,255.255.248.0,2048
45.164.104.0/22,45.164.104.0,45.164.107.255,22,255.255.252.0,1024
45.164.112.0/20,45.164.112.0,45.164.127.255,20,255.255.240.0,4096
45.164.128.0/21,45.164.128.0,45.164.135.255,21,255.255.248.0,2048
45.164.140.0/22,45.164.140.0,45.164.143.255,22,255.255.252.0,1024
45.164.144.0/22,45.164.144.0,45.164.147.255,22,255.255.252.0,1024
45.164.152.0/21,45.164.152.0,45.164.159.255,21,255.255.248.0,2048
45.164.160.0/21,45.164.160.0,45.164.167.255,21,255.255.248.0,2048
45.164.168.0/22,45.164.168.0,45.164.171.255,22,255.255.252.0,1024
45.164.176.0/20,45.164.176.0,45.164.191.255,20,255.255.240.0,4096
45.164.192.0/21,45.164.192.0,45.164.199.255,21,255.255.248.0,2048
45.164.200.0/22,45.164.200.0,45.164.203.255,22,255.255.252.0,1024
45.164.206.0/24,45.164.206.0,45.164.206.255,24,255.255.255.0,256
45.164.208.0/20,45.164.208.0,45.164.223.255,20,255.255.240.0,4096
45.164.224.0/22,45.164.224.0,45.164.227.255,22,255.255.252.0,1024
45.164.232.0/22,45.164.232.0,45.164.235.255,22,255.255.252.0,1024
45.164.240.0/20,45.164.240.0,45.164.255.255,20,255.255.240.0,4096
45.165.0.0/19,45.165.0.0,45.165.31.255,19,255.255.224.0,8192
45.165.32.0/22,45.165.32.0,45.165.35.255,22,255.255.252.0,1024
45.165.48.0/22,45.165.48.0,45.165.51.255,22,255.255.252.0,1024
45.165.54.0/23,45.165.54.0,45.165.55.255,23,255.255.254.0,512
45.165.56.0/21,45.165.56.0,45.165.63.255,21,255.255.248.0,2048
45.165.64.0/19,45.165.64.0,45.165.95.255,19,255.255.224.0,8192
45.165.96.0/20,45.165.96.0,45.165.111.255,20,255.255.240.0,4096
45.165.116.0/22,45.165.116.0,45.165.119.255,22,255.255.252.0,1024
45.165.120.0/21,45.165.120.0,45.165.127.255,21,255.255.248.0,2048
45.165.128.0/20,45.165.128.0,45.165.143.255,20,255.255.240.0,4096
45.165.144.0/21,45.165.144.0,45.165.151.255,21,255.255.248.0,2048
45.165.153.0/24,45.165.153.0,45.165.153.255,24,255.255.255.0,256
45.165.156.0/22,45.165.156.0,45.165.159.255,22,255.255.252.0,1024
45.165.160.0/21,45.165.160.0,45.165.167.255,21,255.255.248.0,2048
45.165.172.0/22,45.165.172.0,45.165.175.255,22,255.255.252.0,1024
