# CIDR,network(start) address,end address,prefix,subnet mask
23.185.48.0/24,23.185.48.0,23.185.48.255,24,255.255.255.0
23.190.112.0/24,23.190.112.0,23.190.112.255,24,255.255.255.0
24.51.64.0/18,24.51.64.0,24.51.127.255,18,255.255.192.0
24.206.0.0/19,24.206.0.0,24.206.31.255,19,255.255.224.0
24.231.32.0/19,24.231.32.0,24.231.63.255,19,255.255.224.0
24.244.128.0/18,24.244.128.0,24.244.191.255,18,255.255.192.0
64.66.0.0/20,64.66.0.0,64.66.15.255,20,255.255.240.0
64.150.192.0/18,64.150.192.0,64.150.255.255,18,255.255.192.0
65.75.64.0/18,65.75.64.0,65.75.127.255,18,255.255.192.0
66.85.2.0/24,66.85.2.0,66.85.2.255,24,255.255.255.0
66.226.160.0/19,66.226.160.0,66.226.191.255,19,255.255.224.0
69.4.160.0/20,69.4.160.0,69.4.175.255,20,255.255.240.0
104.166.32.0/20,104.166.32.0,104.166.47.255,20,255.255.240.0
108.60.224.0/19,108.60.224.0,108.60.255.255,19,255.255.224.0
141.193.84.0/22,141.193.84.0,141.193.87.255,22,255.255.252.0
161.199.175.0/24,161.199.175.0,161.199.175.255,24,255.255.255.0
165.140.144.0/22,165.140.144.0,165.140.147.255,22,255.255.252.0
192.231.36.0/24,192.231.36.0,192.231.36.255,24,255.255.255.0
199.102.188.0/22,199.102.188.0,199.102.191.255,22,255.255.252.0
204.236.64.0/18,204.236.64.0,204.236.127.255,18,255.255.192.0
208.87.32.0/21,208.87.32.0,208.87.39.255,21,255.255.248.0
216.137.0.0/20,216.137.0.0,216.137.15.255,20,255.255.240.0
