# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
36.50.37.0/24,36.50.37.0,36.50.37.255,24,255.255.255.0,256
43.229.124.0/22,43.229.124.0,43.229.127.255,22,255.255.252.0,1024
43.230.208.0/24,43.230.208.0,43.230.208.255,24,255.255.255.0,256
43.241.136.0/22,43.241.136.0,43.241.139.255,22,255.255.252.0,1024
45.64.248.0/22,45.64.248.0,45.64.251.255,22,255.255.252.0,1024
103.7.252.0/22,103.7.252.0,103.7.255.255,22,255.255.252.0,1024
103.29.224.0/22,103.29.224.0,103.29.227.255,22,255.255.252.0,1024
103.71.40.0/22,103.71.40.0,103.71.43.255,22,255.255.252.0,1024
103.78.111.0/24,103.78.111.0,103.78.111.255,24,255.255.255.0,256
103.78.116.0/23,103.78.116.0,103.78.117.255,23,255.255.254.0,512
103.80.108.0/22,103.80.108.0,103.80.111.255,22,255.255.252.0,1024
103.97.87.0/24,103.97.87.0,103.97.87.255,24,255.255.255.0,256
103.117.80.0/24,103.117.80.0,103.117.80.255,24,255.255.255.0,256
103.119.126.0/24,103.119.126.0,103.119.126.255,24,255.255.255.0,256
103.127.254.0/24,103.127.254.0,103.127.254.255,24,255.255.255.0,256
103.129.62.0/23,103.129.62.0,103.129.63.255,23,255.255.254.0,512
103.133.216.0/22,103.133.216.0,103.133.219.255,22,255.255.252.0,1024
103.151.231.0/24,103.151.231.0,103.151.231.255,24,255.255.255.0,256
103.161.248.0/23,103.161.248.0,103.161.249.255,23,255.255.254.0,512
103.166.42.0/23,103.166.42.0,103.166.43.255,23,255.255.254.0,512
103.179.206.0/23,103.179.206.0,103.179.207.255,23,255.255.254.0,512
103.197.176.0/22,103.197.176.0,103.197.179.255,22,255.255.252.0,1024
103.234.126.0/23,103.234.126.0,103.234.127.255,23,255.255.254.0,512
103.245.240.0/22,103.245.240.0,103.245.243.255,22,255.255.252.0,1024
103.252.84.0/24,103.252.84.0,103.252.84.255,24,255.255.255.0,256
118.103.136.0/21,118.103.136.0,118.103.143.255,21,255.255.248.0,2048
119.2.96.0/19,119.2.96.0,119.2.127.255,19,255.255.224.0,8192
157.10.120.0/21,157.10.120.0,157.10.127.255,21,255.255.248.0,2048
157.10.128.0/23,157.10.128.0,157.10.129.255,23,255.255.254.0,512
157.10.136.0/21,157.10.136.0,157.10.143.255,21,255.255.248.0,2048
157.10.144.0/22,157.10.144.0,157.10.147.255,22,255.255.252.0,1024
160.30.184.0/23,160.30.184.0,160.30.185.255,23,255.255.254.0,512
160.191.60.0/23,160.191.60.0,160.191.61.255,23,255.255.254.0,512
202.89.24.0/21,202.89.24.0,202.89.31.255,21,255.255.248.0,2048
202.144.128.0/19,202.144.128.0,202.144.159.255,19,255.255.224.0,8192
220.158.236.0/22,220.158.236.0,220.158.239.255,22,255.255.252.0,1024
