# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.74.48.0/20,41.74.48.0,41.74.63.255,20,255.255.240.0,4096
41.75.0.0/20,41.75.0.0,41.75.15.255,20,255.255.240.0,4096
41.76.240.0/21,41.76.240.0,41.76.247.255,21,255.255.248.0,2048
41.77.88.0/21,41.77.88.0,41.77.95.255,21,255.255.248.0,2048
41.79.32.0/22,41.79.32.0,41.79.35.255,22,255.255.252.0,1024
41.79.136.0/22,41.79.136.0,41.79.139.255,22,255.255.252.0,1024
41.87.160.0/19,41.87.160.0,41.87.191.255,19,255.255.224.0,8192
41.138.72.0/21,41.138.72.0,41.138.79.255,21,255.255.248.0,2048
41.190.244.0/22,41.190.244.0,41.190.247.255,22,255.255.252.0,1024
41.191.64.0/22,41.191.64.0,41.191.67.255,22,255.255.252.0,1024
41.191.216.0/22,41.191.216.0,41.191.219.255,22,255.255.252.0,1024
41.216.208.0/21,41.216.208.0,41.216.215.255,21,255.255.248.0,2048
41.223.72.0/22,41.223.72.0,41.223.75.255,22,255.255.252.0,1024
41.223.140.0/22,41.223.140.0,41.223.143.255,22,255.255.252.0,1024
41.223.192.0/22,41.223.192.0,41.223.195.255,22,255.255.252.0,1024
83.143.24.0/21,83.143.24.0,83.143.31.255,21,255.255.248.0,2048
102.134.84.0/22,102.134.84.0,102.134.87.255,22,255.255.252.0,1024
102.134.160.0/20,102.134.160.0,102.134.175.255,20,255.255.240.0,4096
102.141.112.0/21,102.141.112.0,102.141.119.255,21,255.255.248.0,2048
102.165.128.0/19,102.165.128.0,102.165.159.255,19,255.255.224.0,8192
102.207.236.0/22,102.207.236.0,102.207.239.255,22,255.255.252.0,1024
102.208.32.0/22,102.208.32.0,102.208.35.255,22,255.255.252.0,1024
102.208.192.0/22,102.208.192.0,102.208.195.255,22,255.255.252.0,1024
102.210.158.0/24,102.210.158.0,102.210.158.255,24,255.255.255.0,256
102.210.252.0/24,102.210.252.0,102.210.252.255,24,255.255.255.0,256
102.211.140.0/22,102.211.140.0,102.211.143.255,22,255.255.252.0,1024
102.214.126.0/24,102.214.126.0,102.214.126.255,24,255.255.255.0,256
102.215.0.0/22,102.215.0.0,102.215.3.255,22,255.255.252.0,1024
102.219.75.0/24,102.219.75.0,102.219.75.255,24,255.255.255.0,256
102.219.206.0/24,102.219.206.0,102.219.206.255,24,255.255.255.0,256
102.222.8.0/22,102.222.8.0,102.222.11.255,22,255.255.252.0,1024
102.222.48.0/22,102.222.48.0,102.222.51.255,22,255.255.252.0,1024
102.222.173.0/24,102.222.173.0,102.222.173.255,24,255.255.255.0,256
105.235.240.0/20,105.235.240.0,105.235.255.255,20,255.255.240.0,4096
129.205.192.0/18,129.205.192.0,129.205.255.255,18,255.255.192.0,16384
154.0.16.0/21,154.0.16.0,154.0.23.255,21,255.255.248.0,2048
154.70.144.0/21,154.70.144.0,154.70.151.255,21,255.255.248.0,2048
154.73.36.0/22,154.73.36.0,154.73.39.255,22,255.255.252.0,1024
154.73.84.0/22,154.73.84.0,154.73.87.255,22,255.255.252.0,1024
156.38.4.0/22,156.38.4.0,156.38.7.255,22,255.255.252.0,1024
156.38.16.0/20,156.38.16.0,156.38.31.255,20,255.255.240.0,4096
168.167.0.0/16,168.167.0.0,168.167.255.255,16,255.255.0.0,65536
169.255.80.0/22,169.255.80.0,169.255.83.255,22,255.255.252.0,1024
196.45.164.0/22,196.45.164.0,196.45.167.255,22,255.255.252.0,1024
196.49.24.0/24,196.49.24.0,196.49.24.255,24,255.255.255.0,256
196.60.4.0/24,196.60.4.0,196.60.4.255,24,255.255.255.0,256
196.61.208.0/21,196.61.208.0,196.61.215.255,21,255.255.248.0,2048
196.216.163.0/24,196.216.163.0,196.216.163.255,24,255.255.255.0,256
197.231.192.0/22,197.231.192.0,197.231.195.255,22,255.255.252.0,1024
