# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.100.192.0/19,5.100.192.0,5.100.223.255,19,255.255.224.0,8192
31.24.88.0/21,31.24.88.0,31.24.95.255,21,255.255.248.0,2048
31.130.200.0/21,31.130.200.0,31.130.207.255,21,255.255.248.0,2048
37.17.0.0/17,37.17.0.0,37.17.127.255,17,255.255.128.0,32768
37.44.64.0/18,37.44.64.0,37.44.127.255,18,255.255.192.0,16384
37.45.0.0/16,37.45.0.0,37.45.255.255,16,255.255.0.0,65536
37.212.0.0/14,37.212.0.0,37.215.255.255,14,255.252.0.0,262144
45.128.205.0/24,45.128.205.0,45.128.205.255,24,255.255.255.0,256
46.16.35.0/24,46.16.35.0,46.16.35.255,24,255.255.255.0,256
46.28.96.0/21,46.28.96.0,46.28.103.255,21,255.255.248.0,2048
46.53.128.0/17,46.53.128.0,46.53.255.255,17,255.255.128.0,32768
46.56.0.0/16,46.56.0.0,46.56.255.255,16,255.255.0.0,65536
46.175.168.0/21,46.175.168.0,46.175.175.255,21,255.255.248.0,2048
46.182.48.0/21,46.182.48.0,46.182.55.255,21,255.255.248.0,2048
46.191.0.0/17,46.191.0.0,46.191.127.255,17,255.255.128.0,32768
46.216.0.0/16,46.216.0.0,46.216.255.255,16,255.255.0.0,65536
77.74.32.0/21,77.74.32.0,77.74.39.255,21,255.255.248.0,2048
78.140.252.0/22,78.140.252.0,78.140.255.255,22,255.255.252.0,1024
79.98.48.0/21,79.98.48.0,79.98.55.255,21,255.255.248.0,2048
79.170.104.0/21,79.170.104.0,79.170.111.255,21,255.255.248.0,2048
80.94.160.0/20,80.94.160.0,80.94.175.255,20,255.255.240.0,4096
80.94.224.0/20,80.94.224.0,80.94.239.255,20,255.255.240.0,4096
80.249.80.0/20,80.249.80.0,80.249.95.255,20,255.255.240.0,4096
81.30.80.0/20,81.30.80.0,81.30.95.255,20,255.255.240.0,4096
81.91.190.0/23,81.91.190.0,81.91.191.255,23,255.255.254.0,512
82.209.192.0/18,82.209.192.0,82.209.255.255,18,255.255.192.0,16384
83.137.197.0/24,83.137.197.0,83.137.197.255,24,255.255.255.0,256
86.57.128.0/17,86.57.128.0,86.57.255.255,17,255.255.128.0,32768
87.252.224.0/19,87.252.224.0,87.252.255.255,19,255.255.224.0,8192
91.90.222.0/23,91.90.222.0,91.90.223.255,23,255.255.254.0,512
91.149.128.0/18,91.149.128.0,91.149.191.255,18,255.255.192.0,16384
91.215.176.0/22,91.215.176.0,91.215.179.255,22,255.255.252.0,1024
91.220.250.0/24,91.220.250.0,91.220.250.255,24,255.255.255.0,256
93.84.0.0/15,93.84.0.0,93.85.255.255,15,255.254.0.0,131072
93.125.0.0/17,93.125.0.0,93.125.127.255,17,255.255.128.0,32768
93.177.124.0/24,93.177.124.0,93.177.124.255,24,255.255.255.0,256
93.189.224.0/22,93.189.224.0,93.189.227.255,22,255.255.252.0,1024
93.191.96.0/21,93.191.96.0,93.191.103.255,21,255.255.248.0,2048
95.128.64.0/21,95.128.64.0,95.128.71.255,21,255.255.248.0,2048
95.130.80.0/21,95.130.80.0,95.130.87.255,21,255.255.248.0,2048
109.126.128.0/18,109.126.128.0,109.126.191.255,18,255.255.192.0,16384
128.65.0.0/18,128.65.0.0,128.65.63.255,18,255.255.192.0,16384
128.140.240.0/20,128.140.240.0,128.140.255.255,20,255.255.240.0,4096
134.17.0.0/16,134.17.0.0,134.17.255.255,16,255.255.0.0,65536
