# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.44.0/22,2.56.44.0,2.56.47.255,22,255.255.252.0,1024
2.59.8.0/22,2.59.8.0,2.59.11.255,22,255.255.252.0,1024
5.253.160.0/22,5.253.160.0,5.253.163.255,22,255.255.252.0,1024
37.49.224.0/21,37.49.224.0,37.49.231.255,21,255.255.248.0,2048
45.67.176.0/22,45.67.176.0,45.67.179.255,22,255.255.252.0,1024
45.70.228.0/22,45.70.228.0,45.70.231.255,22,255.255.252.0,1024
45.70.240.0/22,45.70.240.0,45.70.243.255,22,255.255.252.0,1024
45.136.44.0/22,45.136.44.0,45.136.47.255,22,255.255.252.0,1024
45.143.220.0/22,45.143.220.0,45.143.223.255,22,255.255.252.0,1024
45.145.76.0/22,45.145.76.0,45.145.79.255,22,255.255.252.0,1024
45.151.24.0/22,45.151.24.0,45.151.27.255,22,255.255.252.0,1024
45.180.120.0/22,45.180.120.0,45.180.123.255,22,255.255.252.0,1024
45.225.42.0/24,45.225.42.0,45.225.42.255,24,255.255.255.0,256
45.228.156.0/24,45.228.156.0,45.228.156.255,24,255.255.255.0,256
45.234.88.0/22,45.234.88.0,45.234.91.255,22,255.255.252.0,1024
46.102.152.0/24,46.102.152.0,46.102.152.255,24,255.255.255.0,256
46.102.252.0/23,46.102.252.0,46.102.253.255,23,255.255.254.0,512
46.183.216.0/21,46.183.216.0,46.183.223.255,21,255.255.248.0,2048
77.81.120.0/23,77.81.120.0,77.81.121.255,23,255.255.254.0,512
77.247.108.0/23,77.247.108.0,77.247.109.255,23,255.255.254.0,512
77.247.110.0/24,77.247.110.0,77.247.110.255,24,255.255.255.0,256
82.115.15.0/24,82.115.15.0,82.115.15.255,24,255.255.255.0,256
83.150.236.0/22,83.150.236.0,83.150.239.255,22,255.255.252.0,1024
84.38.129.0/24,84.38.129.0,84.38.129.255,24,255.255.255.0,256
84.38.130.0/23,84.38.130.0,84.38.131.255,23,255.255.254.0,512
84.38.132.0/22,84.38.132.0,84.38.135.255,22,255.255.252.0,1024
85.204.74.0/24,85.204.74.0,85.204.74.255,24,255.255.255.0,256
85.209.136.0/22,85.209.136.0,85.209.139.255,22,255.255.252.0,1024
86.104.15.0/24,86.104.15.0,86.104.15.255,24,255.255.255.0,256
86.104.28.0/23,86.104.28.0,86.104.29.255,23,255.255.254.0,512
86.105.1.0/24,86.105.1.0,86.105.1.255,24,255.255.255.0,256
86.105.5.0/24,86.105.5.0,86.105.5.255,24,255.255.255.0,256
86.105.18.0/24,86.105.18.0,86.105.18.255,24,255.255.255.0,256
86.105.227.0/24,86.105.227.0,86.105.227.255,24,255.255.255.0,256
86.105.235.0/24,86.105.235.0,86.105.235.255,24,255.255.255.0,256
86.106.93.0/24,86.106.93.0,86.106.93.255,24,255.255.255.0,256
86.106.102.0/24,86.106.102.0,86.106.102.255,24,255.255.255.0,256
86.106.131.0/24,86.106.131.0,86.106.131.255,24,255.255.255.0,256
86.107.42.0/24,86.107.42.0,86.107.42.255,24,255.255.255.0,256
86.107.170.0/23,86.107.170.0,86.107.171.255,23,255.255.254.0,512
89.32.40.0/24,89.32.40.0,89.32.40.255,24,255.255.255.0,256
89.33.64.0/24,89.33.64.0,89.33.64.255,24,255.255.255.0,256
89.34.111.0/24,89.34.111.0,89.34.111.255,24,255.255.255.0,256
89.35.32.0/24,89.35.32.0,89.35.32.255,24,255.255.255.0,256
89.35.56.0/24,89.35.56.0,89.35.56.255,24,255.255.255.0,256
89.35.178.0/24,89.35.178.0,89.35.178.255,24,255.255.255.0,256
89.37.226.0/24,89.37.226.0,89.37.226.255,24,255.255.255.0,256
89.42.212.0/24,89.42.212.0,89.42.212.255,24,255.255.255.0,256
89.43.60.0/24,89.43.60.0,89.43.60.255,24,255.255.255.0,256
89.43.202.0/23,89.43.202.0,89.43.203.255,23,255.255.254.0,512
89.44.103.0/24,89.44.103.0,89.44.103.255,24,255.255.255.0,256
89.45.67.0/24,89.45.67.0,89.45.67.255,24,255.255.255.0,256
91.90.162.0/24,91.90.162.0,91.90.162.255,24,255.255.255.0,256
91.209.70.0/24,91.209.70.0,91.209.70.255,24,255.255.255.0,256
91.212.150.0/24,91.212.150.0,91.212.150.255,24,255.255.255.0,256
91.226.97.0/24,91.226.97.0,91.226.97.255,24,255.255.255.0,256
91.234.99.0/24,91.234.99.0,91.234.99.255,24,255.255.255.0,256
91.245.232.0/23,91.245.232.0,91.245.233.255,23,255.255.254.0,512
92.114.35.0/24,92.114.35.0,92.114.35.255,24,255.255.255.0,256
92.114.92.0/24,92.114.92.0,92.114.92.255,24,255.255.255.0,256
93.113.45.0/24,93.113.45.0,93.113.45.255,24,255.255.255.0,256
93.113.131.0/24,93.113.131.0,93.113.131.255,24,255.255.255.0,256
93.115.38.0/24,93.115.38.0,93.115.38.255,24,255.255.255.0,256
93.115.60.0/23,93.115.60.0,93.115.61.255,23,255.255.254.0,512
93.115.201.0/24,93.115.201.0,93.115.201.255,24,255.255.255.0,256
93.117.137.0/24,93.117.137.0,93.117.137.255,24,255.255.255.0,256
93.119.123.0/24,93.119.123.0,93.119.123.255,24,255.255.255.0,256
93.157.62.0/23,93.157.62.0,93.157.63.255,23,255.255.254.0,512
94.158.218.0/23,94.158.218.0,94.158.219.255,23,255.255.254.0,512
94.177.12.0/24,94.177.12.0,94.177.12.255,24,255.255.255.0,256
94.177.112.0/24,94.177.112.0,94.177.112.255,24,255.255.255.0,256
94.177.123.0/24,94.177.123.0,94.177.123.255,24,255.255.255.0,256
94.247.84.0/23,94.247.84.0,94.247.85.255,23,255.255.254.0,512
121.127.33.0/24,121.127.33.0,121.127.33.255,24,255.255.255.0,256
131.161.148.0/22,131.161.148.0,131.161.151.255,22,255.255.252.0,1024
131.255.40.0/22,131.255.40.0,131.255.43.255,22,255.255.252.0,1024
