# CIDR,network(start) address,end address,prefix,subnet mask
5.23.0.0/19,5.23.0.0,5.23.31.255,19,255.255.224.0
5.181.164.0/22,5.181.164.0,5.181.167.255,22,255.255.252.0
5.181.224.0/22,5.181.224.0,5.181.227.255,22,255.255.252.0
15.235.0.0/16,15.235.0.0,15.235.255.255,16,255.255.0.0
23.16.0.0/15,23.16.0.0,23.17.255.255,15,255.254.0.0
23.29.192.0/19,23.29.192.0,23.29.223.255,19,255.255.224.0
23.83.208.0/20,23.83.208.0,23.83.223.255,20,255.255.240.0
23.83.224.0/19,23.83.224.0,23.83.255.255,19,255.255.224.0
23.91.80.0/20,23.91.80.0,23.91.95.255,20,255.255.240.0
23.91.128.0/18,23.91.128.0,23.91.191.255,18,255.255.192.0
23.91.224.0/19,23.91.224.0,23.91.255.255,19,255.255.224.0
23.92.128.0/19,23.92.128.0,23.92.159.255,19,255.255.224.0
23.105.192.0/19,23.105.192.0,23.105.223.255,19,255.255.224.0
23.106.128.0/19,23.106.128.0,23.106.159.255,19,255.255.224.0
23.111.64.0/20,23.111.64.0,23.111.79.255,20,255.255.240.0
23.128.0.0/24,23.128.0.0,23.128.0.255,24,255.255.255.0
23.128.80.0/24,23.128.80.0,23.128.80.255,24,255.255.255.0
23.128.82.0/24,23.128.82.0,23.128.82.255,24,255.255.255.0
23.128.160.0/24,23.128.160.0,23.128.160.255,24,255.255.255.0
23.128.184.0/24,23.128.184.0,23.128.184.255,24,255.255.255.0
23.128.200.0/24,23.128.200.0,23.128.200.255,24,255.255.255.0
23.128.224.0/24,23.128.224.0,23.128.224.255,24,255.255.255.0
23.128.232.0/24,23.128.232.0,23.128.232.255,24,255.255.255.0
23.129.16.0/24,23.129.16.0,23.129.16.255,24,255.255.255.0
23.129.32.0/24,23.129.32.0,23.129.32.255,24,255.255.255.0
23.129.232.0/24,23.129.232.0,23.129.232.255,24,255.255.255.0
23.130.32.0/24,23.130.32.0,23.130.32.255,24,255.255.255.0
23.130.136.0/22,23.130.136.0,23.130.139.255,22,255.255.252.0
23.130.248.0/24,23.130.248.0,23.130.248.255,24,255.255.255.0
23.131.16.0/24,23.131.16.0,23.131.16.255,24,255.255.255.0
23.131.32.0/24,23.131.32.0,23.131.32.255,24,255.255.255.0
23.131.40.0/24,23.131.40.0,23.131.40.255,24,255.255.255.0
23.131.112.0/24,23.131.112.0,23.131.112.255,24,255.255.255.0
23.131.120.0/24,23.131.120.0,23.131.120.255,24,255.255.255.0
23.132.104.0/24,23.132.104.0,23.132.104.255,24,255.255.255.0
23.132.160.0/24,23.132.160.0,23.132.160.255,24,255.255.255.0
23.132.176.0/24,23.132.176.0,23.132.176.255,24,255.255.255.0
23.132.192.0/23,23.132.192.0,23.132.193.255,23,255.255.254.0
23.132.200.0/24,23.132.200.0,23.132.200.255,24,255.255.255.0
23.132.248.0/24,23.132.248.0,23.132.248.255,24,255.255.255.0
23.133.64.0/24,23.133.64.0,23.133.64.255,24,255.255.255.0
23.133.112.0/24,23.133.112.0,23.133.112.255,24,255.255.255.0
23.133.168.0/24,23.133.168.0,23.133.168.255,24,255.255.255.0
23.133.208.0/24,23.133.208.0,23.133.208.255,24,255.255.255.0
23.134.32.0/24,23.134.32.0,23.134.32.255,24,255.255.255.0
23.134.48.0/24,23.134.48.0,23.134.48.255,24,255.255.255.0
23.134.112.0/24,23.134.112.0,23.134.112.255,24,255.255.255.0
23.134.160.0/24,23.134.160.0,23.134.160.255,24,255.255.255.0
23.134.240.0/24,23.134.240.0,23.134.240.255,24,255.255.255.0
23.135.88.0/24,23.135.88.0,23.135.88.255,24,255.255.255.0
23.135.96.0/24,23.135.96.0,23.135.96.255,24,255.255.255.0
23.135.144.0/24,23.135.144.0,23.135.144.255,24,255.255.255.0
23.135.176.0/24,23.135.176.0,23.135.176.255,24,255.255.255.0
23.135.192.0/24,23.135.192.0,23.135.192.255,24,255.255.255.0
23.136.80.0/24,23.136.80.0,23.136.80.255,24,255.255.255.0
23.136.82.0/24,23.136.82.0,23.136.82.255,24,255.255.255.0
23.136.240.0/24,23.136.240.0,23.136.240.255,24,255.255.255.0
23.137.0.0/24,23.137.0.0,23.137.0.255,24,255.255.255.0
23.137.80.0/24,23.137.80.0,23.137.80.255,24,255.255.255.0
23.137.216.0/24,23.137.216.0,23.137.216.255,24,255.255.255.0
23.137.232.0/24,23.137.232.0,23.137.232.255,24,255.255.255.0
23.138.48.0/24,23.138.48.0,23.138.48.255,24,255.255.255.0
23.138.64.0/23,23.138.64.0,23.138.65.255,23,255.255.254.0
23.138.104.0/24,23.138.104.0,23.138.104.255,24,255.255.255.0
23.138.128.0/23,23.138.128.0,23.138.129.255,23,255.255.254.0
23.139.16.0/24,23.139.16.0,23.139.16.255,24,255.255.255.0
23.139.128.0/24,23.139.128.0,23.139.128.255,24,255.255.255.0
23.139.144.0/24,23.139.144.0,23.139.144.255,24,255.255.255.0
23.139.152.0/24,23.139.152.0,23.139.152.255,24,255.255.255.0
23.139.208.0/24,23.139.208.0,23.139.208.255,24,255.255.255.0
23.140.0.0/24,23.140.0.0,23.140.0.255,24,255.255.255.0
23.140.40.0/24,23.140.40.0,23.140.40.255,24,255.255.255.0
23.140.82.0/24,23.140.82.0,23.140.82.255,24,255.255.255.0
23.140.88.0/24,23.140.88.0,23.140.88.255,24,255.255.255.0
23.140.120.0/24,23.140.120.0,23.140.120.255,24,255.255.255.0
23.140.232.0/24,23.140.232.0,23.140.232.255,24,255.255.255.0
23.141.80.0/24,23.141.80.0,23.141.80.255,24,255.255.255.0
23.141.104.0/24,23.141.104.0,23.141.104.255,24,255.255.255.0
23.141.120.0/24,23.141.120.0,23.141.120.255,24,255.255.255.0
23.141.128.0/24,23.141.128.0,23.141.128.255,24,255.255.255.0
23.141.144.0/24,23.141.144.0,23.141.144.255,24,255.255.255.0
23.141.168.0/24,23.141.168.0,23.141.168.255,24,255.255.255.0
23.141.248.0/24,23.141.248.0,23.141.248.255,24,255.255.255.0
23.142.0.0/24,23.142.0.0,23.142.0.255,24,255.255.255.0
23.142.145.0/24,23.142.145.0,23.142.145.255,24,255.255.255.0
23.142.232.0/24,23.142.232.0,23.142.232.255,24,255.255.255.0
23.143.56.0/24,23.143.56.0,23.143.56.255,24,255.255.255.0
23.143.80.0/24,23.143.80.0,23.143.80.255,24,255.255.255.0
23.143.88.0/24,23.143.88.0,23.143.88.255,24,255.255.255.0
23.143.112.0/24,23.143.112.0,23.143.112.255,24,255.255.255.0
23.143.216.0/24,23.143.216.0,23.143.216.255,24,255.255.255.0
23.143.248.0/24,23.143.248.0,23.143.248.255,24,255.255.255.0
23.144.8.0/24,23.144.8.0,23.144.8.255,24,255.255.255.0
23.144.128.0/24,23.144.128.0,23.144.128.255,24,255.255.255.0
23.144.240.0/24,23.144.240.0,23.144.240.255,24,255.255.255.0
23.146.32.0/24,23.146.32.0,23.146.32.255,24,255.255.255.0
23.146.56.0/24,23.146.56.0,23.146.56.255,24,255.255.255.0
23.146.136.0/24,23.146.136.0,23.146.136.255,24,255.255.255.0
23.146.176.0/24,23.146.176.0,23.146.176.255,24,255.255.255.0
23.146.192.0/22,23.146.192.0,23.146.195.255,22,255.255.252.0
23.147.80.0/24,23.147.80.0,23.147.80.255,24,255.255.255.0
