# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.77.220.0/22,41.77.220.0,41.77.223.255,22,255.255.252.0,1024
41.78.192.0/21,41.78.192.0,41.78.199.255,21,255.255.248.0,2048
41.79.232.0/22,41.79.232.0,41.79.235.255,22,255.255.252.0,1024
41.189.192.0/19,41.189.192.0,41.189.223.255,19,255.255.224.0,8192
41.190.80.0/22,41.190.80.0,41.190.83.255,22,255.255.252.0,1024
41.190.232.0/22,41.190.232.0,41.190.235.255,22,255.255.252.0,1024
41.215.252.0/22,41.215.252.0,41.215.255.255,22,255.255.252.0,1024
41.222.196.0/22,41.222.196.0,41.222.199.255,22,255.255.252.0,1024
41.222.216.0/22,41.222.216.0,41.222.219.255,22,255.255.252.0,1024
41.223.104.0/22,41.223.104.0,41.223.107.255,22,255.255.252.0,1024
41.243.0.0/16,41.243.0.0,41.243.255.255,16,255.255.0.0,65536
45.221.4.0/22,45.221.4.0,45.221.7.255,22,255.255.252.0,1024
102.23.116.0/22,102.23.116.0,102.23.119.255,22,255.255.252.0,1024
102.36.144.0/24,102.36.144.0,102.36.144.255,24,255.255.255.0,256
102.36.168.0/22,102.36.168.0,102.36.171.255,22,255.255.252.0,1024
102.36.180.0/24,102.36.180.0,102.36.180.255,24,255.255.255.0,256
102.64.76.0/22,102.64.76.0,102.64.79.255,22,255.255.252.0,1024
102.67.60.0/22,102.67.60.0,102.67.63.255,22,255.255.252.0,1024
102.68.56.0/21,102.68.56.0,102.68.63.255,21,255.255.248.0,2048
102.68.152.0/22,102.68.152.0,102.68.155.255,22,255.255.252.0,1024
102.69.180.0/22,102.69.180.0,102.69.183.255,22,255.255.252.0,1024
102.135.176.0/21,102.135.176.0,102.135.183.255,21,255.255.248.0,2048
102.208.120.0/22,102.208.120.0,102.208.123.255,22,255.255.252.0,1024
102.209.212.0/22,102.209.212.0,102.209.215.255,22,255.255.252.0,1024
102.210.164.0/22,102.210.164.0,102.210.167.255,22,255.255.252.0,1024
102.210.170.0/24,102.210.170.0,102.210.170.255,24,255.255.255.0,256
102.210.253.0/24,102.210.253.0,102.210.253.255,24,255.255.255.0,256
102.212.12.0/24,102.212.12.0,102.212.12.255,24,255.255.255.0,256
102.212.212.0/22,102.212.212.0,102.212.215.255,22,255.255.252.0,1024
102.213.120.0/22,102.213.120.0,102.213.123.255,22,255.255.252.0,1024
102.213.196.0/22,102.213.196.0,102.213.199.255,22,255.255.252.0,1024
102.216.240.0/22,102.216.240.0,102.216.243.255,22,255.255.252.0,1024
102.217.16.0/22,102.217.16.0,102.217.19.255,22,255.255.252.0,1024
102.217.140.0/22,102.217.140.0,102.217.143.255,22,255.255.252.0,1024
102.220.56.0/22,102.220.56.0,102.220.59.255,22,255.255.252.0,1024
102.221.96.0/23,102.221.96.0,102.221.97.255,23,255.255.254.0,512
102.222.228.0/22,102.222.228.0,102.222.231.255,22,255.255.252.0,1024
102.223.128.0/22,102.223.128.0,102.223.131.255,22,255.255.252.0,1024
102.223.176.0/22,102.223.176.0,102.223.179.255,22,255.255.252.0,1024
102.223.208.0/22,102.223.208.0,102.223.211.255,22,255.255.252.0,1024
154.72.52.0/22,154.72.52.0,154.72.55.255,22,255.255.252.0,1024
154.73.20.0/22,154.73.20.0,154.73.23.255,22,255.255.252.0,1024
156.0.88.0/22,156.0.88.0,156.0.91.255,22,255.255.252.0,1024
156.0.198.0/24,156.0.198.0,156.0.198.255,24,255.255.255.0,256
164.160.48.0/22,164.160.48.0,164.160.51.255,22,255.255.252.0,1024
169.159.208.0/20,169.159.208.0,169.159.223.255,20,255.255.240.0,4096
169.239.72.0/22,169.239.72.0,169.239.75.255,22,255.255.252.0,1024
169.239.156.0/22,169.239.156.0,169.239.159.255,22,255.255.252.0,1024
169.239.212.0/22,169.239.212.0,169.239.215.255,22,255.255.252.0,1024
169.255.64.0/22,169.255.64.0,169.255.67.255,22,255.255.252.0,1024
169.255.120.0/22,169.255.120.0,169.255.123.255,22,255.255.252.0,1024
169.255.188.0/22,169.255.188.0,169.255.191.255,22,255.255.252.0,1024
169.255.204.0/22,169.255.204.0,169.255.207.255,22,255.255.252.0,1024
192.145.188.0/22,192.145.188.0,192.145.191.255,22,255.255.252.0,1024
193.110.104.0/23,193.110.104.0,193.110.105.255,23,255.255.254.0,512
196.1.137.0/24,196.1.137.0,196.1.137.255,24,255.255.255.0,256
196.13.110.0/24,196.13.110.0,196.13.110.255,24,255.255.255.0,256
196.41.67.0/24,196.41.67.0,196.41.67.255,24,255.255.255.0,256
196.49.68.0/23,196.49.68.0,196.49.69.255,23,255.255.254.0,512
196.49.76.0/23,196.49.76.0,196.49.77.255,23,255.255.254.0,512
196.60.64.0/24,196.60.64.0,196.60.64.255,24,255.255.255.0,256
196.60.78.0/24,196.60.78.0,196.60.78.255,24,255.255.255.0,256
196.60.92.0/24,196.60.92.0,196.60.92.255,24,255.255.255.0,256
196.61.72.0/22,196.61.72.0,196.61.75.255,22,255.255.252.0,1024
196.200.192.0/20,196.200.192.0,196.200.207.255,20,255.255.240.0,4096
196.216.216.0/23,196.216.216.0,196.216.217.255,23,255.255.254.0,512
196.223.28.0/24,196.223.28.0,196.223.28.255,24,255.255.255.0,256
197.149.184.0/22,197.149.184.0,197.149.187.255,22,255.255.252.0,1024
197.157.208.0/22,197.157.208.0,197.157.211.255,22,255.255.252.0,1024
197.189.0.0/17,197.189.0.0,197.189.127.255,17,255.255.128.0,32768
