# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.75.64.0/20,41.75.64.0,41.75.79.255,20,255.255.240.0,4096
102.64.116.0/22,102.64.116.0,102.64.119.255,22,255.255.252.0,1024
102.129.64.0/19,102.129.64.0,102.129.95.255,19,255.255.224.0,8192
102.141.0.0/18,102.141.0.0,102.141.63.255,18,255.255.192.0,16384
102.204.124.0/24,102.204.124.0,102.204.124.255,24,255.255.255.0,256
102.209.72.0/22,102.209.72.0,102.209.75.255,22,255.255.252.0,1024
102.213.232.0/22,102.213.232.0,102.213.235.255,22,255.255.252.0,1024
102.220.244.0/22,102.220.244.0,102.220.247.255,22,255.255.252.0,1024
102.223.220.0/22,102.223.220.0,102.223.223.255,22,255.255.252.0,1024
160.113.0.0/16,160.113.0.0,160.113.255.255,16,255.255.0.0,65536
164.160.16.0/22,164.160.16.0,164.160.19.255,22,255.255.252.0,1024
169.255.72.0/22,169.255.72.0,169.255.75.255,22,255.255.252.0,1024
196.43.240.0/24,196.43.240.0,196.43.240.255,24,255.255.255.0,256
196.49.56.0/24,196.49.56.0,196.49.56.255,24,255.255.255.0,256
196.49.60.0/24,196.49.60.0,196.49.60.255,24,255.255.255.0,256
196.60.56.0/24,196.60.56.0,196.60.56.255,24,255.255.255.0,256
196.223.32.0/24,196.223.32.0,196.223.32.255,24,255.255.255.0,256
197.149.136.0/22,197.149.136.0,197.149.139.255,22,255.255.252.0,1024
197.157.252.0/22,197.157.252.0,197.157.255.255,22,255.255.252.0,1024
197.214.128.0/17,197.214.128.0,197.214.255.255,17,255.255.128.0,32768
197.255.176.0/20,197.255.176.0,197.255.191.255,20,255.255.240.0,4096
