# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.40.0/22,2.56.40.0,2.56.43.255,22,255.255.252.0,1024
2.56.169.0/24,2.56.169.0,2.56.169.255,24,255.255.255.0,256
2.59.120.0/22,2.59.120.0,2.59.123.255,22,255.255.252.0,1024
5.1.96.0/21,5.1.96.0,5.1.103.255,21,255.255.248.0,2048
5.1.112.0/21,5.1.112.0,5.1.119.255,21,255.255.248.0,2048
5.44.112.0/20,5.44.112.0,5.44.127.255,20,255.255.240.0,4096
5.53.104.0/21,5.53.104.0,5.53.111.255,21,255.255.248.0,2048
5.57.200.0/21,5.57.200.0,5.57.207.255,21,255.255.248.0,2048
5.61.224.0/21,5.61.224.0,5.61.231.255,21,255.255.248.0,2048
5.102.32.0/22,5.102.32.0,5.102.35.255,22,255.255.252.0,1024
5.102.144.0/21,5.102.144.0,5.102.151.255,21,255.255.248.0,2048
5.104.88.0/21,5.104.88.0,5.104.95.255,21,255.255.248.0,2048
5.134.24.0/21,5.134.24.0,5.134.31.255,21,255.255.248.0,2048
5.144.0.0/19,5.144.0.0,5.144.31.255,19,255.255.224.0,8192
5.144.32.0/20,5.144.32.0,5.144.47.255,20,255.255.240.0,4096
5.145.0.0/18,5.145.0.0,5.145.63.255,18,255.255.192.0,16384
5.145.64.0/19,5.145.64.0,5.145.95.255,19,255.255.224.0,8192
5.145.96.0/21,5.145.96.0,5.145.103.255,21,255.255.248.0,2048
5.148.160.0/19,5.148.160.0,5.148.191.255,19,255.255.224.0,8192
5.149.0.0/21,5.149.0.0,5.149.7.255,21,255.255.248.0,2048
5.149.16.0/20,5.149.16.0,5.149.31.255,20,255.255.240.0,4096
5.149.32.0/19,5.149.32.0,5.149.63.255,19,255.255.224.0,8192
5.152.184.0/21,5.152.184.0,5.152.191.255,21,255.255.248.0,2048
5.153.112.0/20,5.153.112.0,5.153.127.255,20,255.255.240.0,4096
5.153.240.0/21,5.153.240.0,5.153.247.255,21,255.255.248.0,2048
5.154.170.0/24,5.154.170.0,5.154.170.255,24,255.255.255.0,256
5.154.186.0/24,5.154.186.0,5.154.186.255,24,255.255.255.0,256
5.172.128.0/20,5.172.128.0,5.172.143.255,20,255.255.240.0,4096
5.180.116.0/22,5.180.116.0,5.180.119.255,22,255.255.252.0,1024
5.180.132.0/22,5.180.132.0,5.180.135.255,22,255.255.252.0,1024
5.182.248.0/22,5.182.248.0,5.182.251.255,22,255.255.252.0,1024
5.183.0.0/21,5.183.0.0,5.183.7.255,21,255.255.248.0,2048
5.187.56.0/21,5.187.56.0,5.187.63.255,21,255.255.248.0,2048
5.226.144.0/21,5.226.144.0,5.226.151.255,21,255.255.248.0,2048
5.249.168.0/21,5.249.168.0,5.249.175.255,21,255.255.248.0,2048
5.252.136.0/22,5.252.136.0,5.252.139.255,22,255.255.252.0,1024
