# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.66.0.0/18,41.66.0.0,41.66.63.255,18,255.255.192.0,16384
41.67.64.0/20,41.67.64.0,41.67.79.255,20,255.255.240.0,4096
41.67.88.0/21,41.67.88.0,41.67.95.255,21,255.255.248.0,2048
41.67.96.0/19,41.67.96.0,41.67.127.255,19,255.255.224.0,8192
41.73.16.0/20,41.73.16.0,41.73.31.255,20,255.255.240.0,4096
41.74.96.0/20,41.74.96.0,41.74.111.255,20,255.255.240.0,4096
41.75.16.0/20,41.75.16.0,41.75.31.255,20,255.255.240.0,4096
41.75.32.0/20,41.75.32.0,41.75.47.255,20,255.255.240.0,4096
41.76.136.0/21,41.76.136.0,41.76.143.255,21,255.255.248.0,2048
41.76.160.0/21,41.76.160.0,41.76.167.255,21,255.255.248.0,2048
41.76.232.0/21,41.76.232.0,41.76.239.255,21,255.255.248.0,2048
41.77.160.0/21,41.77.160.0,41.77.167.255,21,255.255.248.0,2048
41.77.216.0/22,41.77.216.0,41.77.219.255,22,255.255.252.0,1024
41.77.248.0/21,41.77.248.0,41.77.255.255,21,255.255.248.0,2048
41.78.12.0/22,41.78.12.0,41.78.15.255,22,255.255.252.0,1024
41.78.44.0/22,41.78.44.0,41.78.47.255,22,255.255.252.0,1024
41.78.68.0/22,41.78.68.0,41.78.71.255,22,255.255.252.0,1024
41.78.92.0/22,41.78.92.0,41.78.95.255,22,255.255.252.0,1024
41.78.104.0/22,41.78.104.0,41.78.107.255,22,255.255.252.0,1024
41.78.132.0/22,41.78.132.0,41.78.135.255,22,255.255.252.0,1024
41.78.144.0/22,41.78.144.0,41.78.147.255,22,255.255.252.0,1024
41.78.152.0/22,41.78.152.0,41.78.155.255,22,255.255.252.0,1024
41.78.160.0/22,41.78.160.0,41.78.163.255,22,255.255.252.0,1024
41.78.176.0/21,41.78.176.0,41.78.183.255,21,255.255.248.0,2048
41.78.236.0/22,41.78.236.0,41.78.239.255,22,255.255.252.0,1024
41.79.0.0/22,41.79.0.0,41.79.3.255,22,255.255.252.0,1024
41.79.12.0/22,41.79.12.0,41.79.15.255,22,255.255.252.0,1024
41.79.84.0/22,41.79.84.0,41.79.87.255,22,255.255.252.0,1024
41.79.100.0/22,41.79.100.0,41.79.103.255,22,255.255.252.0,1024
41.79.112.0/22,41.79.112.0,41.79.115.255,22,255.255.252.0,1024
41.79.140.0/22,41.79.140.0,41.79.143.255,22,255.255.252.0,1024
41.84.160.0/19,41.84.160.0,41.84.191.255,19,255.255.224.0,8192
41.87.32.0/19,41.87.32.0,41.87.63.255,19,255.255.224.0,8192
41.139.64.0/18,41.139.64.0,41.139.127.255,18,255.255.192.0,16384
41.189.32.0/19,41.189.32.0,41.189.63.255,19,255.255.224.0,8192
41.189.96.0/19,41.189.96.0,41.189.127.255,19,255.255.224.0,8192
41.189.128.0/19,41.189.128.0,41.189.159.255,19,255.255.224.0,8192
41.190.160.0/19,41.190.160.0,41.190.191.255,19,255.255.224.0,8192
41.190.192.0/19,41.190.192.0,41.190.223.255,19,255.255.224.0,8192
41.190.240.0/22,41.190.240.0,41.190.243.255,22,255.255.252.0,1024
41.190.252.0/22,41.190.252.0,41.190.255.255,22,255.255.252.0,1024
41.191.0.0/18,41.191.0.0,41.191.63.255,18,255.255.192.0,16384
41.191.68.0/22,41.191.68.0,41.191.71.255,22,255.255.252.0,1024
41.191.92.0/22,41.191.92.0,41.191.95.255,22,255.255.252.0,1024
41.191.108.0/22,41.191.108.0,41.191.111.255,22,255.255.252.0,1024
41.191.112.0/22,41.191.112.0,41.191.115.255,22,255.255.252.0,1024
41.191.208.0/22,41.191.208.0,41.191.211.255,22,255.255.252.0,1024
41.202.64.0/18,41.202.64.0,41.202.127.255,18,255.255.192.0,16384
41.205.160.0/19,41.205.160.0,41.205.191.255,19,255.255.224.0,8192
41.206.64.0/19,41.206.64.0,41.206.95.255,19,255.255.224.0,8192
41.206.224.0/19,41.206.224.0,41.206.255.255,19,255.255.224.0,8192
41.207.0.0/19,41.207.0.0,41.207.31.255,19,255.255.224.0,8192
41.207.192.0/19,41.207.192.0,41.207.223.255,19,255.255.224.0,8192
41.207.224.0/22,41.207.224.0,41.207.227.255,22,255.255.252.0,1024
41.209.128.0/18,41.209.128.0,41.209.191.255,18,255.255.192.0,16384
41.211.192.0/18,41.211.192.0,41.211.255.255,18,255.255.192.0,16384
41.215.192.0/20,41.215.192.0,41.215.207.255,20,255.255.240.0,4096
41.215.224.0/21,41.215.224.0,41.215.231.255,21,255.255.248.0,2048
41.216.0.0/19,41.216.0.0,41.216.31.255,19,255.255.224.0,8192
41.216.240.0/20,41.216.240.0,41.216.255.255,20,255.255.240.0,4096
41.217.196.0/22,41.217.196.0,41.217.199.255,22,255.255.252.0,1024
41.217.208.0/22,41.217.208.0,41.217.211.255,22,255.255.252.0,1024
41.217.248.0/21,41.217.248.0,41.217.255.255,21,255.255.248.0,2048
