# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.4.0.0/22,45.4.0.0,45.4.3.255,22,255.255.252.0,1024
45.4.168.0/22,45.4.168.0,45.4.171.255,22,255.255.252.0,1024
45.5.120.0/21,45.5.120.0,45.5.127.255,21,255.255.248.0,2048
45.7.228.0/22,45.7.228.0,45.7.231.255,22,255.255.252.0,1024
45.65.240.0/22,45.65.240.0,45.65.243.255,22,255.255.252.0,1024
45.68.16.0/22,45.68.16.0,45.68.19.255,22,255.255.252.0,1024
45.68.44.0/22,45.68.44.0,45.68.47.255,22,255.255.252.0,1024
45.71.8.0/22,45.71.8.0,45.71.11.255,22,255.255.252.0,1024
45.71.44.0/22,45.71.44.0,45.71.47.255,22,255.255.252.0,1024
45.160.4.0/22,45.160.4.0,45.160.7.255,22,255.255.252.0,1024
45.160.12.0/22,45.160.12.0,45.160.15.255,22,255.255.252.0,1024
45.160.72.0/22,45.160.72.0,45.160.75.255,22,255.255.252.0,1024
45.160.188.0/22,45.160.188.0,45.160.191.255,22,255.255.252.0,1024
45.160.212.0/23,45.160.212.0,45.160.213.255,23,255.255.254.0,512
45.160.214.0/24,45.160.214.0,45.160.214.255,24,255.255.255.0,256
45.161.44.0/22,45.161.44.0,45.161.47.255,22,255.255.252.0,1024
45.161.108.0/22,45.161.108.0,45.161.111.255,22,255.255.252.0,1024
45.161.112.0/22,45.161.112.0,45.161.115.255,22,255.255.252.0,1024
45.161.188.0/22,45.161.188.0,45.161.191.255,22,255.255.252.0,1024
45.162.132.0/22,45.162.132.0,45.162.135.255,22,255.255.252.0,1024
45.162.184.0/22,45.162.184.0,45.162.187.255,22,255.255.252.0,1024
45.162.192.0/22,45.162.192.0,45.162.195.255,22,255.255.252.0,1024
45.162.208.0/22,45.162.208.0,45.162.211.255,22,255.255.252.0,1024
45.165.40.0/22,45.165.40.0,45.165.43.255,22,255.255.252.0,1024
45.165.168.0/22,45.165.168.0,45.165.171.255,22,255.255.252.0,1024
45.166.72.0/22,45.166.72.0,45.166.75.255,22,255.255.252.0,1024
45.166.144.0/22,45.166.144.0,45.166.147.255,22,255.255.252.0,1024
45.167.24.0/22,45.167.24.0,45.167.27.255,22,255.255.252.0,1024
45.167.192.0/22,45.167.192.0,45.167.195.255,22,255.255.252.0,1024
45.168.68.0/22,45.168.68.0,45.168.71.255,22,255.255.252.0,1024
45.169.54.0/23,45.169.54.0,45.169.55.255,23,255.255.254.0,512
45.169.148.0/22,45.169.148.0,45.169.151.255,22,255.255.252.0,1024
45.169.163.0/24,45.169.163.0,45.169.163.255,24,255.255.255.0,256
45.170.100.0/22,45.170.100.0,45.170.103.255,22,255.255.252.0,1024
45.171.48.0/23,45.171.48.0,45.171.49.255,23,255.255.254.0,512
45.171.220.0/22,45.171.220.0,45.171.223.255,22,255.255.252.0,1024
45.172.136.0/22,45.172.136.0,45.172.139.255,22,255.255.252.0,1024
45.173.120.0/22,45.173.120.0,45.173.123.255,22,255.255.252.0,1024
45.173.128.0/22,45.173.128.0,45.173.131.255,22,255.255.252.0,1024
45.174.104.0/22,45.174.104.0,45.174.107.255,22,255.255.252.0,1024
45.174.204.0/22,45.174.204.0,45.174.207.255,22,255.255.252.0,1024
45.175.21.0/24,45.175.21.0,45.175.21.255,24,255.255.255.0,256
45.176.116.0/22,45.176.116.0,45.176.119.255,22,255.255.252.0,1024
45.176.164.0/22,45.176.164.0,45.176.167.255,22,255.255.252.0,1024
45.176.192.0/24,45.176.192.0,45.176.192.255,24,255.255.255.0,256
45.177.96.0/22,45.177.96.0,45.177.99.255,22,255.255.252.0,1024
45.178.132.0/22,45.178.132.0,45.178.135.255,22,255.255.252.0,1024
45.180.24.0/22,45.180.24.0,45.180.27.255,22,255.255.252.0,1024
45.180.68.0/22,45.180.68.0,45.180.71.255,22,255.255.252.0,1024
45.180.172.0/22,45.180.172.0,45.180.175.255,22,255.255.252.0,1024
45.181.120.0/22,45.181.120.0,45.181.123.255,22,255.255.252.0,1024
45.182.116.0/24,45.182.116.0,45.182.116.255,24,255.255.255.0,256
45.183.179.0/24,45.183.179.0,45.183.179.255,24,255.255.255.0,256
45.184.84.0/22,45.184.84.0,45.184.87.255,22,255.255.252.0,1024
45.186.148.0/22,45.186.148.0,45.186.151.255,22,255.255.252.0,1024
45.190.16.0/22,45.190.16.0,45.190.19.255,22,255.255.252.0,1024
45.191.48.0/22,45.191.48.0,45.191.51.255,22,255.255.252.0,1024
45.191.100.0/22,45.191.100.0,45.191.103.255,22,255.255.252.0,1024
45.225.43.0/24,45.225.43.0,45.225.43.255,24,255.255.255.0,256
45.225.92.0/22,45.225.92.0,45.225.95.255,22,255.255.252.0,1024
45.225.132.0/23,45.225.132.0,45.225.133.255,23,255.255.254.0,512
45.225.184.0/22,45.225.184.0,45.225.187.255,22,255.255.252.0,1024
45.225.204.0/22,45.225.204.0,45.225.207.255,22,255.255.252.0,1024
45.226.168.0/22,45.226.168.0,45.226.171.255,22,255.255.252.0,1024
45.227.48.0/22,45.227.48.0,45.227.51.255,22,255.255.252.0,1024
45.227.60.0/24,45.227.60.0,45.227.60.255,24,255.255.255.0,256
45.227.62.0/23,45.227.62.0,45.227.63.255,23,255.255.254.0,512
45.227.131.0/24,45.227.131.0,45.227.131.255,24,255.255.255.0,256
45.227.176.0/22,45.227.176.0,45.227.179.255,22,255.255.252.0,1024
45.228.208.0/22,45.228.208.0,45.228.211.255,22,255.255.252.0,1024
45.229.137.0/24,45.229.137.0,45.229.137.255,24,255.255.255.0,256
45.229.188.0/22,45.229.188.0,45.229.191.255,22,255.255.252.0,1024
45.229.247.0/24,45.229.247.0,45.229.247.255,24,255.255.255.0,256
45.230.21.0/24,45.230.21.0,45.230.21.255,24,255.255.255.0,256
45.230.22.0/23,45.230.22.0,45.230.23.255,23,255.255.254.0,512
45.230.36.0/22,45.230.36.0,45.230.39.255,22,255.255.252.0,1024
45.230.48.0/22,45.230.48.0,45.230.51.255,22,255.255.252.0,1024
45.231.48.0/22,45.231.48.0,45.231.51.255,22,255.255.252.0,1024
45.232.32.0/22,45.232.32.0,45.232.35.255,22,255.255.252.0,1024
45.232.92.0/22,45.232.92.0,45.232.95.255,22,255.255.252.0,1024
45.232.120.0/22,45.232.120.0,45.232.123.255,22,255.255.252.0,1024
45.232.176.0/22,45.232.176.0,45.232.179.255,22,255.255.252.0,1024
45.232.208.0/22,45.232.208.0,45.232.211.255,22,255.255.252.0,1024
45.234.156.0/22,45.234.156.0,45.234.159.255,22,255.255.252.0,1024
45.234.224.0/22,45.234.224.0,45.234.227.255,22,255.255.252.0,1024
45.235.36.0/22,45.235.36.0,45.235.39.255,22,255.255.252.0,1024
45.236.88.0/22,45.236.88.0,45.236.91.255,22,255.255.252.0,1024
45.236.124.0/22,45.236.124.0,45.236.127.255,22,255.255.252.0,1024
45.236.128.0/22,45.236.128.0,45.236.131.255,22,255.255.252.0,1024
45.236.164.0/22,45.236.164.0,45.236.167.255,22,255.255.252.0,1024
45.236.174.0/23,45.236.174.0,45.236.175.255,23,255.255.254.0,512
45.236.184.0/22,45.236.184.0,45.236.187.255,22,255.255.252.0,1024
45.237.132.0/22,45.237.132.0,45.237.135.255,22,255.255.252.0,1024
45.237.136.0/22,45.237.136.0,45.237.139.255,22,255.255.252.0,1024
45.238.20.0/22,45.238.20.0,45.238.23.255,22,255.255.252.0,1024
45.238.60.0/22,45.238.60.0,45.238.63.255,22,255.255.252.0,1024
45.238.152.0/22,45.238.152.0,45.238.155.255,22,255.255.252.0,1024
45.238.176.0/23,45.238.176.0,45.238.177.255,23,255.255.254.0,512
45.238.179.0/24,45.238.179.0,45.238.179.255,24,255.255.255.0,256
45.239.28.0/22,45.239.28.0,45.239.31.255,22,255.255.252.0,1024
45.239.96.0/22,45.239.96.0,45.239.99.255,22,255.255.252.0,1024
45.239.108.0/22,45.239.108.0,45.239.111.255,22,255.255.252.0,1024
45.239.112.0/24,45.239.112.0,45.239.112.255,24,255.255.255.0,256
45.239.120.0/22,45.239.120.0,45.239.123.255,22,255.255.252.0,1024
45.239.208.0/22,45.239.208.0,45.239.211.255,22,255.255.252.0,1024
45.239.216.0/22,45.239.216.0,45.239.219.255,22,255.255.252.0,1024
128.201.116.0/22,128.201.116.0,128.201.119.255,22,255.255.252.0,1024
128.201.224.0/22,128.201.224.0,128.201.227.255,22,255.255.252.0,1024
131.0.108.0/22,131.0.108.0,131.0.111.255,22,255.255.252.0,1024
131.0.172.0/22,131.0.172.0,131.0.175.255,22,255.255.252.0,1024
131.72.232.0/21,131.72.232.0,131.72.239.255,21,255.255.248.0,2048
131.108.68.0/22,131.108.68.0,131.108.71.255,22,255.255.252.0,1024
131.108.208.0/22,131.108.208.0,131.108.211.255,22,255.255.252.0,1024
131.161.200.0/22,131.161.200.0,131.161.203.255,22,255.255.252.0,1024
131.196.176.0/22,131.196.176.0,131.196.179.255,22,255.255.252.0,1024
131.221.32.0/22,131.221.32.0,131.221.35.255,22,255.255.252.0,1024
131.221.164.0/22,131.221.164.0,131.221.167.255,22,255.255.252.0,1024
132.255.68.0/22,132.255.68.0,132.255.71.255,22,255.255.252.0,1024
132.255.236.0/22,132.255.236.0,132.255.239.255,22,255.255.252.0,1024
138.0.12.0/22,138.0.12.0,138.0.15.255,22,255.255.252.0,1024
138.0.120.0/22,138.0.120.0,138.0.123.255,22,255.255.252.0,1024
138.36.252.0/22,138.36.252.0,138.36.255.255,22,255.255.252.0,1024
138.84.32.0/19,138.84.32.0,138.84.63.255,19,255.255.224.0,8192
138.99.176.0/22,138.99.176.0,138.99.179.255,22,255.255.252.0,1024
138.99.224.0/22,138.99.224.0,138.99.227.255,22,255.255.252.0,1024
138.117.68.0/22,138.117.68.0,138.117.71.255,22,255.255.252.0,1024
138.117.148.0/22,138.117.148.0,138.117.151.255,22,255.255.252.0,1024
138.121.96.0/22,138.121.96.0,138.121.99.255,22,255.255.252.0,1024
138.121.108.0/22,138.121.108.0,138.121.111.255,22,255.255.252.0,1024
138.121.168.0/22,138.121.168.0,138.121.171.255,22,255.255.252.0,1024
138.121.176.0/22,138.121.176.0,138.121.179.255,22,255.255.252.0,1024
138.185.12.0/22,138.185.12.0,138.185.15.255,22,255.255.252.0,1024
138.186.8.0/22,138.186.8.0,138.186.11.255,22,255.255.252.0,1024
138.186.120.0/22,138.186.120.0,138.186.123.255,22,255.255.252.0,1024
138.204.228.0/22,138.204.228.0,138.204.231.255,22,255.255.252.0,1024
138.219.56.0/22,138.219.56.0,138.219.59.255,22,255.255.252.0,1024
138.219.228.0/22,138.219.228.0,138.219.231.255,22,255.255.252.0,1024
138.255.96.0/21,138.255.96.0,138.255.103.255,21,255.255.248.0,2048
143.202.12.0/22,143.202.12.0,143.202.15.255,22,255.255.252.0,1024
143.202.140.0/22,143.202.140.0,143.202.143.255,22,255.255.252.0,1024
143.208.52.0/22,143.208.52.0,143.208.55.255,22,255.255.252.0,1024
143.255.24.0/22,143.255.24.0,143.255.27.255,22,255.255.252.0,1024
143.255.104.0/22,143.255.104.0,143.255.107.255,22,255.255.252.0,1024
