# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.77.80.0/21,41.77.80.0,41.77.87.255,21,255.255.248.0,2048
41.92.128.0/21,41.92.128.0,41.92.135.255,21,255.255.248.0,2048
41.92.152.0/21,41.92.152.0,41.92.159.255,21,255.255.248.0,2048
41.92.180.0/22,41.92.180.0,41.92.183.255,22,255.255.252.0,1024
41.92.184.0/22,41.92.184.0,41.92.187.255,22,255.255.252.0,1024
41.92.196.0/22,41.92.196.0,41.92.199.255,22,255.255.252.0,1024
41.92.200.0/22,41.92.200.0,41.92.203.255,22,255.255.252.0,1024
41.92.208.0/21,41.92.208.0,41.92.215.255,21,255.255.248.0,2048
41.92.216.0/22,41.92.216.0,41.92.219.255,22,255.255.252.0,1024
41.92.224.0/24,41.92.224.0,41.92.224.255,24,255.255.255.0,256
41.92.248.0/21,41.92.248.0,41.92.255.255,21,255.255.248.0,2048
41.190.224.0/22,41.190.224.0,41.190.227.255,22,255.255.252.0,1024
41.191.100.0/22,41.191.100.0,41.191.103.255,22,255.255.252.0,1024
41.202.192.0/19,41.202.192.0,41.202.223.255,19,255.255.224.0,8192
41.204.64.0/19,41.204.64.0,41.204.95.255,19,255.255.224.0,8192
41.205.0.0/19,41.205.0.0,41.205.31.255,19,255.255.224.0,8192
41.205.64.0/19,41.205.64.0,41.205.95.255,19,255.255.224.0,8192
41.211.96.0/19,41.211.96.0,41.211.127.255,19,255.255.224.0,8192
41.216.232.0/22,41.216.232.0,41.216.235.255,22,255.255.252.0,1024
41.217.148.0/22,41.217.148.0,41.217.151.255,22,255.255.252.0,1024
41.223.28.0/22,41.223.28.0,41.223.31.255,22,255.255.252.0,1024
102.132.16.0/20,102.132.16.0,102.132.31.255,20,255.255.240.0,4096
102.135.189.0/24,102.135.189.0,102.135.189.255,24,255.255.255.0,256
102.208.81.0/24,102.208.81.0,102.208.81.255,24,255.255.255.0,256
102.208.104.0/22,102.208.104.0,102.208.107.255,22,255.255.252.0,1024
102.208.124.0/22,102.208.124.0,102.208.127.255,22,255.255.252.0,1024
102.209.19.0/24,102.209.19.0,102.209.19.255,24,255.255.255.0,256
102.210.68.0/22,102.210.68.0,102.210.71.255,22,255.255.252.0,1024
102.210.116.0/22,102.210.116.0,102.210.119.255,22,255.255.252.0,1024
102.211.54.0/24,102.211.54.0,102.211.54.255,24,255.255.255.0,256
102.216.38.0/24,102.216.38.0,102.216.38.255,24,255.255.255.0,256
102.218.164.0/22,102.218.164.0,102.218.167.255,22,255.255.252.0,1024
102.218.252.0/22,102.218.252.0,102.218.255.255,22,255.255.252.0,1024
102.219.44.0/22,102.219.44.0,102.219.47.255,22,255.255.252.0,1024
102.219.68.0/22,102.219.68.0,102.219.71.255,22,255.255.252.0,1024
102.220.16.0/22,102.220.16.0,102.220.19.255,22,255.255.252.0,1024
102.220.222.0/24,102.220.222.0,102.220.222.255,24,255.255.255.0,256
102.223.6.0/24,102.223.6.0,102.223.6.255,24,255.255.255.0,256
102.244.0.0/14,102.244.0.0,102.247.255.255,14,255.252.0.0,262144
129.0.0.0/16,129.0.0.0,129.0.255.255,16,255.255.0.0,65536
154.70.96.0/19,154.70.96.0,154.70.127.255,19,255.255.224.0,8192
154.72.128.0/18,154.72.128.0,154.72.191.255,18,255.255.192.0,16384
154.126.128.0/18,154.126.128.0,154.126.191.255,18,255.255.192.0,16384
165.210.0.0/15,165.210.0.0,165.211.255.255,15,255.254.0.0,131072
169.239.40.0/22,169.239.40.0,169.239.43.255,22,255.255.252.0,1024
169.255.4.0/22,169.255.4.0,169.255.7.255,22,255.255.252.0,1024
192.145.186.0/23,192.145.186.0,192.145.187.255,23,255.255.254.0,512
195.24.192.0/19,195.24.192.0,195.24.223.255,19,255.255.224.0,8192
196.3.90.0/24,196.3.90.0,196.3.90.255,24,255.255.255.0,256
196.49.38.0/24,196.49.38.0,196.49.38.255,24,255.255.255.0,256
196.49.84.0/24,196.49.84.0,196.49.84.255,24,255.255.255.0,256
196.60.6.0/23,196.60.6.0,196.60.7.255,23,255.255.254.0,512
196.60.84.0/24,196.60.84.0,196.60.84.255,24,255.255.255.0,256
196.202.232.0/21,196.202.232.0,196.202.239.255,21,255.255.248.0,2048
196.216.212.0/24,196.216.212.0,196.216.212.255,24,255.255.255.0,256
197.159.0.0/19,197.159.0.0,197.159.31.255,19,255.255.224.0,8192
