# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
24.152.56.0/24,24.152.56.0,24.152.56.255,24,255.255.255.0,256
24.152.58.0/23,24.152.58.0,24.152.59.255,23,255.255.254.0,512
45.5.160.0/21,45.5.160.0,45.5.167.255,21,255.255.248.0,2048
45.5.172.0/22,45.5.172.0,45.5.175.255,22,255.255.252.0,1024
45.5.180.0/22,45.5.180.0,45.5.183.255,22,255.255.252.0,1024
45.5.184.0/21,45.5.184.0,45.5.191.255,21,255.255.248.0,2048
45.7.132.0/22,45.7.132.0,45.7.135.255,22,255.255.252.0,1024
45.65.136.0/22,45.65.136.0,45.65.139.255,22,255.255.252.0,1024
45.65.200.0/24,45.65.200.0,45.65.200.255,24,255.255.255.0,256
45.65.232.0/22,45.65.232.0,45.65.235.255,22,255.255.252.0,1024
45.68.24.0/21,45.68.24.0,45.68.31.255,21,255.255.248.0,2048
45.68.32.0/24,45.68.32.0,45.68.32.255,24,255.255.255.0,256
45.68.36.0/22,45.68.36.0,45.68.39.255,22,255.255.252.0,1024
45.70.168.0/22,45.70.168.0,45.70.171.255,22,255.255.252.0,1024
45.71.7.0/24,45.71.7.0,45.71.7.255,24,255.255.255.0,256
45.71.180.0/22,45.71.180.0,45.71.183.255,22,255.255.252.0,1024
45.127.192.0/22,45.127.192.0,45.127.195.255,22,255.255.252.0,1024
45.162.0.0/22,45.162.0.0,45.162.3.255,22,255.255.252.0,1024
45.162.76.0/22,45.162.76.0,45.162.79.255,22,255.255.252.0,1024
45.162.82.0/23,45.162.82.0,45.162.83.255,23,255.255.254.0,512
45.162.84.0/23,45.162.84.0,45.162.85.255,23,255.255.254.0,512
45.162.126.0/24,45.162.126.0,45.162.126.255,24,255.255.255.0,256
45.163.28.0/23,45.163.28.0,45.163.29.255,23,255.255.254.0,512
45.163.30.0/24,45.163.30.0,45.163.30.255,24,255.255.255.0,256
45.167.124.0/23,45.167.124.0,45.167.125.255,23,255.255.254.0,512
45.167.126.0/24,45.167.126.0,45.167.126.255,24,255.255.255.0,256
45.167.248.0/22,45.167.248.0,45.167.251.255,22,255.255.252.0,1024
45.168.104.0/22,45.168.104.0,45.168.107.255,22,255.255.252.0,1024
45.169.98.0/23,45.169.98.0,45.169.99.255,23,255.255.254.0,512
45.169.253.0/24,45.169.253.0,45.169.253.255,24,255.255.255.0,256
45.170.124.0/22,45.170.124.0,45.170.127.255,22,255.255.252.0,1024
45.170.132.0/22,45.170.132.0,45.170.135.255,22,255.255.252.0,1024
45.170.240.0/22,45.170.240.0,45.170.243.255,22,255.255.252.0,1024
45.171.118.0/24,45.171.118.0,45.171.118.255,24,255.255.255.0,256
45.171.180.0/22,45.171.180.0,45.171.183.255,22,255.255.252.0,1024
45.172.178.0/23,45.172.178.0,45.172.179.255,23,255.255.254.0,512
45.172.184.0/22,45.172.184.0,45.172.187.255,22,255.255.252.0,1024
45.172.218.0/24,45.172.218.0,45.172.218.255,24,255.255.255.0,256
45.172.222.0/23,45.172.222.0,45.172.223.255,23,255.255.254.0,512
45.173.4.0/22,45.173.4.0,45.173.7.255,22,255.255.252.0,1024
45.173.8.0/22,45.173.8.0,45.173.11.255,22,255.255.252.0,1024
45.173.12.0/24,45.173.12.0,45.173.12.255,24,255.255.255.0,256
45.173.14.0/23,45.173.14.0,45.173.15.255,23,255.255.254.0,512
