# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
45.5.60.0/22,45.5.60.0,45.5.63.255,22,255.255.252.0,1024
45.65.188.0/22,45.65.188.0,45.65.191.255,22,255.255.252.0,1024
45.160.132.0/22,45.160.132.0,45.160.135.255,22,255.255.252.0,1024
45.162.204.0/22,45.162.204.0,45.162.207.255,22,255.255.252.0,1024
45.163.136.0/22,45.163.136.0,45.163.139.255,22,255.255.252.0,1024
45.167.17.0/24,45.167.17.0,45.167.17.255,24,255.255.255.0,256
45.167.196.0/22,45.167.196.0,45.167.199.255,22,255.255.252.0,1024
45.168.196.0/22,45.168.196.0,45.168.199.255,22,255.255.252.0,1024
45.182.43.0/24,45.182.43.0,45.182.43.255,24,255.255.255.0,256
45.185.43.0/24,45.185.43.0,45.185.43.255,24,255.255.255.0,256
45.188.128.0/22,45.188.128.0,45.188.131.255,22,255.255.252.0,1024
45.188.216.0/23,45.188.216.0,45.188.217.255,23,255.255.254.0,512
45.224.202.0/24,45.224.202.0,45.224.202.255,24,255.255.255.0,256
45.226.64.0/22,45.226.64.0,45.226.67.255,22,255.255.252.0,1024
45.227.200.0/22,45.227.200.0,45.227.203.255,22,255.255.252.0,1024
45.229.151.0/24,45.229.151.0,45.229.151.255,24,255.255.255.0,256
45.229.246.0/24,45.229.246.0,45.229.246.255,24,255.255.255.0,256
45.229.252.0/22,45.229.252.0,45.229.255.255,22,255.255.252.0,1024
45.231.52.0/22,45.231.52.0,45.231.55.255,22,255.255.252.0,1024
45.232.116.0/22,45.232.116.0,45.232.119.255,22,255.255.252.0,1024
45.239.64.0/22,45.239.64.0,45.239.67.255,22,255.255.252.0,1024
65.38.100.0/24,65.38.100.0,65.38.100.255,24,255.255.255.0,256
128.201.144.0/22,128.201.144.0,128.201.147.255,22,255.255.252.0,1024
131.0.72.0/22,131.0.72.0,131.0.75.255,22,255.255.252.0,1024
131.108.36.0/22,131.108.36.0,131.108.39.255,22,255.255.252.0,1024
131.196.32.0/22,131.196.32.0,131.196.35.255,22,255.255.252.0,1024
138.59.16.0/22,138.59.16.0,138.59.19.255,22,255.255.252.0,1024
138.59.132.0/22,138.59.132.0,138.59.135.255,22,255.255.252.0,1024
138.94.56.0/22,138.94.56.0,138.94.59.255,22,255.255.252.0,1024
138.118.80.0/22,138.118.80.0,138.118.83.255,22,255.255.252.0,1024
138.118.156.0/22,138.118.156.0,138.118.159.255,22,255.255.252.0,1024
138.121.140.0/22,138.121.140.0,138.121.143.255,22,255.255.252.0,1024
138.122.24.0/22,138.122.24.0,138.122.27.255,22,255.255.252.0,1024
138.122.244.0/22,138.122.244.0,138.122.247.255,22,255.255.252.0,1024
138.185.248.0/22,138.185.248.0,138.185.251.255,22,255.255.252.0,1024
143.0.160.0/22,143.0.160.0,143.0.163.255,22,255.255.252.0,1024
143.137.148.0/22,143.137.148.0,143.137.151.255,22,255.255.252.0,1024
143.202.160.0/22,143.202.160.0,143.202.163.255,22,255.255.252.0,1024
143.208.168.0/22,143.208.168.0,143.208.171.255,22,255.255.252.0,1024
143.255.28.0/22,143.255.28.0,143.255.31.255,22,255.255.252.0,1024
144.22.0.0/15,144.22.0.0,144.23.255.255,15,255.254.0.0,131072
152.231.128.0/17,152.231.128.0,152.231.255.255,17,255.255.128.0,32768
160.223.203.0/24,160.223.203.0,160.223.203.255,24,255.255.255.0,256
163.178.0.0/16,163.178.0.0,163.178.255.255,16,255.255.0.0,65536
167.250.192.0/22,167.250.192.0,167.250.195.255,22,255.255.252.0,1024
168.181.160.0/22,168.181.160.0,168.181.163.255,22,255.255.252.0,1024
168.195.124.0/22,168.195.124.0,168.195.127.255,22,255.255.252.0,1024
168.197.96.0/22,168.197.96.0,168.197.99.255,22,255.255.252.0,1024
168.197.132.0/22,168.197.132.0,168.197.135.255,22,255.255.252.0,1024
168.205.64.0/22,168.205.64.0,168.205.67.255,22,255.255.252.0,1024
168.228.48.0/22,168.228.48.0,168.228.51.255,22,255.255.252.0,1024
168.232.28.0/22,168.232.28.0,168.232.31.255,22,255.255.252.0,1024
170.80.88.0/22,170.80.88.0,170.80.91.255,22,255.255.252.0,1024
170.81.32.0/22,170.81.32.0,170.81.35.255,22,255.255.252.0,1024
170.83.8.0/22,170.83.8.0,170.83.11.255,22,255.255.252.0,1024
170.84.108.0/22,170.84.108.0,170.84.111.255,22,255.255.252.0,1024
170.84.255.0/24,170.84.255.0,170.84.255.255,24,255.255.255.0,256
170.150.56.0/22,170.150.56.0,170.150.59.255,22,255.255.252.0,1024
170.244.168.0/22,170.244.168.0,170.244.171.255,22,255.255.252.0,1024
170.245.240.0/22,170.245.240.0,170.245.243.255,22,255.255.252.0,1024
170.246.100.0/22,170.246.100.0,170.246.103.255,22,255.255.252.0,1024
170.246.148.0/22,170.246.148.0,170.246.151.255,22,255.255.252.0,1024
170.246.156.0/22,170.246.156.0,170.246.159.255,22,255.255.252.0,1024
177.93.0.0/19,177.93.0.0,177.93.31.255,19,255.255.224.0,8192
179.0.20.0/22,179.0.20.0,179.0.23.255,22,255.255.252.0,1024
179.0.202.0/24,179.0.202.0,179.0.202.255,24,255.255.255.0,256
179.0.208.0/20,179.0.208.0,179.0.223.255,20,255.255.240.0,4096
179.48.248.0/22,179.48.248.0,179.48.251.255,22,255.255.252.0,1024
179.50.128.0/17,179.50.128.0,179.50.255.255,17,255.255.128.0,32768
179.60.160.0/21,179.60.160.0,179.60.167.255,21,255.255.248.0,2048
179.189.223.0/24,179.189.223.0,179.189.223.255,24,255.255.255.0,256
181.174.168.0/22,181.174.168.0,181.174.171.255,22,255.255.252.0,1024
181.193.0.0/16,181.193.0.0,181.193.255.255,16,255.255.0.0,65536
181.194.0.0/15,181.194.0.0,181.195.255.255,15,255.254.0.0,131072
181.224.72.0/22,181.224.72.0,181.224.75.255,22,255.255.252.0,1024
186.2.240.0/22,186.2.240.0,186.2.243.255,22,255.255.252.0,1024
186.4.0.0/18,186.4.0.0,186.4.63.255,18,255.255.192.0,16384
186.5.160.0/20,186.5.160.0,186.5.175.255,20,255.255.240.0,4096
186.15.0.0/16,186.15.0.0,186.15.255.255,16,255.255.0.0,65536
186.26.112.0/20,186.26.112.0,186.26.127.255,20,255.255.240.0,4096
186.32.0.0/18,186.32.0.0,186.32.63.255,18,255.255.192.0,16384
186.32.160.0/19,186.32.160.0,186.32.191.255,19,255.255.224.0,8192
186.32.192.0/19,186.32.192.0,186.32.223.255,19,255.255.224.0,8192
186.64.128.0/17,186.64.128.0,186.64.255.255,17,255.255.128.0,32768
186.96.80.0/20,186.96.80.0,186.96.95.255,20,255.255.240.0,4096
186.148.212.0/22,186.148.212.0,186.148.215.255,22,255.255.252.0,1024
186.151.94.0/24,186.151.94.0,186.151.94.255,24,255.255.255.0,256
186.159.128.0/17,186.159.128.0,186.159.255.255,17,255.255.128.0,32768
186.176.0.0/16,186.176.0.0,186.176.255.255,16,255.255.0.0,65536
186.177.0.0/17,186.177.0.0,186.177.127.255,17,255.255.128.0,32768
186.177.128.0/18,186.177.128.0,186.177.191.255,18,255.255.192.0,16384
186.179.64.0/20,186.179.64.0,186.179.79.255,20,255.255.240.0,4096
187.49.248.0/21,187.49.248.0,187.49.255.255,21,255.255.248.0,2048
190.0.224.0/21,190.0.224.0,190.0.231.255,21,255.255.248.0,2048
190.2.216.0/21,190.2.216.0,190.2.223.255,21,255.255.248.0,2048
190.4.88.0/21,190.4.88.0,190.4.95.255,21,255.255.248.0,2048
190.5.212.0/22,190.5.212.0,190.5.215.255,22,255.255.252.0,1024
190.7.160.0/20,190.7.160.0,190.7.175.255,20,255.255.240.0,4096
190.7.192.0/19,190.7.192.0,190.7.223.255,19,255.255.224.0,8192
190.9.124.0/23,190.9.124.0,190.9.125.255,23,255.255.254.0,512
190.10.0.0/17,190.10.0.0,190.10.127.255,17,255.255.128.0,32768
190.14.152.0/22,190.14.152.0,190.14.155.255,22,255.255.252.0,1024
190.57.48.0/21,190.57.48.0,190.57.55.255,21,255.255.248.0,2048
190.93.160.0/20,190.93.160.0,190.93.175.255,20,255.255.240.0,4096
190.93.240.0/20,190.93.240.0,190.93.255.255,20,255.255.240.0,4096
190.99.120.0/21,190.99.120.0,190.99.127.255,21,255.255.248.0,2048
190.106.64.0/20,190.106.64.0,190.106.79.255,20,255.255.240.0,4096
190.108.72.0/22,190.108.72.0,190.108.75.255,22,255.255.252.0,1024
190.108.220.0/22,190.108.220.0,190.108.223.255,22,255.255.252.0,1024
190.110.228.0/24,190.110.228.0,190.110.228.255,24,255.255.255.0,256
190.112.220.0/22,190.112.220.0,190.112.223.255,22,255.255.252.0,1024
190.113.80.0/21,190.113.80.0,190.113.87.255,21,255.255.248.0,2048
190.113.96.0/19,190.113.96.0,190.113.127.255,19,255.255.224.0,8192
190.113.248.0/21,190.113.248.0,190.113.255.255,21,255.255.248.0,2048
190.115.200.0/22,190.115.200.0,190.115.203.255,22,255.255.252.0,1024
190.120.240.0/22,190.120.240.0,190.120.243.255,22,255.255.252.0,1024
190.123.14.0/24,190.123.14.0,190.123.14.255,24,255.255.255.0,256
190.123.128.0/20,190.123.128.0,190.123.143.255,20,255.255.240.0,4096
190.124.248.0/22,190.124.248.0,190.124.251.255,22,255.255.252.0,1024
190.148.85.0/24,190.148.85.0,190.148.85.255,24,255.255.255.0,256
190.149.134.0/24,190.149.134.0,190.149.134.255,24,255.255.255.0,256
190.149.152.0/24,190.149.152.0,190.149.152.255,24,255.255.255.0,256
190.171.0.0/18,190.171.0.0,190.171.63.255,18,255.255.192.0,16384
190.171.96.0/19,190.171.96.0,190.171.127.255,19,255.255.224.0,8192
190.184.196.0/22,190.184.196.0,190.184.199.255,22,255.255.252.0,1024
190.211.92.0/22,190.211.92.0,190.211.95.255,22,255.255.252.0,1024
190.211.96.0/19,190.211.96.0,190.211.127.255,19,255.255.224.0,8192
190.241.0.0/16,190.241.0.0,190.241.255.255,16,255.255.0.0,65536
191.102.36.0/22,191.102.36.0,191.102.39.255,22,255.255.252.0,1024
191.102.56.0/22,191.102.56.0,191.102.59.255,22,255.255.252.0,1024
192.100.182.0/24,192.100.182.0,192.100.182.255,24,255.255.255.0,256
192.153.167.0/24,192.153.167.0,192.153.167.255,24,255.255.255.0,256
196.40.0.0/18,196.40.0.0,196.40.63.255,18,255.255.192.0,16384
196.40.64.0/19,196.40.64.0,196.40.95.255,19,255.255.224.0,8192
198.49.164.0/24,198.49.164.0,198.49.164.255,24,255.255.255.0,256
199.60.215.0/24,199.60.215.0,199.60.215.255,24,255.255.255.0,256
