# CIDR,network(start) address,end address,prefix,subnet mask
45.8.104.0/22,45.8.104.0,45.8.107.255,22,255.255.252.0
45.71.156.0/22,45.71.156.0,45.71.159.255,22,255.255.252.0
45.234.112.0/22,45.234.112.0,45.234.115.255,22,255.255.252.0
81.29.0.0/20,81.29.0.0,81.29.15.255,20,255.255.240.0
91.194.236.0/23,91.194.236.0,91.194.237.255,23,255.255.254.0
131.72.112.0/22,131.72.112.0,131.72.115.255,22,255.255.252.0
131.221.144.0/22,131.221.144.0,131.221.147.255,22,255.255.252.0
138.99.212.0/22,138.99.212.0,138.99.215.255,22,255.255.252.0
138.219.140.0/22,138.219.140.0,138.219.143.255,22,255.255.252.0
161.0.96.0/20,161.0.96.0,161.0.111.255,20,255.255.240.0
161.22.48.0/21,161.22.48.0,161.22.55.255,21,255.255.248.0
170.245.0.0/22,170.245.0.0,170.245.3.255,22,255.255.252.0
185.149.84.0/22,185.149.84.0,185.149.87.255,22,255.255.252.0
185.185.184.0/22,185.185.184.0,185.185.187.255,22,255.255.252.0
186.2.176.0/20,186.2.176.0,186.2.191.255,20,255.255.240.0
186.148.216.0/21,186.148.216.0,186.148.223.255,21,255.255.248.0
186.190.232.0/22,186.190.232.0,186.190.235.255,22,255.255.252.0
186.190.240.0/20,186.190.240.0,186.190.255.255,20,255.255.240.0
190.2.128.0/18,190.2.128.0,190.2.191.255,18,255.255.192.0
190.4.128.0/18,190.4.128.0,190.4.191.255,18,255.255.192.0
190.13.120.0/21,190.13.120.0,190.13.127.255,21,255.255.248.0
190.88.0.0/16,190.88.0.0,190.88.255.255,16,255.255.0.0
190.105.192.0/22,190.105.192.0,190.105.195.255,22,255.255.252.0
190.112.224.0/19,190.112.224.0,190.112.255.255,19,255.255.224.0
190.121.208.0/20,190.121.208.0,190.121.223.255,20,255.255.240.0
190.121.240.0/20,190.121.240.0,190.121.255.255,20,255.255.240.0
190.123.20.0/22,190.123.20.0,190.123.23.255,22,255.255.252.0
190.185.0.0/18,190.185.0.0,190.185.63.255,18,255.255.192.0
193.23.16.0/22,193.23.16.0,193.23.19.255,22,255.255.252.0
196.3.16.0/20,196.3.16.0,196.3.31.255,20,255.255.240.0
200.0.20.0/23,200.0.20.0,200.0.21.255,23,255.255.254.0
200.6.56.0/21,200.6.56.0,200.6.63.255,21,255.255.248.0
200.16.93.0/24,200.16.93.0,200.16.93.255,24,255.255.255.0
200.26.192.0/19,200.26.192.0,200.26.223.255,19,255.255.224.0
200.61.253.0/24,200.61.253.0,200.61.253.255,24,255.255.255.0
200.115.179.0/24,200.115.179.0,200.115.179.255,24,255.255.255.0
200.124.128.0/19,200.124.128.0,200.124.159.255,19,255.255.224.0
201.131.43.0/24,201.131.43.0,201.131.43.255,24,255.255.255.0
216.152.160.0/20,216.152.160.0,216.152.175.255,20,255.255.240.0
217.78.240.0/20,217.78.240.0,217.78.255.255,20,255.255.240.0
