# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.116.0/22,2.56.116.0,2.56.119.255,22,255.255.252.0,1024
2.56.120.0/21,2.56.120.0,2.56.127.255,21,255.255.248.0,2048
2.56.140.0/22,2.56.140.0,2.56.143.255,22,255.255.252.0,1024
2.56.172.0/22,2.56.172.0,2.56.175.255,22,255.255.252.0,1024
2.56.176.0/22,2.56.176.0,2.56.179.255,22,255.255.252.0,1024
2.56.212.0/22,2.56.212.0,2.56.215.255,22,255.255.252.0,1024
2.57.88.0/22,2.57.88.0,2.57.91.255,22,255.255.252.0,1024
5.42.205.0/24,5.42.205.0,5.42.205.255,24,255.255.255.0,256
5.180.20.0/22,5.180.20.0,5.180.23.255,22,255.255.252.0,1024
5.180.24.0/21,5.180.24.0,5.180.31.255,21,255.255.248.0,2048
5.180.32.0/22,5.180.32.0,5.180.35.255,22,255.255.252.0,1024
5.180.40.0/21,5.180.40.0,5.180.47.255,21,255.255.248.0,2048
5.180.48.0/21,5.180.48.0,5.180.55.255,21,255.255.248.0,2048
5.180.80.0/22,5.180.80.0,5.180.83.255,22,255.255.252.0,1024
5.180.144.0/22,5.180.144.0,5.180.147.255,22,255.255.252.0,1024
5.180.232.0/22,5.180.232.0,5.180.235.255,22,255.255.252.0,1024
5.253.28.0/22,5.253.28.0,5.253.31.255,22,255.255.252.0,1024
5.253.36.0/22,5.253.36.0,5.253.39.255,22,255.255.252.0,1024
5.253.40.0/21,5.253.40.0,5.253.47.255,21,255.255.248.0,2048
31.12.92.0/22,31.12.92.0,31.12.95.255,22,255.255.252.0,1024
31.14.238.0/24,31.14.238.0,31.14.238.255,24,255.255.255.0,256
31.25.224.0/21,31.25.224.0,31.25.231.255,21,255.255.248.0,2048
31.153.0.0/16,31.153.0.0,31.153.255.255,16,255.255.0.0,65536
31.170.160.0/21,31.170.160.0,31.170.167.255,21,255.255.248.0,2048
31.216.64.0/18,31.216.64.0,31.216.127.255,18,255.255.192.0,16384
31.220.16.0/21,31.220.16.0,31.220.23.255,21,255.255.248.0,2048
31.220.48.0/20,31.220.48.0,31.220.63.255,20,255.255.240.0,4096
31.220.104.0/21,31.220.104.0,31.220.111.255,21,255.255.248.0,2048
31.222.64.0/20,31.222.64.0,31.222.79.255,20,255.255.240.0,4096
31.222.229.0/24,31.222.229.0,31.222.229.255,24,255.255.255.0,256
37.9.176.0/21,37.9.176.0,37.9.183.255,21,255.255.248.0,2048
37.140.223.0/24,37.140.223.0,37.140.223.255,24,255.255.255.0,256
37.149.0.0/16,37.149.0.0,37.149.255.255,16,255.255.0.0,65536
45.8.184.0/21,45.8.184.0,45.8.191.255,21,255.255.248.0,2048
45.8.192.0/20,45.8.192.0,45.8.207.255,20,255.255.240.0,4096
45.8.252.0/22,45.8.252.0,45.8.255.255,22,255.255.252.0,1024
45.9.0.0/21,45.9.0.0,45.9.7.255,21,255.255.248.0,2048
45.9.12.0/22,45.9.12.0,45.9.15.255,22,255.255.252.0,1024
45.9.16.0/22,45.9.16.0,45.9.19.255,22,255.255.252.0,1024
45.12.108.0/22,45.12.108.0,45.12.111.255,22,255.255.252.0,1024
45.12.112.0/22,45.12.112.0,45.12.115.255,22,255.255.252.0,1024
45.12.128.0/20,45.12.128.0,45.12.143.255,20,255.255.240.0,4096
45.12.144.0/21,45.12.144.0,45.12.151.255,21,255.255.248.0,2048
45.13.26.0/24,45.13.26.0,45.13.26.255,24,255.255.255.0,256
45.13.132.0/22,45.13.132.0,45.13.135.255,22,255.255.252.0,1024
