# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.59.220.0/22,2.59.220.0,2.59.223.255,22,255.255.252.0,1024
5.1.56.0/21,5.1.56.0,5.1.63.255,21,255.255.248.0,2048
5.39.200.0/22,5.39.200.0,5.39.203.255,22,255.255.252.0,1024
5.43.224.0/21,5.43.224.0,5.43.231.255,21,255.255.248.0,2048
5.45.56.0/21,5.45.56.0,5.45.63.255,21,255.255.248.0,2048
5.53.8.0/21,5.53.8.0,5.53.15.255,21,255.255.248.0,2048
5.57.209.0/24,5.57.209.0,5.57.209.255,24,255.255.255.0,256
5.59.0.0/16,5.59.0.0,5.59.255.255,16,255.255.0.0,65536
5.63.184.0/24,5.63.184.0,5.63.184.255,24,255.255.255.0,256
5.102.48.0/20,5.102.48.0,5.102.63.255,20,255.255.240.0,4096
5.104.16.0/21,5.104.16.0,5.104.23.255,21,255.255.248.0,2048
5.145.104.0/21,5.145.104.0,5.145.111.255,21,255.255.248.0,2048
5.145.144.0/21,5.145.144.0,5.145.151.255,21,255.255.248.0,2048
5.152.132.0/22,5.152.132.0,5.152.135.255,22,255.255.252.0,1024
5.180.102.0/23,5.180.102.0,5.180.103.255,23,255.255.254.0,512
5.180.196.0/22,5.180.196.0,5.180.199.255,22,255.255.252.0,1024
5.180.200.0/22,5.180.200.0,5.180.203.255,22,255.255.252.0,1024
5.181.92.0/22,5.181.92.0,5.181.95.255,22,255.255.252.0,1024
5.181.244.0/22,5.181.244.0,5.181.247.255,22,255.255.252.0,1024
5.182.148.0/22,5.182.148.0,5.182.151.255,22,255.255.252.0,1024
5.183.12.0/22,5.183.12.0,5.183.15.255,22,255.255.252.0,1024
5.187.34.0/24,5.187.34.0,5.187.34.255,24,255.255.255.0,256
5.198.128.0/21,5.198.128.0,5.198.135.255,21,255.255.248.0,2048
5.252.40.0/22,5.252.40.0,5.252.43.255,22,255.255.252.0,1024
31.7.240.0/21,31.7.240.0,31.7.247.255,21,255.255.248.0,2048
31.10.56.0/21,31.10.56.0,31.10.63.255,21,255.255.248.0,2048
31.14.72.0/22,31.14.72.0,31.14.75.255,22,255.255.252.0,1024
31.15.8.0/21,31.15.8.0,31.15.15.255,21,255.255.248.0,2048
31.28.128.0/19,31.28.128.0,31.28.159.255,19,255.255.224.0,8192
31.30.0.0/16,31.30.0.0,31.30.255.255,16,255.255.0.0,65536
31.31.72.0/21,31.31.72.0,31.31.79.255,21,255.255.248.0,2048
31.31.224.0/19,31.31.224.0,31.31.255.255,19,255.255.224.0,8192
31.41.200.0/21,31.41.200.0,31.41.207.255,21,255.255.248.0,2048
31.47.96.0/20,31.47.96.0,31.47.111.255,20,255.255.240.0,4096
31.130.168.0/21,31.130.168.0,31.130.175.255,21,255.255.248.0,2048
31.132.16.0/20,31.132.16.0,31.132.31.255,20,255.255.240.0,4096
31.133.8.0/21,31.133.8.0,31.133.15.255,21,255.255.248.0,2048
31.134.216.0/21,31.134.216.0,31.134.223.255,21,255.255.248.0,2048
31.148.0.0/16,31.148.0.0,31.148.255.255,16,255.255.0.0,65536
31.169.128.0/17,31.169.128.0,31.169.255.255,17,255.255.128.0,32768
31.170.176.0/21,31.170.176.0,31.170.183.255,21,255.255.248.0,2048
31.177.24.0/21,31.177.24.0,31.177.31.255,21,255.255.248.0,2048
31.186.184.0/21,31.186.184.0,31.186.191.255,21,255.255.248.0,2048
31.192.64.0/19,31.192.64.0,31.192.95.255,19,255.255.224.0,8192
31.222.0.0/20,31.222.0.0,31.222.15.255,20,255.255.240.0,4096
37.9.192.0/21,37.9.192.0,37.9.199.255,21,255.255.248.0,2048
37.44.16.0/20,37.44.16.0,37.44.31.255,20,255.255.240.0,4096
37.44.208.0/22,37.44.208.0,37.44.211.255,22,255.255.252.0,1024
37.46.80.0/21,37.46.80.0,37.46.87.255,21,255.255.248.0,2048
37.46.208.0/21,37.46.208.0,37.46.215.255,21,255.255.248.0,2048
37.48.0.0/18,37.48.0.0,37.48.63.255,18,255.255.192.0,16384
37.77.145.0/24,37.77.145.0,37.77.145.255,24,255.255.255.0,256
