# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.56.4.0/22,2.56.4.0,2.56.7.255,22,255.255.252.0,1024
2.59.180.0/22,2.59.180.0,2.59.183.255,22,255.255.252.0,1024
2.59.184.0/22,2.59.184.0,2.59.187.255,22,255.255.252.0,1024
2.104.0.0/13,2.104.0.0,2.111.255.255,13,255.248.0.0,524288
2.128.0.0/14,2.128.0.0,2.131.255.255,14,255.252.0.0,262144
5.33.0.0/16,5.33.0.0,5.33.255.255,16,255.255.0.0,65536
5.44.136.0/21,5.44.136.0,5.44.143.255,21,255.255.248.0,2048
5.56.144.0/20,5.56.144.0,5.56.159.255,20,255.255.240.0,4096
5.57.48.0/21,5.57.48.0,5.57.55.255,21,255.255.248.0,2048
5.63.22.0/24,5.63.22.0,5.63.22.255,24,255.255.255.0,256
5.83.24.0/21,5.83.24.0,5.83.31.255,21,255.255.248.0,2048
5.103.0.0/16,5.103.0.0,5.103.255.255,16,255.255.0.0,65536
5.179.80.0/20,5.179.80.0,5.179.95.255,20,255.255.240.0,4096
5.181.152.0/22,5.181.152.0,5.181.155.255,22,255.255.252.0,1024
5.182.104.0/23,5.182.104.0,5.182.105.255,23,255.255.254.0,512
5.182.128.0/22,5.182.128.0,5.182.131.255,22,255.255.252.0,1024
5.186.0.0/16,5.186.0.0,5.186.255.255,16,255.255.0.0,65536
5.206.192.0/21,5.206.192.0,5.206.199.255,21,255.255.248.0,2048
31.3.72.0/21,31.3.72.0,31.3.79.255,21,255.255.248.0,2048
31.25.16.0/21,31.25.16.0,31.25.23.255,21,255.255.248.0,2048
31.31.80.0/21,31.31.80.0,31.31.87.255,21,255.255.248.0,2048
31.131.188.0/23,31.131.188.0,31.131.189.255,23,255.255.254.0,512
31.185.64.0/19,31.185.64.0,31.185.95.255,19,255.255.224.0,8192
31.193.232.0/21,31.193.232.0,31.193.239.255,21,255.255.248.0,2048
37.28.136.0/21,37.28.136.0,37.28.143.255,21,255.255.248.0,2048
37.28.144.0/21,37.28.144.0,37.28.151.255,21,255.255.248.0,2048
37.35.96.0/21,37.35.96.0,37.35.103.255,21,255.255.248.0,2048
37.44.248.0/22,37.44.248.0,37.44.251.255,22,255.255.252.0,1024
37.49.128.0/20,37.49.128.0,37.49.143.255,20,255.255.240.0,4096
37.60.160.0/21,37.60.160.0,37.60.167.255,21,255.255.248.0,2048
37.75.160.0/19,37.75.160.0,37.75.191.255,19,255.255.224.0,8192
37.96.0.0/16,37.96.0.0,37.96.255.255,16,255.255.0.0,65536
37.97.0.0/18,37.97.0.0,37.97.63.255,18,255.255.192.0,16384
37.122.240.0/21,37.122.240.0,37.122.247.255,21,255.255.248.0,2048
37.128.208.0/20,37.128.208.0,37.128.223.255,20,255.255.240.0,4096
37.140.219.0/24,37.140.219.0,37.140.219.255,24,255.255.255.0,256
37.157.0.0/21,37.157.0.0,37.157.7.255,21,255.255.248.0,2048
37.205.120.0/21,37.205.120.0,37.205.127.255,21,255.255.248.0,2048
45.12.36.0/22,45.12.36.0,45.12.39.255,22,255.255.252.0,1024
45.12.156.0/22,45.12.156.0,45.12.159.255,22,255.255.252.0,1024
45.13.240.0/22,45.13.240.0,45.13.243.255,22,255.255.252.0,1024
45.14.140.0/22,45.14.140.0,45.14.143.255,22,255.255.252.0,1024
45.15.4.0/22,45.15.4.0,45.15.7.255,22,255.255.252.0,1024
45.65.84.0/22,45.65.84.0,45.65.87.255,22,255.255.252.0,1024
45.65.88.0/22,45.65.88.0,45.65.91.255,22,255.255.252.0,1024
45.67.92.0/22,45.67.92.0,45.67.95.255,22,255.255.252.0,1024
45.80.40.0/22,45.80.40.0,45.80.43.255,22,255.255.252.0,1024
45.80.92.0/22,45.80.92.0,45.80.95.255,22,255.255.252.0,1024
45.95.208.0/24,45.95.208.0,45.95.208.255,24,255.255.255.0,256
45.129.167.0/24,45.129.167.0,45.129.167.255,24,255.255.255.0,256
45.129.212.0/22,45.129.212.0,45.129.215.255,22,255.255.252.0,1024
