# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
23.186.240.0/24,23.186.240.0,23.186.240.255,24,255.255.255.0,256
45.9.148.0/22,45.9.148.0,45.9.151.255,22,255.255.252.0,1024
66.118.36.0/22,66.118.36.0,66.118.39.255,22,255.255.252.0,1024
69.12.108.0/22,69.12.108.0,69.12.111.255,22,255.255.252.0,1024
104.153.248.0/22,104.153.248.0,104.153.251.255,22,255.255.252.0,1024
104.245.204.0/22,104.245.204.0,104.245.207.255,22,255.255.252.0,1024
162.213.168.0/22,162.213.168.0,162.213.171.255,22,255.255.252.0,1024
162.253.100.0/22,162.253.100.0,162.253.103.255,22,255.255.252.0,1024
192.243.48.0/20,192.243.48.0,192.243.63.255,20,255.255.240.0,4096
193.169.160.0/23,193.169.160.0,193.169.161.255,23,255.255.254.0,512
198.101.28.0/22,198.101.28.0,198.101.31.255,22,255.255.252.0,1024
199.127.196.0/22,199.127.196.0,199.127.199.255,22,255.255.252.0,1024
206.53.141.0/24,206.53.141.0,206.53.141.255,24,255.255.255.0,256
216.162.201.0/24,216.162.201.0,216.162.201.255,24,255.255.255.0,256
