# CIDR,network(start) address,end address,prefix,subnet mask
24.152.48.0/22,24.152.48.0,24.152.51.255,22,255.255.252.0
45.5.8.0/22,45.5.8.0,45.5.11.255,22,255.255.252.0
45.6.40.0/22,45.6.40.0,45.6.43.255,22,255.255.252.0
45.65.244.0/22,45.65.244.0,45.65.247.255,22,255.255.252.0
45.164.12.0/22,45.164.12.0,45.164.15.255,22,255.255.252.0
45.164.172.0/22,45.164.172.0,45.164.175.255,22,255.255.252.0
45.169.192.0/22,45.169.192.0,45.169.195.255,22,255.255.252.0
45.172.152.0/22,45.172.152.0,45.172.155.255,22,255.255.252.0
45.175.68.0/22,45.175.68.0,45.175.71.255,22,255.255.252.0
45.176.84.0/23,45.176.84.0,45.176.85.255,23,255.255.254.0
45.176.92.0/22,45.176.92.0,45.176.95.255,22,255.255.252.0
45.176.96.0/22,45.176.96.0,45.176.99.255,22,255.255.252.0
45.177.0.0/22,45.177.0.0,45.177.3.255,22,255.255.252.0
45.184.132.0/22,45.184.132.0,45.184.135.255,22,255.255.252.0
45.186.12.0/22,45.186.12.0,45.186.15.255,22,255.255.252.0
45.190.192.0/22,45.190.192.0,45.190.195.255,22,255.255.252.0
45.225.249.0/24,45.225.249.0,45.225.249.255,24,255.255.255.0
45.229.32.0/22,45.229.32.0,45.229.35.255,22,255.255.252.0
45.229.148.0/23,45.229.148.0,45.229.149.255,23,255.255.254.0
45.230.216.0/22,45.230.216.0,45.230.219.255,22,255.255.252.0
45.231.104.0/22,45.231.104.0,45.231.107.255,22,255.255.252.0
45.232.172.0/22,45.232.172.0,45.232.175.255,22,255.255.252.0
45.235.228.0/22,45.235.228.0,45.235.231.255,22,255.255.252.0
45.237.48.0/22,45.237.48.0,45.237.51.255,22,255.255.252.0
64.32.64.0/18,64.32.64.0,64.32.127.255,18,255.255.192.0
66.98.0.0/18,66.98.0.0,66.98.63.255,18,255.255.192.0
66.98.64.0/19,66.98.64.0,66.98.95.255,19,255.255.224.0
103.7.135.0/24,103.7.135.0,103.7.135.255,24,255.255.255.0
