# CIDR,network(start) address,end address,prefix,subnet mask
41.96.0.0/12,41.96.0.0,41.111.255.255,12,255.240.0.0
41.200.0.0/15,41.200.0.0,41.201.255.255,15,255.254.0.0
41.220.144.0/20,41.220.144.0,41.220.159.255,20,255.255.240.0
41.221.16.0/20,41.221.16.0,41.221.31.255,20,255.255.240.0
41.223.236.0/22,41.223.236.0,41.223.239.255,22,255.255.252.0
80.88.12.0/22,80.88.12.0,80.88.15.255,22,255.255.252.0
80.246.0.0/20,80.246.0.0,80.246.15.255,20,255.255.240.0
80.249.64.0/20,80.249.64.0,80.249.79.255,20,255.255.240.0
102.213.56.0/22,102.213.56.0,102.213.59.255,22,255.255.252.0
102.218.188.0/22,102.218.188.0,102.218.191.255,22,255.255.252.0
102.220.28.0/22,102.220.28.0,102.220.31.255,22,255.255.252.0
105.96.0.0/12,105.96.0.0,105.111.255.255,12,255.240.0.0
105.235.128.0/20,105.235.128.0,105.235.143.255,20,255.255.240.0
129.45.0.0/17,129.45.0.0,129.45.127.255,17,255.255.128.0
154.73.92.0/22,154.73.92.0,154.73.95.255,22,255.255.252.0
154.121.0.0/16,154.121.0.0,154.121.255.255,16,255.255.0.0
154.240.0.0/12,154.240.0.0,154.255.255.255,12,255.240.0.0
168.253.96.0/20,168.253.96.0,168.253.111.255,20,255.255.240.0
192.52.232.0/24,192.52.232.0,192.52.232.255,24,255.255.255.0
192.245.148.0/24,192.245.148.0,192.245.148.255,24,255.255.255.0
193.41.146.0/23,193.41.146.0,193.41.147.255,23,255.255.254.0
193.194.64.0/19,193.194.64.0,193.194.95.255,19,255.255.224.0
195.24.80.0/21,195.24.80.0,195.24.87.255,21,255.255.248.0
195.39.218.0/23,195.39.218.0,195.39.219.255,23,255.255.254.0
196.20.64.0/18,196.20.64.0,196.20.127.255,18,255.255.192.0
196.29.40.0/22,196.29.40.0,196.29.43.255,22,255.255.252.0
196.41.224.0/19,196.41.224.0,196.41.255.255,19,255.255.224.0
197.112.0.0/13,197.112.0.0,197.119.255.255,13,255.248.0.0
197.140.0.0/14,197.140.0.0,197.143.255.255,14,255.252.0.0
197.200.0.0/13,197.200.0.0,197.207.255.255,13,255.248.0.0
213.179.160.0/19,213.179.160.0,213.179.191.255,19,255.255.224.0
