# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
27.50.12.0/22,27.50.12.0,27.50.15.255,22,255.255.252.0,1024
45.4.88.0/22,45.4.88.0,45.4.91.255,22,255.255.252.0,1024
45.4.200.0/22,45.4.200.0,45.4.203.255,22,255.255.252.0,1024
45.6.224.0/22,45.6.224.0,45.6.227.255,22,255.255.252.0,1024
45.65.203.0/24,45.65.203.0,45.65.203.255,24,255.255.255.0,256
45.68.96.0/22,45.68.96.0,45.68.99.255,22,255.255.252.0,1024
45.70.12.0/22,45.70.12.0,45.70.15.255,22,255.255.252.0,1024
45.70.56.0/22,45.70.56.0,45.70.59.255,22,255.255.252.0,1024
45.70.196.0/22,45.70.196.0,45.70.199.255,22,255.255.252.0,1024
45.70.200.0/22,45.70.200.0,45.70.203.255,22,255.255.252.0,1024
45.70.236.0/22,45.70.236.0,45.70.239.255,22,255.255.252.0,1024
45.71.0.0/22,45.71.0.0,45.71.3.255,22,255.255.252.0,1024
45.71.36.0/22,45.71.36.0,45.71.39.255,22,255.255.252.0,1024
45.71.112.0/22,45.71.112.0,45.71.115.255,22,255.255.252.0,1024
45.71.184.0/22,45.71.184.0,45.71.187.255,22,255.255.252.0,1024
45.71.200.0/22,45.71.200.0,45.71.203.255,22,255.255.252.0,1024
45.71.252.0/22,45.71.252.0,45.71.255.255,22,255.255.252.0,1024
45.161.32.0/22,45.161.32.0,45.161.35.255,22,255.255.252.0,1024
45.162.72.0/22,45.162.72.0,45.162.75.255,22,255.255.252.0,1024
45.163.204.0/22,45.163.204.0,45.163.207.255,22,255.255.252.0,1024
45.164.64.0/22,45.164.64.0,45.164.67.255,22,255.255.252.0,1024
45.169.144.0/22,45.169.144.0,45.169.147.255,22,255.255.252.0,1024
45.170.44.0/22,45.170.44.0,45.170.47.255,22,255.255.252.0,1024
45.171.108.0/22,45.171.108.0,45.171.111.255,22,255.255.252.0,1024
45.171.120.0/23,45.171.120.0,45.171.121.255,23,255.255.254.0,512
45.171.160.0/22,45.171.160.0,45.171.163.255,22,255.255.252.0,1024
45.173.112.0/22,45.173.112.0,45.173.115.255,22,255.255.252.0,1024
45.173.228.0/22,45.173.228.0,45.173.231.255,22,255.255.252.0,1024
45.175.164.0/22,45.175.164.0,45.175.167.255,22,255.255.252.0,1024
45.177.124.0/22,45.177.124.0,45.177.127.255,22,255.255.252.0,1024
45.178.36.0/22,45.178.36.0,45.178.39.255,22,255.255.252.0,1024
45.179.140.0/22,45.179.140.0,45.179.143.255,22,255.255.252.0,1024
45.180.45.0/24,45.180.45.0,45.180.45.255,24,255.255.255.0,256
45.180.46.0/23,45.180.46.0,45.180.47.255,23,255.255.254.0,512
45.180.124.0/22,45.180.124.0,45.180.127.255,22,255.255.252.0,1024
45.180.140.0/22,45.180.140.0,45.180.143.255,22,255.255.252.0,1024
45.182.117.0/24,45.182.117.0,45.182.117.255,24,255.255.255.0,256
45.182.118.0/23,45.182.118.0,45.182.119.255,23,255.255.254.0,512
45.183.100.0/22,45.183.100.0,45.183.103.255,22,255.255.252.0,1024
45.183.136.0/21,45.183.136.0,45.183.143.255,21,255.255.248.0,2048
