# CIDR,network(start) address,end address,prefix,subnet mask
2.57.220.0/22,2.57.220.0,2.57.223.255,22,255.255.252.0
2.59.164.0/22,2.59.164.0,2.59.167.255,22,255.255.252.0
5.42.221.0/24,5.42.221.0,5.42.221.255,24,255.255.255.0
5.44.184.0/21,5.44.184.0,5.44.191.255,21,255.255.248.0
5.45.112.0/20,5.45.112.0,5.45.127.255,20,255.255.240.0
5.101.112.0/20,5.101.112.0,5.101.127.255,20,255.255.240.0
5.101.176.0/20,5.101.176.0,5.101.191.255,20,255.255.240.0
5.154.181.0/24,5.154.181.0,5.154.181.255,24,255.255.255.0
5.188.16.0/21,5.188.16.0,5.188.23.255,21,255.255.248.0
5.188.24.0/22,5.188.24.0,5.188.27.255,22,255.255.252.0
5.253.176.0/22,5.253.176.0,5.253.179.255,22,255.255.252.0
31.24.56.0/21,31.24.56.0,31.24.63.255,21,255.255.248.0
37.0.24.0/21,37.0.24.0,37.0.31.255,21,255.255.248.0
37.143.64.0/21,37.143.64.0,37.143.71.255,21,255.255.248.0
37.157.64.0/18,37.157.64.0,37.157.127.255,18,255.255.192.0
45.67.128.0/22,45.67.128.0,45.67.131.255,22,255.255.252.0
45.80.110.0/24,45.80.110.0,45.80.110.255,24,255.255.255.0
45.83.52.0/22,45.83.52.0,45.83.55.255,22,255.255.252.0
45.83.72.0/22,45.83.72.0,45.83.75.255,22,255.255.252.0
45.83.192.0/22,45.83.192.0,45.83.195.255,22,255.255.252.0
45.92.100.0/22,45.92.100.0,45.92.103.255,22,255.255.252.0
45.128.132.0/22,45.128.132.0,45.128.135.255,22,255.255.252.0
45.129.0.0/24,45.129.0.0,45.129.0.255,24,255.255.255.0
45.129.52.0/22,45.129.52.0,45.129.55.255,22,255.255.252.0
45.129.96.0/22,45.129.96.0,45.129.99.255,22,255.255.252.0
45.131.164.0/22,45.131.164.0,45.131.167.255,22,255.255.252.0
45.132.64.0/22,45.132.64.0,45.132.67.255,22,255.255.252.0
45.132.188.0/22,45.132.188.0,45.132.191.255,22,255.255.252.0
45.139.40.0/22,45.139.40.0,45.139.43.255,22,255.255.252.0
45.140.48.0/22,45.140.48.0,45.140.51.255,22,255.255.252.0
45.141.216.0/22,45.141.216.0,45.141.219.255,22,255.255.252.0
45.142.100.0/22,45.142.100.0,45.142.103.255,22,255.255.252.0
45.144.4.0/22,45.144.4.0,45.144.7.255,22,255.255.252.0
45.146.76.0/22,45.146.76.0,45.146.79.255,22,255.255.252.0
45.146.116.0/22,45.146.116.0,45.146.119.255,22,255.255.252.0
45.156.32.0/22,45.156.32.0,45.156.35.255,22,255.255.252.0
45.157.192.0/22,45.157.192.0,45.157.195.255,22,255.255.252.0
45.158.52.0/22,45.158.52.0,45.158.55.255,22,255.255.252.0
45.159.188.0/22,45.159.188.0,45.159.191.255,22,255.255.252.0
46.16.112.0/21,46.16.112.0,46.16.119.255,21,255.255.248.0
46.22.208.0/20,46.22.208.0,46.22.223.255,20,255.255.240.0
46.36.216.0/21,46.36.216.0,46.36.223.255,21,255.255.248.0
46.39.128.0/19,46.39.128.0,46.39.159.255,19,255.255.224.0
46.131.0.0/16,46.131.0.0,46.131.255.255,16,255.255.0.0
46.226.136.0/21,46.226.136.0,46.226.143.255,21,255.255.248.0
62.3.15.0/24,62.3.15.0,62.3.15.255,24,255.255.255.0
62.65.32.0/19,62.65.32.0,62.65.63.255,19,255.255.224.0
62.65.192.0/18,62.65.192.0,62.65.255.255,18,255.255.192.0
62.106.75.0/24,62.106.75.0,62.106.75.255,24,255.255.255.0
62.192.154.0/24,62.192.154.0,62.192.154.255,24,255.255.255.0
77.75.225.0/24,77.75.225.0,77.75.225.255,24,255.255.255.0
77.240.240.0/22,77.240.240.0,77.240.243.255,22,255.255.252.0
78.24.48.0/21,78.24.48.0,78.24.55.255,21,255.255.248.0
78.24.192.0/21,78.24.192.0,78.24.199.255,21,255.255.248.0
78.40.223.0/24,78.40.223.0,78.40.223.255,24,255.255.255.0
78.110.32.0/20,78.110.32.0,78.110.47.255,20,255.255.240.0
79.110.231.0/24,79.110.231.0,79.110.231.255,24,255.255.255.0
80.66.240.0/20,80.66.240.0,80.66.255.255,20,255.255.240.0
