# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.32.0.0/12,41.32.0.0,41.47.255.255,12,255.240.0.0,1048576
41.64.0.0/15,41.64.0.0,41.65.255.255,15,255.254.0.0,131072
41.68.0.0/15,41.68.0.0,41.69.255.255,15,255.254.0.0,131072
41.77.136.0/21,41.77.136.0,41.77.143.255,21,255.255.248.0,2048
41.78.20.0/22,41.78.20.0,41.78.23.255,22,255.255.252.0,1024
41.78.148.0/22,41.78.148.0,41.78.151.255,22,255.255.252.0,1024
41.79.208.0/22,41.79.208.0,41.79.211.255,22,255.255.252.0,1024
41.91.0.0/16,41.91.0.0,41.91.255.255,16,255.255.0.0,65536
41.128.0.0/14,41.128.0.0,41.131.255.255,14,255.252.0.0,262144
41.152.0.0/15,41.152.0.0,41.153.255.255,15,255.254.0.0,131072
41.155.128.0/17,41.155.128.0,41.155.255.255,17,255.255.128.0,32768
41.176.0.0/16,41.176.0.0,41.176.255.255,16,255.255.0.0,65536
41.178.0.0/15,41.178.0.0,41.179.255.255,15,255.254.0.0,131072
41.187.0.0/16,41.187.0.0,41.187.255.255,16,255.255.0.0,65536
41.190.248.0/22,41.190.248.0,41.190.251.255,22,255.255.252.0,1024
41.191.80.0/22,41.191.80.0,41.191.83.255,22,255.255.252.0,1024
41.196.0.0/16,41.196.0.0,41.196.255.255,16,255.255.0.0,65536
41.199.0.0/16,41.199.0.0,41.199.255.255,16,255.255.0.0,65536
41.205.96.0/19,41.205.96.0,41.205.127.255,19,255.255.224.0,8192
41.206.128.0/19,41.206.128.0,41.206.159.255,19,255.255.224.0,8192
41.215.240.0/22,41.215.240.0,41.215.243.255,22,255.255.252.0,1024
41.217.224.0/21,41.217.224.0,41.217.231.255,21,255.255.248.0,2048
41.218.128.0/18,41.218.128.0,41.218.191.255,18,255.255.192.0,16384
41.222.128.0/21,41.222.128.0,41.222.135.255,21,255.255.248.0,2048
41.222.168.0/21,41.222.168.0,41.222.175.255,21,255.255.248.0,2048
41.223.20.0/22,41.223.20.0,41.223.23.255,22,255.255.252.0,1024
41.223.52.0/22,41.223.52.0,41.223.55.255,22,255.255.252.0,1024
41.223.196.0/22,41.223.196.0,41.223.199.255,22,255.255.252.0,1024
41.223.240.0/22,41.223.240.0,41.223.243.255,22,255.255.252.0,1024
41.232.0.0/13,41.232.0.0,41.239.255.255,13,255.248.0.0,524288
45.96.0.0/12,45.96.0.0,45.111.255.255,12,255.240.0.0,1048576
45.240.0.0/13,45.240.0.0,45.247.255.255,13,255.248.0.0,524288
62.12.120.0/21,62.12.120.0,62.12.127.255,21,255.255.248.0,2048
62.68.224.0/19,62.68.224.0,62.68.255.255,19,255.255.224.0,8192
62.114.0.0/16,62.114.0.0,62.114.255.255,16,255.255.0.0,65536
62.117.32.0/19,62.117.32.0,62.117.63.255,19,255.255.224.0,8192
62.135.0.0/17,62.135.0.0,62.135.127.255,17,255.255.128.0,32768
62.139.0.0/16,62.139.0.0,62.139.255.255,16,255.255.0.0,65536
62.140.64.0/18,62.140.64.0,62.140.127.255,18,255.255.192.0,16384
62.193.64.0/18,62.193.64.0,62.193.127.255,18,255.255.192.0,16384
62.240.96.0/19,62.240.96.0,62.240.127.255,19,255.255.224.0,8192
62.241.128.0/19,62.241.128.0,62.241.159.255,19,255.255.224.0,8192
80.75.160.0/19,80.75.160.0,80.75.191.255,19,255.255.224.0,8192
81.10.0.0/17,81.10.0.0,81.10.127.255,17,255.255.128.0,32768
81.21.96.0/20,81.21.96.0,81.21.111.255,20,255.255.240.0,4096
81.29.96.0/20,81.29.96.0,81.29.111.255,20,255.255.240.0,4096
82.129.128.0/17,82.129.128.0,82.129.255.255,17,255.255.128.0,32768
82.201.128.0/17,82.201.128.0,82.201.255.255,17,255.255.128.0,32768
84.36.0.0/16,84.36.0.0,84.36.255.255,16,255.255.0.0,65536
84.205.96.0/19,84.205.96.0,84.205.127.255,19,255.255.224.0,8192
