# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
102.208.96.0/22,102.208.96.0,102.208.99.255,22,255.255.252.0,1024
102.208.136.0/22,102.208.136.0,102.208.139.255,22,255.255.252.0,1024
102.211.105.0/24,102.211.105.0,102.211.105.255,24,255.255.255.0,256
102.212.10.0/24,102.212.10.0,102.212.10.255,24,255.255.255.0,256
102.212.68.0/22,102.212.68.0,102.212.71.255,22,255.255.252.0,1024
102.213.68.0/22,102.213.68.0,102.213.71.255,22,255.255.252.0,1024
102.218.0.0/22,102.218.0.0,102.218.3.255,22,255.255.252.0,1024
102.218.48.0/22,102.218.48.0,102.218.51.255,22,255.255.252.0,1024
164.160.184.0/22,164.160.184.0,164.160.187.255,22,255.255.252.0,1024
196.49.98.0/24,196.49.98.0,196.49.98.255,24,255.255.255.0,256
196.60.116.0/24,196.60.116.0,196.60.116.255,24,255.255.255.0,256
196.188.0.0/14,196.188.0.0,196.191.255.255,14,255.252.0.0,262144
197.154.0.0/16,197.154.0.0,197.154.255.255,16,255.255.0.0,65536
197.156.64.0/18,197.156.64.0,197.156.127.255,18,255.255.192.0,16384
213.55.64.0/18,213.55.64.0,213.55.127.255,18,255.255.192.0,16384
