# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.58.88.0/22,2.58.88.0,2.58.91.255,22,255.255.252.0,1024
2.58.220.0/22,2.58.220.0,2.58.223.255,22,255.255.252.0,1024
5.22.208.0/20,5.22.208.0,5.22.223.255,20,255.255.240.0,4096
5.44.240.0/21,5.44.240.0,5.44.247.255,21,255.255.248.0,2048
5.61.88.0/21,5.61.88.0,5.61.95.255,21,255.255.248.0,2048
5.83.56.0/21,5.83.56.0,5.83.63.255,21,255.255.248.0,2048
5.133.104.0/22,5.133.104.0,5.133.107.255,22,255.255.252.0,1024
5.180.72.0/22,5.180.72.0,5.180.75.255,22,255.255.252.0,1024
5.250.160.0/21,5.250.160.0,5.250.167.255,21,255.255.248.0,2048
5.253.72.0/22,5.253.72.0,5.253.75.255,22,255.255.252.0,1024
31.7.16.0/20,31.7.16.0,31.7.31.255,20,255.255.240.0,4096
31.15.120.0/21,31.15.120.0,31.15.127.255,21,255.255.248.0,2048
31.25.144.0/21,31.25.144.0,31.25.151.255,21,255.255.248.0,2048
31.47.64.0/21,31.47.64.0,31.47.71.255,21,255.255.248.0,2048
31.132.12.0/22,31.132.12.0,31.132.15.255,22,255.255.252.0,1024
31.172.152.0/21,31.172.152.0,31.172.159.255,21,255.255.248.0,2048
31.187.84.0/22,31.187.84.0,31.187.87.255,22,255.255.252.0,1024
31.217.192.0/21,31.217.192.0,31.217.199.255,21,255.255.248.0,2048
37.1.184.0/21,37.1.184.0,37.1.191.255,21,255.255.248.0,2048
37.16.96.0/19,37.16.96.0,37.16.127.255,19,255.255.224.0,8192
37.19.16.0/21,37.19.16.0,37.19.23.255,21,255.255.248.0,2048
37.33.0.0/16,37.33.0.0,37.33.255.255,16,255.255.0.0,65536
37.35.16.0/20,37.35.16.0,37.35.31.255,20,255.255.240.0,4096
37.35.80.0/21,37.35.80.0,37.35.87.255,21,255.255.248.0,2048
37.44.48.0/21,37.44.48.0,37.44.55.255,21,255.255.248.0,2048
37.98.128.0/20,37.98.128.0,37.98.143.255,20,255.255.240.0,4096
37.114.80.0/21,37.114.80.0,37.114.87.255,21,255.255.248.0,2048
37.130.160.0/19,37.130.160.0,37.130.191.255,19,255.255.224.0,8192
37.136.0.0/16,37.136.0.0,37.136.255.255,16,255.255.0.0,65536
37.153.133.0/24,37.153.133.0,37.153.133.255,24,255.255.255.0,256
37.219.0.0/16,37.219.0.0,37.219.255.255,16,255.255.0.0,65536
37.233.88.0/21,37.233.88.0,37.233.95.255,21,255.255.248.0,2048
45.8.52.0/22,45.8.52.0,45.8.55.255,22,255.255.252.0,1024
45.8.128.0/22,45.8.128.0,45.8.131.255,22,255.255.252.0,1024
45.8.168.0/22,45.8.168.0,45.8.171.255,22,255.255.252.0,1024
45.11.84.0/22,45.11.84.0,45.11.87.255,22,255.255.252.0,1024
45.13.60.0/22,45.13.60.0,45.13.63.255,22,255.255.252.0,1024
45.14.40.0/22,45.14.40.0,45.14.43.255,22,255.255.252.0,1024
45.14.200.0/22,45.14.200.0,45.14.203.255,22,255.255.252.0,1024
