# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
27.123.128.0/18,27.123.128.0,27.123.191.255,18,255.255.192.0,16384
45.112.224.0/22,45.112.224.0,45.112.227.255,22,255.255.252.0,1024
45.117.240.0/21,45.117.240.0,45.117.247.255,21,255.255.248.0,2048
103.1.180.0/22,103.1.180.0,103.1.183.255,22,255.255.252.0,1024
103.52.88.0/22,103.52.88.0,103.52.91.255,22,255.255.252.0,1024
103.58.20.0/22,103.58.20.0,103.58.23.255,22,255.255.252.0,1024
103.71.204.0/24,103.71.204.0,103.71.204.255,24,255.255.255.0,256
103.76.157.0/24,103.76.157.0,103.76.157.255,24,255.255.255.0,256
103.77.225.0/24,103.77.225.0,103.77.225.255,24,255.255.255.0,256
103.99.43.0/24,103.99.43.0,103.99.43.255,24,255.255.255.0,256
103.101.240.0/22,103.101.240.0,103.101.243.255,22,255.255.252.0,1024
103.116.156.0/24,103.116.156.0,103.116.156.255,24,255.255.255.0,256
103.137.129.0/24,103.137.129.0,103.137.129.255,24,255.255.255.0,256
103.147.194.0/23,103.147.194.0,103.147.195.255,23,255.255.254.0,512
103.148.54.0/23,103.148.54.0,103.148.55.255,23,255.255.254.0,512
103.178.195.0/24,103.178.195.0,103.178.195.255,24,255.255.255.0,256
103.244.228.0/22,103.244.228.0,103.244.231.255,22,255.255.252.0,1024
110.35.88.0/21,110.35.88.0,110.35.95.255,21,255.255.248.0,2048
113.20.64.0/19,113.20.64.0,113.20.95.255,19,255.255.224.0,8192
119.235.64.0/19,119.235.64.0,119.235.95.255,19,255.255.224.0,8192
119.235.96.0/21,119.235.96.0,119.235.103.255,21,255.255.248.0,2048
124.108.24.0/21,124.108.24.0,124.108.31.255,21,255.255.248.0,2048
144.120.0.0/16,144.120.0.0,144.120.255.255,16,255.255.0.0,65536
183.81.128.0/20,183.81.128.0,183.81.143.255,20,255.255.240.0,4096
202.62.6.0/23,202.62.6.0,202.62.7.255,23,255.255.254.0,512
202.62.118.0/23,202.62.118.0,202.62.119.255,23,255.255.254.0,512
202.62.120.0/21,202.62.120.0,202.62.127.255,21,255.255.248.0,2048
202.129.228.0/22,202.129.228.0,202.129.231.255,22,255.255.252.0,1024
202.137.176.0/21,202.137.176.0,202.137.183.255,21,255.255.248.0,2048
202.151.16.0/20,202.151.16.0,202.151.31.255,20,255.255.240.0,4096
202.170.32.0/20,202.170.32.0,202.170.47.255,20,255.255.240.0,4096
203.83.251.0/24,203.83.251.0,203.83.251.255,24,255.255.255.0,256
203.119.51.0/24,203.119.51.0,203.119.51.255,24,255.255.255.0,256
203.202.235.0/24,203.202.235.0,203.202.235.255,24,255.255.255.0,256
210.7.0.0/19,210.7.0.0,210.7.31.255,19,255.255.224.0,8192
