# CIDR,network(start) address,end address,prefix,subnet mask
46.227.112.0/21,46.227.112.0,46.227.119.255,21,255.255.248.0
80.77.128.0/20,80.77.128.0,80.77.143.255,20,255.255.240.0
81.18.224.0/20,81.18.224.0,81.18.239.255,20,255.255.240.0
81.25.176.0/20,81.25.176.0,81.25.191.255,20,255.255.240.0
88.85.32.0/19,88.85.32.0,88.85.63.255,19,255.255.224.0
178.19.192.0/20,178.19.192.0,178.19.207.255,20,255.255.240.0
185.74.208.0/22,185.74.208.0,185.74.211.255,22,255.255.252.0
185.88.228.0/22,185.88.228.0,185.88.231.255,22,255.255.252.0
185.171.172.0/22,185.171.172.0,185.171.175.255,22,255.255.252.0
193.34.104.0/22,193.34.104.0,193.34.107.255,22,255.255.252.0
195.80.36.0/22,195.80.36.0,195.80.39.255,22,255.255.252.0
198.137.136.0/22,198.137.136.0,198.137.139.255,22,255.255.252.0
212.55.32.0/19,212.55.32.0,212.55.63.255,19,255.255.224.0
217.172.80.0/20,217.172.80.0,217.172.95.255,20,255.255.240.0
