# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
1.179.112.0/20,1.179.112.0,1.179.127.255,20,255.255.240.0,4096
2.3.0.0/16,2.3.0.0,2.3.255.255,16,255.255.0.0,65536
2.4.0.0/14,2.4.0.0,2.7.255.255,14,255.252.0.0,262144
2.8.0.0/13,2.8.0.0,2.15.255.255,13,255.248.0.0,524288
2.56.80.0/22,2.56.80.0,2.56.83.255,22,255.255.252.0,1024
2.56.156.0/22,2.56.156.0,2.56.159.255,22,255.255.252.0,1024
2.57.72.0/22,2.57.72.0,2.57.75.255,22,255.255.252.0,1024
2.57.140.0/22,2.57.140.0,2.57.143.255,22,255.255.252.0,1024
2.58.116.0/22,2.58.116.0,2.58.119.255,22,255.255.252.0,1024
2.58.120.0/22,2.58.120.0,2.58.123.255,22,255.255.252.0,1024
2.59.68.0/22,2.59.68.0,2.59.71.255,22,255.255.252.0,1024
2.59.72.0/22,2.59.72.0,2.59.75.255,22,255.255.252.0,1024
2.59.144.0/22,2.59.144.0,2.59.147.255,22,255.255.252.0,1024
2.59.188.0/22,2.59.188.0,2.59.191.255,22,255.255.252.0,1024
2.59.236.0/22,2.59.236.0,2.59.239.255,22,255.255.252.0,1024
5.8.249.0/24,5.8.249.0,5.8.249.255,24,255.255.255.0,256
5.10.128.0/21,5.10.128.0,5.10.135.255,21,255.255.248.0,2048
5.11.56.0/22,5.11.56.0,5.11.59.255,22,255.255.252.0,1024
5.23.40.0/21,5.23.40.0,5.23.47.255,21,255.255.248.0,2048
5.39.0.0/17,5.39.0.0,5.39.127.255,17,255.255.128.0,32768
5.39.224.0/20,5.39.224.0,5.39.239.255,20,255.255.240.0,4096
5.42.152.0/21,5.42.152.0,5.42.159.255,21,255.255.248.0,2048
5.42.193.0/24,5.42.193.0,5.42.193.255,24,255.255.255.0,256
5.42.197.0/24,5.42.197.0,5.42.197.255,24,255.255.255.0,256
5.42.200.0/24,5.42.200.0,5.42.200.255,24,255.255.255.0,256
5.44.160.0/21,5.44.160.0,5.44.167.255,21,255.255.248.0,2048
5.45.40.0/22,5.45.40.0,5.45.43.255,22,255.255.252.0,1024
5.48.0.0/14,5.48.0.0,5.51.255.255,14,255.252.0.0,262144
5.56.40.0/21,5.56.40.0,5.56.47.255,21,255.255.248.0,2048
5.61.212.0/22,5.61.212.0,5.61.215.255,22,255.255.252.0,1024
5.63.24.0/21,5.63.24.0,5.63.31.255,21,255.255.248.0,2048
5.83.232.0/21,5.83.232.0,5.83.239.255,21,255.255.248.0,2048
5.100.144.0/21,5.100.144.0,5.100.151.255,21,255.255.248.0,2048
5.104.96.0/21,5.104.96.0,5.104.103.255,21,255.255.248.0,2048
5.104.192.0/21,5.104.192.0,5.104.199.255,21,255.255.248.0,2048
5.133.68.0/22,5.133.68.0,5.133.71.255,22,255.255.252.0,1024
5.133.113.0/24,5.133.113.0,5.133.113.255,24,255.255.255.0,256
5.134.96.0/21,5.134.96.0,5.134.103.255,21,255.255.248.0,2048
5.135.0.0/16,5.135.0.0,5.135.255.255,16,255.255.0.0,65536
5.144.136.0/21,5.144.136.0,5.144.143.255,21,255.255.248.0,2048
5.149.176.0/20,5.149.176.0,5.149.191.255,20,255.255.240.0,4096
5.158.200.0/21,5.158.200.0,5.158.207.255,21,255.255.248.0,2048
5.158.240.0/20,5.158.240.0,5.158.255.255,20,255.255.240.0,4096
5.179.120.0/21,5.179.120.0,5.179.127.255,21,255.255.248.0,2048
5.179.192.0/21,5.179.192.0,5.179.199.255,21,255.255.248.0,2048
5.180.56.0/22,5.180.56.0,5.180.59.255,22,255.255.252.0,1024
5.181.53.0/24,5.181.53.0,5.181.53.255,24,255.255.255.0,256
5.181.172.0/22,5.181.172.0,5.181.175.255,22,255.255.252.0,1024
5.182.136.0/22,5.182.136.0,5.182.139.255,22,255.255.252.0,1024
5.182.144.0/22,5.182.144.0,5.182.147.255,22,255.255.252.0,1024
5.182.156.0/22,5.182.156.0,5.182.159.255,22,255.255.252.0,1024
5.182.168.0/22,5.182.168.0,5.182.171.255,22,255.255.252.0,1024
5.182.212.0/22,5.182.212.0,5.182.215.255,22,255.255.252.0,1024
5.182.252.0/22,5.182.252.0,5.182.255.255,22,255.255.252.0,1024
5.183.16.0/22,5.183.16.0,5.183.19.255,22,255.255.252.0,1024
5.183.104.0/22,5.183.104.0,5.183.107.255,22,255.255.252.0,1024
5.183.124.0/22,5.183.124.0,5.183.127.255,22,255.255.252.0,1024
5.183.212.0/22,5.183.212.0,5.183.215.255,22,255.255.252.0,1024
5.183.248.0/22,5.183.248.0,5.183.251.255,22,255.255.252.0,1024
5.196.0.0/16,5.196.0.0,5.196.255.255,16,255.255.0.0,65536
5.198.192.0/19,5.198.192.0,5.198.223.255,19,255.255.224.0,8192
5.226.0.0/20,5.226.0.0,5.226.15.255,20,255.255.240.0,4096
5.252.56.0/21,5.252.56.0,5.252.63.255,21,255.255.248.0,2048
5.252.88.0/22,5.252.88.0,5.252.91.255,22,255.255.252.0,1024
5.252.112.0/22,5.252.112.0,5.252.115.255,22,255.255.252.0,1024
5.252.144.0/21,5.252.144.0,5.252.151.255,21,255.255.248.0,2048
5.253.132.0/22,5.253.132.0,5.253.135.255,22,255.255.252.0,1024
5.253.152.0/22,5.253.152.0,5.253.155.255,22,255.255.252.0,1024
23.90.192.0/18,23.90.192.0,23.90.255.255,18,255.255.192.0,16384
23.136.248.0/24,23.136.248.0,23.136.248.255,24,255.255.255.0,256
23.174.120.0/24,23.174.120.0,23.174.120.255,24,255.255.255.0,256
24.230.0.0/19,24.230.0.0,24.230.31.255,19,255.255.224.0,8192
31.3.136.0/21,31.3.136.0,31.3.143.255,21,255.255.248.0,2048
31.7.248.0/21,31.7.248.0,31.7.255.255,21,255.255.248.0,2048
31.11.40.0/21,31.11.40.0,31.11.47.255,21,255.255.248.0,2048
31.14.0.0/21,31.14.0.0,31.14.7.255,21,255.255.248.0,2048
31.14.68.0/22,31.14.68.0,31.14.71.255,22,255.255.252.0,1024
31.15.24.0/21,31.15.24.0,31.15.31.255,21,255.255.248.0,2048
31.24.80.0/24,31.24.80.0,31.24.80.255,24,255.255.255.0,256
31.24.240.0/21,31.24.240.0,31.24.247.255,21,255.255.248.0,2048
31.24.248.0/24,31.24.248.0,31.24.248.255,24,255.255.255.0,256
31.29.96.0/19,31.29.96.0,31.29.127.255,19,255.255.224.0,8192
31.32.0.0/13,31.32.0.0,31.39.255.255,13,255.248.0.0,524288
31.41.36.0/23,31.41.36.0,31.41.37.255,23,255.255.254.0,512
31.42.116.0/22,31.42.116.0,31.42.119.255,22,255.255.252.0,1024
31.43.174.0/23,31.43.174.0,31.43.175.255,23,255.255.254.0,512
31.43.184.0/24,31.43.184.0,31.43.184.255,24,255.255.255.0,256
31.43.186.0/23,31.43.186.0,31.43.187.255,23,255.255.254.0,512
31.44.208.0/20,31.44.208.0,31.44.223.255,20,255.255.240.0,4096
31.169.40.0/21,31.169.40.0,31.169.47.255,21,255.255.248.0,2048
31.170.8.0/21,31.170.8.0,31.170.15.255,21,255.255.248.0,2048
31.172.160.0/21,31.172.160.0,31.172.167.255,21,255.255.248.0,2048
31.172.172.0/22,31.172.172.0,31.172.175.255,22,255.255.252.0,1024
31.172.228.0/22,31.172.228.0,31.172.231.255,22,255.255.252.0,1024
31.172.232.0/21,31.172.232.0,31.172.239.255,21,255.255.248.0,2048
31.177.0.0/21,31.177.0.0,31.177.7.255,21,255.255.248.0,2048
31.193.48.0/21,31.193.48.0,31.193.55.255,21,255.255.248.0,2048
31.193.240.0/21,31.193.240.0,31.193.247.255,21,255.255.248.0,2048
31.204.80.0/21,31.204.80.0,31.204.87.255,21,255.255.248.0,2048
31.207.32.0/21,31.207.32.0,31.207.39.255,21,255.255.248.0,2048
31.210.0.0/21,31.210.0.0,31.210.7.255,21,255.255.248.0,2048
31.216.16.0/20,31.216.16.0,31.216.31.255,20,255.255.240.0,4096
31.216.61.0/24,31.216.61.0,31.216.61.255,24,255.255.255.0,256
31.217.128.0/19,31.217.128.0,31.217.159.255,19,255.255.224.0,8192
31.217.232.0/21,31.217.232.0,31.217.239.255,21,255.255.248.0,2048
31.222.192.0/21,31.222.192.0,31.222.199.255,21,255.255.248.0,2048
31.223.190.0/24,31.223.190.0,31.223.190.255,24,255.255.255.0,256
37.0.72.0/21,37.0.72.0,37.0.79.255,21,255.255.248.0,2048
37.1.168.0/21,37.1.168.0,37.1.175.255,21,255.255.248.0,2048
37.1.232.0/21,37.1.232.0,37.1.239.255,21,255.255.248.0,2048
37.1.240.0/20,37.1.240.0,37.1.255.255,20,255.255.240.0,4096
37.8.160.0/19,37.8.160.0,37.8.191.255,19,255.255.224.0,8192
37.9.136.0/21,37.9.136.0,37.9.143.255,21,255.255.248.0,2048
37.16.78.0/24,37.16.78.0,37.16.78.255,24,255.255.255.0,256
37.18.42.0/23,37.18.42.0,37.18.43.255,23,255.255.254.0,512
37.18.160.0/20,37.18.160.0,37.18.175.255,20,255.255.240.0,4096
37.19.128.0/18,37.19.128.0,37.19.191.255,18,255.255.192.0,16384
37.25.40.0/22,37.25.40.0,37.25.43.255,22,255.255.252.0,1024
37.25.56.0/21,37.25.56.0,37.25.63.255,21,255.255.248.0,2048
37.25.72.0/21,37.25.72.0,37.25.79.255,21,255.255.248.0,2048
37.26.176.0/20,37.26.176.0,37.26.191.255,20,255.255.240.0,4096
37.26.240.0/21,37.26.240.0,37.26.247.255,21,255.255.248.0,2048
37.32.56.0/21,37.32.56.0,37.32.63.255,21,255.255.248.0,2048
37.35.0.0/21,37.35.0.0,37.35.7.255,21,255.255.248.0,2048
37.44.236.0/22,37.44.236.0,37.44.239.255,22,255.255.252.0,1024
37.49.232.0/21,37.49.232.0,37.49.239.255,21,255.255.248.0,2048
37.58.128.0/17,37.58.128.0,37.58.255.255,17,255.255.128.0,32768
37.59.0.0/16,37.59.0.0,37.59.255.255,16,255.255.0.0,65536
37.60.8.0/21,37.60.8.0,37.60.15.255,21,255.255.248.0,2048
37.60.48.0/20,37.60.48.0,37.60.63.255,20,255.255.240.0,4096
37.60.152.0/21,37.60.152.0,37.60.159.255,21,255.255.248.0,2048
37.60.184.0/21,37.60.184.0,37.60.191.255,21,255.255.248.0,2048
37.61.240.0/21,37.61.240.0,37.61.247.255,21,255.255.248.0,2048
37.64.0.0/13,37.64.0.0,37.71.255.255,13,255.248.0.0,524288
37.72.137.0/24,37.72.137.0,37.72.137.255,24,255.255.255.0,256
37.72.192.0/18,37.72.192.0,37.72.255.255,18,255.255.192.0,16384
37.77.32.0/20,37.77.32.0,37.77.47.255,20,255.255.240.0,4096
37.97.64.0/19,37.97.64.0,37.97.95.255,19,255.255.224.0,8192
37.97.96.0/20,37.97.96.0,37.97.111.255,20,255.255.240.0,4096
37.110.192.0/21,37.110.192.0,37.110.199.255,21,255.255.248.0,2048
37.114.64.0/21,37.114.64.0,37.114.71.255,21,255.255.248.0,2048
37.122.200.0/21,37.122.200.0,37.122.207.255,21,255.255.248.0,2048
37.139.120.0/21,37.139.120.0,37.139.127.255,21,255.255.248.0,2048
37.140.224.0/21,37.140.224.0,37.140.231.255,21,255.255.248.0,2048
37.143.52.0/22,37.143.52.0,37.143.55.255,22,255.255.252.0,1024
37.148.240.0/21,37.148.240.0,37.148.247.255,21,255.255.248.0,2048
37.148.252.0/22,37.148.252.0,37.148.255.255,22,255.255.252.0,1024
37.153.140.0/22,37.153.140.0,37.153.143.255,22,255.255.252.0,1024
37.153.152.0/22,37.153.152.0,37.153.155.255,22,255.255.252.0,1024
37.156.226.0/24,37.156.226.0,37.156.226.255,24,255.255.255.0,256
37.157.8.0/21,37.157.8.0,37.157.15.255,21,255.255.248.0,2048
37.157.56.0/21,37.157.56.0,37.157.63.255,21,255.255.248.0,2048
37.157.128.0/21,37.157.128.0,37.157.135.255,21,255.255.248.0,2048
37.157.224.0/21,37.157.224.0,37.157.231.255,21,255.255.248.0,2048
37.160.0.0/12,37.160.0.0,37.175.255.255,12,255.240.0.0,1048576
37.187.0.0/16,37.187.0.0,37.187.255.255,16,255.255.0.0,65536
37.188.88.0/21,37.188.88.0,37.188.95.255,21,255.255.248.0,2048
37.205.40.0/21,37.205.40.0,37.205.47.255,21,255.255.248.0,2048
37.208.48.0/21,37.208.48.0,37.208.55.255,21,255.255.248.0,2048
37.220.48.0/20,37.220.48.0,37.220.63.255,20,255.255.240.0,4096
37.221.84.0/22,37.221.84.0,37.221.87.255,22,255.255.252.0,1024
37.235.88.0/21,37.235.88.0,37.235.95.255,21,255.255.248.0,2048
37.252.200.0/21,37.252.200.0,37.252.207.255,21,255.255.248.0,2048
45.8.232.0/22,45.8.232.0,45.8.235.255,22,255.255.252.0,1024
45.9.104.0/22,45.9.104.0,45.9.107.255,22,255.255.252.0,1024
45.9.112.0/22,45.9.112.0,45.9.115.255,22,255.255.252.0,1024
45.9.196.0/22,45.9.196.0,45.9.199.255,22,255.255.252.0,1024
45.9.204.0/22,45.9.204.0,45.9.207.255,22,255.255.252.0,1024
45.9.244.0/22,45.9.244.0,45.9.247.255,22,255.255.252.0,1024
45.10.8.0/22,45.10.8.0,45.10.11.255,22,255.255.252.0,1024
45.10.36.0/24,45.10.36.0,45.10.36.255,24,255.255.255.0,256
45.10.44.0/22,45.10.44.0,45.10.47.255,22,255.255.252.0,1024
45.10.120.0/22,45.10.120.0,45.10.123.255,22,255.255.252.0,1024
45.10.180.0/22,45.10.180.0,45.10.183.255,22,255.255.252.0,1024
45.10.224.0/22,45.10.224.0,45.10.227.255,22,255.255.252.0,1024
45.11.48.0/22,45.11.48.0,45.11.51.255,22,255.255.252.0,1024
45.11.68.0/22,45.11.68.0,45.11.71.255,22,255.255.252.0,1024
45.11.148.0/22,45.11.148.0,45.11.151.255,22,255.255.252.0,1024
45.11.156.0/22,45.11.156.0,45.11.159.255,22,255.255.252.0,1024
45.11.172.0/22,45.11.172.0,45.11.175.255,22,255.255.252.0,1024
45.11.197.0/24,45.11.197.0,45.11.197.255,24,255.255.255.0,256
45.11.208.0/22,45.11.208.0,45.11.211.255,22,255.255.252.0,1024
45.11.252.0/22,45.11.252.0,45.11.255.255,22,255.255.252.0,1024
45.12.184.0/22,45.12.184.0,45.12.187.255,22,255.255.252.0,1024
45.12.224.0/22,45.12.224.0,45.12.227.255,22,255.255.252.0,1024
45.13.32.0/22,45.13.32.0,45.13.35.255,22,255.255.252.0,1024
45.13.44.0/22,45.13.44.0,45.13.47.255,22,255.255.252.0,1024
45.13.48.0/22,45.13.48.0,45.13.51.255,22,255.255.252.0,1024
45.13.104.0/22,45.13.104.0,45.13.107.255,22,255.255.252.0,1024
45.13.112.0/22,45.13.112.0,45.13.115.255,22,255.255.252.0,1024
45.13.156.0/22,45.13.156.0,45.13.159.255,22,255.255.252.0,1024
45.13.172.0/22,45.13.172.0,45.13.175.255,22,255.255.252.0,1024
45.14.148.0/22,45.14.148.0,45.14.151.255,22,255.255.252.0,1024
45.14.176.0/22,45.14.176.0,45.14.179.255,22,255.255.252.0,1024
45.15.60.0/22,45.15.60.0,45.15.63.255,22,255.255.252.0,1024
45.15.204.0/22,45.15.204.0,45.15.207.255,22,255.255.252.0,1024
45.15.212.0/22,45.15.212.0,45.15.215.255,22,255.255.252.0,1024
45.15.220.0/22,45.15.220.0,45.15.223.255,22,255.255.252.0,1024
45.65.104.0/21,45.65.104.0,45.65.111.255,21,255.255.248.0,2048
45.66.108.0/22,45.66.108.0,45.66.111.255,22,255.255.252.0,1024
45.66.180.0/22,45.66.180.0,45.66.183.255,22,255.255.252.0,1024
45.67.64.0/22,45.67.64.0,45.67.67.255,22,255.255.252.0,1024
45.67.80.0/22,45.67.80.0,45.67.83.255,22,255.255.252.0,1024
45.67.240.0/22,45.67.240.0,45.67.243.255,22,255.255.252.0,1024
45.67.252.0/22,45.67.252.0,45.67.255.255,22,255.255.252.0,1024
45.80.0.0/22,45.80.0.0,45.80.3.255,22,255.255.252.0,1024
45.80.8.0/22,45.80.8.0,45.80.11.255,22,255.255.252.0,1024
45.80.20.0/22,45.80.20.0,45.80.23.255,22,255.255.252.0,1024
45.80.24.0/22,45.80.24.0,45.80.27.255,22,255.255.252.0,1024
45.80.32.0/22,45.80.32.0,45.80.35.255,22,255.255.252.0,1024
45.80.76.0/22,45.80.76.0,45.80.79.255,22,255.255.252.0,1024
45.80.252.0/22,45.80.252.0,45.80.255.255,22,255.255.252.0,1024
45.81.60.0/22,45.81.60.0,45.81.63.255,22,255.255.252.0,1024
45.81.80.0/21,45.81.80.0,45.81.87.255,21,255.255.248.0,2048
45.81.172.0/22,45.81.172.0,45.81.175.255,22,255.255.252.0,1024
45.81.192.0/21,45.81.192.0,45.81.199.255,21,255.255.248.0,2048
45.81.204.0/22,45.81.204.0,45.81.207.255,22,255.255.252.0,1024
45.81.208.0/21,45.81.208.0,45.81.215.255,21,255.255.248.0,2048
45.82.180.0/22,45.82.180.0,45.82.183.255,22,255.255.252.0,1024
45.82.208.0/22,45.82.208.0,45.82.211.255,22,255.255.252.0,1024
45.83.228.0/22,45.83.228.0,45.83.231.255,22,255.255.252.0,1024
45.84.52.0/22,45.84.52.0,45.84.55.255,22,255.255.252.0,1024
45.84.96.0/22,45.84.96.0,45.84.99.255,22,255.255.252.0,1024
45.84.112.0/22,45.84.112.0,45.84.115.255,22,255.255.252.0,1024
45.85.32.0/22,45.85.32.0,45.85.35.255,22,255.255.252.0,1024
45.85.44.0/22,45.85.44.0,45.85.47.255,22,255.255.252.0,1024
45.85.52.0/22,45.85.52.0,45.85.55.255,22,255.255.252.0,1024
45.85.80.0/22,45.85.80.0,45.85.83.255,22,255.255.252.0,1024
45.85.132.0/22,45.85.132.0,45.85.135.255,22,255.255.252.0,1024
45.85.176.0/22,45.85.176.0,45.85.179.255,22,255.255.252.0,1024
45.86.40.0/22,45.86.40.0,45.86.43.255,22,255.255.252.0,1024
45.86.96.0/21,45.86.96.0,45.86.103.255,21,255.255.248.0,2048
45.86.204.0/22,45.86.204.0,45.86.207.255,22,255.255.252.0,1024
45.87.56.0/22,45.87.56.0,45.87.59.255,22,255.255.252.0,1024
45.87.176.0/21,45.87.176.0,45.87.183.255,21,255.255.248.0,2048
45.88.68.0/22,45.88.68.0,45.88.71.255,22,255.255.252.0,1024
45.88.128.0/22,45.88.128.0,45.88.131.255,22,255.255.252.0,1024
45.88.140.0/22,45.88.140.0,45.88.143.255,22,255.255.252.0,1024
45.89.28.0/22,45.89.28.0,45.89.31.255,22,255.255.252.0,1024
45.89.76.0/22,45.89.76.0,45.89.79.255,22,255.255.252.0,1024
45.89.112.0/22,45.89.112.0,45.89.115.255,22,255.255.252.0,1024
45.89.152.0/22,45.89.152.0,45.89.155.255,22,255.255.252.0,1024
45.89.184.0/22,45.89.184.0,45.89.187.255,22,255.255.252.0,1024
45.90.136.0/22,45.90.136.0,45.90.139.255,22,255.255.252.0,1024
45.90.160.0/22,45.90.160.0,45.90.163.255,22,255.255.252.0,1024
45.90.192.0/22,45.90.192.0,45.90.195.255,22,255.255.252.0,1024
45.90.224.0/22,45.90.224.0,45.90.227.255,22,255.255.252.0,1024
45.91.40.0/22,45.91.40.0,45.91.43.255,22,255.255.252.0,1024
45.91.124.0/22,45.91.124.0,45.91.127.255,22,255.255.252.0,1024
45.91.144.0/22,45.91.144.0,45.91.147.255,22,255.255.252.0,1024
45.92.52.0/22,45.92.52.0,45.92.55.255,22,255.255.252.0,1024
45.92.64.0/22,45.92.64.0,45.92.67.255,22,255.255.252.0,1024
45.92.180.0/22,45.92.180.0,45.92.183.255,22,255.255.252.0,1024
45.92.200.0/22,45.92.200.0,45.92.203.255,22,255.255.252.0,1024
45.92.252.0/22,45.92.252.0,45.92.255.255,22,255.255.252.0,1024
45.93.21.0/24,45.93.21.0,45.93.21.255,24,255.255.255.0,256
45.93.144.0/22,45.93.144.0,45.93.147.255,22,255.255.252.0,1024
45.94.16.0/22,45.94.16.0,45.94.19.255,22,255.255.252.0,1024
45.94.124.0/22,45.94.124.0,45.94.127.255,22,255.255.252.0,1024
45.94.128.0/22,45.94.128.0,45.94.131.255,22,255.255.252.0,1024
45.94.224.0/22,45.94.224.0,45.94.227.255,22,255.255.252.0,1024
45.95.9.0/24,45.95.9.0,45.95.9.255,24,255.255.255.0,256
45.95.84.0/22,45.95.84.0,45.95.87.255,22,255.255.252.0,1024
45.95.116.0/22,45.95.116.0,45.95.119.255,22,255.255.252.0,1024
45.112.120.0/22,45.112.120.0,45.112.123.255,22,255.255.252.0,1024
45.112.192.0/22,45.112.192.0,45.112.195.255,22,255.255.252.0,1024
45.128.40.0/22,45.128.40.0,45.128.43.255,22,255.255.252.0,1024
45.128.112.0/22,45.128.112.0,45.128.115.255,22,255.255.252.0,1024
45.129.48.0/22,45.129.48.0,45.129.51.255,22,255.255.252.0,1024
45.129.108.0/22,45.129.108.0,45.129.111.255,22,255.255.252.0,1024
45.129.192.0/22,45.129.192.0,45.129.195.255,22,255.255.252.0,1024
