# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.78.240.0/22,41.78.240.0,41.78.243.255,22,255.255.252.0,1024
41.158.0.0/15,41.158.0.0,41.159.255.255,15,255.254.0.0,131072
41.211.128.0/18,41.211.128.0,41.211.191.255,18,255.255.192.0,16384
41.223.168.0/22,41.223.168.0,41.223.171.255,22,255.255.252.0,1024
102.129.32.0/22,102.129.32.0,102.129.35.255,22,255.255.252.0,1024
102.134.28.0/22,102.134.28.0,102.134.31.255,22,255.255.252.0,1024
102.135.164.0/22,102.135.164.0,102.135.167.255,22,255.255.252.0,1024
102.142.0.0/16,102.142.0.0,102.142.255.255,16,255.255.0.0,65536
102.164.124.0/22,102.164.124.0,102.164.127.255,22,255.255.252.0,1024
154.0.32.0/19,154.0.32.0,154.0.63.255,19,255.255.224.0,8192
154.0.176.0/20,154.0.176.0,154.0.191.255,20,255.255.240.0,4096
154.66.232.0/21,154.66.232.0,154.66.239.255,21,255.255.248.0,2048
154.112.0.0/16,154.112.0.0,154.112.255.255,16,255.255.0.0,65536
154.116.0.0/17,154.116.0.0,154.116.127.255,17,255.255.128.0,32768
154.119.192.0/19,154.119.192.0,154.119.223.255,19,255.255.224.0,8192
160.119.160.0/19,160.119.160.0,160.119.191.255,19,255.255.224.0,8192
169.159.0.0/18,169.159.0.0,169.159.63.255,18,255.255.192.0,16384
169.239.148.0/22,169.239.148.0,169.239.151.255,22,255.255.252.0,1024
169.255.148.0/22,169.255.148.0,169.255.151.255,22,255.255.252.0,1024
192.188.164.0/22,192.188.164.0,192.188.167.255,22,255.255.252.0,1024
192.189.139.0/24,192.189.139.0,192.189.139.255,24,255.255.255.0,256
192.189.140.0/24,192.189.140.0,192.189.140.255,24,255.255.255.0,256
196.49.17.0/24,196.49.17.0,196.49.17.255,24,255.255.255.0,256
196.50.32.0/23,196.50.32.0,196.50.33.255,23,255.255.254.0,512
196.223.39.0/24,196.223.39.0,196.223.39.255,24,255.255.255.0,256
197.231.64.0/18,197.231.64.0,197.231.127.255,18,255.255.192.0,16384
197.242.0.0/19,197.242.0.0,197.242.31.255,19,255.255.224.0,8192
217.77.64.0/20,217.77.64.0,217.77.79.255,20,255.255.240.0,4096
