# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.57.60.0/22,2.57.60.0,2.57.63.255,22,255.255.252.0,1024
2.57.216.0/22,2.57.216.0,2.57.219.255,22,255.255.252.0,1024
5.10.32.0/21,5.10.32.0,5.10.39.255,21,255.255.248.0,2048
5.44.128.0/21,5.44.128.0,5.44.135.255,21,255.255.248.0,2048
5.133.160.0/21,5.133.160.0,5.133.167.255,21,255.255.248.0,2048
5.152.0.0/17,5.152.0.0,5.152.127.255,17,255.255.128.0,32768
5.159.16.0/21,5.159.16.0,5.159.23.255,21,255.255.248.0,2048
5.178.128.0/17,5.178.128.0,5.178.255.255,17,255.255.128.0,32768
5.187.8.0/21,5.187.8.0,5.187.15.255,21,255.255.248.0,2048
5.255.57.0/24,5.255.57.0,5.255.57.255,24,255.255.255.0,256
5.255.61.0/24,5.255.61.0,5.255.61.255,24,255.255.255.0,256
5.255.62.0/23,5.255.62.0,5.255.63.255,23,255.255.254.0,512
23.252.66.0/23,23.252.66.0,23.252.67.255,23,255.255.254.0,512
23.252.68.0/24,23.252.68.0,23.252.68.255,24,255.255.255.0,256
23.252.71.0/24,23.252.71.0,23.252.71.255,24,255.255.255.0,256
23.252.75.0/24,23.252.75.0,23.252.75.255,24,255.255.255.0,256
23.252.76.0/24,23.252.76.0,23.252.76.255,24,255.255.255.0,256
23.252.79.0/24,23.252.79.0,23.252.79.255,24,255.255.255.0,256
31.146.0.0/16,31.146.0.0,31.146.255.255,16,255.255.0.0,65536
31.192.0.0/18,31.192.0.0,31.192.63.255,18,255.255.192.0,16384
31.222.234.0/24,31.222.234.0,31.222.234.255,24,255.255.255.0,256
37.46.104.0/21,37.46.104.0,37.46.111.255,21,255.255.248.0,2048
37.72.142.0/24,37.72.142.0,37.72.142.255,24,255.255.255.0,256
37.75.128.0/21,37.75.128.0,37.75.135.255,21,255.255.248.0,2048
37.110.160.0/19,37.110.160.0,37.110.191.255,19,255.255.224.0,8192
37.131.224.0/21,37.131.224.0,37.131.231.255,21,255.255.248.0,2048
37.140.253.0/24,37.140.253.0,37.140.253.255,24,255.255.255.0,256
37.143.152.0/21,37.143.152.0,37.143.159.255,21,255.255.248.0,2048
37.156.175.0/24,37.156.175.0,37.156.175.255,24,255.255.255.0,256
37.232.0.0/17,37.232.0.0,37.232.127.255,17,255.255.128.0,32768
