# CIDR,network(start) address,end address,prefix,subnet mask
45.11.144.0/22,45.11.144.0,45.11.147.255,22,255.255.252.0
45.135.252.0/22,45.135.252.0,45.135.255.255,22,255.255.252.0
46.31.240.0/21,46.31.240.0,46.31.247.255,21,255.255.248.0
46.235.128.0/21,46.235.128.0,46.235.135.255,21,255.255.248.0
78.41.0.0/21,78.41.0.0,78.41.7.255,21,255.255.248.0
92.43.208.0/21,92.43.208.0,92.43.215.255,21,255.255.248.0
93.187.0.0/21,93.187.0.0,93.187.7.255,21,255.255.248.0
93.189.160.0/21,93.189.160.0,93.189.167.255,21,255.255.248.0
185.37.76.0/22,185.37.76.0,185.37.79.255,22,255.255.252.0
185.85.253.0/24,185.85.253.0,185.85.253.255,24,255.255.255.0
185.104.200.0/22,185.104.200.0,185.104.203.255,22,255.255.252.0
185.110.36.0/22,185.110.36.0,185.110.39.255,22,255.255.252.0
185.143.248.0/22,185.143.248.0,185.143.251.255,22,255.255.252.0
185.159.16.0/22,185.159.16.0,185.159.19.255,22,255.255.252.0
185.201.0.0/22,185.201.0.0,185.201.3.255,22,255.255.252.0
193.104.140.0/24,193.104.140.0,193.104.140.255,24,255.255.255.0
194.9.2.0/23,194.9.2.0,194.9.3.255,23,255.255.254.0
194.116.244.0/23,194.116.244.0,194.116.245.255,23,255.255.254.0
194.145.126.0/24,194.145.126.0,194.145.126.255,24,255.255.255.0
195.226.128.0/19,195.226.128.0,195.226.159.255,19,255.255.224.0
213.163.192.0/19,213.163.192.0,213.163.223.255,19,255.255.224.0
