# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.66.192.0/18,41.66.192.0,41.66.255.255,18,255.255.192.0,16384
41.74.80.0/20,41.74.80.0,41.74.95.255,20,255.255.240.0,4096
41.75.48.0/20,41.75.48.0,41.75.63.255,20,255.255.240.0,4096
41.78.124.0/22,41.78.124.0,41.78.127.255,22,255.255.252.0,1024
41.79.96.0/22,41.79.96.0,41.79.99.255,22,255.255.252.0,1024
41.139.0.0/18,41.139.0.0,41.139.63.255,18,255.255.192.0,16384
41.155.0.0/17,41.155.0.0,41.155.127.255,17,255.255.128.0,32768
41.189.160.0/19,41.189.160.0,41.189.191.255,19,255.255.224.0,8192
41.190.68.0/22,41.190.68.0,41.190.71.255,22,255.255.252.0,1024
41.190.88.0/22,41.190.88.0,41.190.91.255,22,255.255.252.0,1024
41.191.96.0/22,41.191.96.0,41.191.99.255,22,255.255.252.0,1024
41.204.32.0/19,41.204.32.0,41.204.63.255,19,255.255.224.0,8192
41.207.252.0/22,41.207.252.0,41.207.255.255,22,255.255.252.0,1024
41.210.0.0/18,41.210.0.0,41.210.63.255,18,255.255.192.0,16384
41.211.0.0/19,41.211.0.0,41.211.31.255,19,255.255.224.0,8192
41.215.160.0/20,41.215.160.0,41.215.175.255,20,255.255.240.0,4096
41.218.192.0/18,41.218.192.0,41.218.255.255,18,255.255.192.0,16384
41.222.232.0/22,41.222.232.0,41.222.235.255,22,255.255.252.0,1024
41.242.112.0/22,41.242.112.0,41.242.115.255,22,255.255.252.0,1024
45.208.0.0/14,45.208.0.0,45.211.255.255,14,255.252.0.0,262144
45.221.24.0/24,45.221.24.0,45.221.24.255,24,255.255.255.0,256
45.222.48.0/20,45.222.48.0,45.222.63.255,20,255.255.240.0,4096
45.222.128.0/17,45.222.128.0,45.222.255.255,17,255.255.128.0,32768
80.87.64.0/19,80.87.64.0,80.87.95.255,19,255.255.224.0,8192
102.22.0.0/19,102.22.0.0,102.22.31.255,19,255.255.224.0,8192
102.23.112.0/22,102.23.112.0,102.23.115.255,22,255.255.252.0,1024
102.36.183.0/24,102.36.183.0,102.36.183.255,24,255.255.255.0,256
102.38.160.0/19,102.38.160.0,102.38.191.255,19,255.255.224.0,8192
102.64.8.0/21,102.64.8.0,102.64.15.255,21,255.255.248.0,2048
102.69.220.0/22,102.69.220.0,102.69.223.255,22,255.255.252.0,1024
102.69.246.0/23,102.69.246.0,102.69.247.255,23,255.255.254.0,512
102.131.16.0/24,102.131.16.0,102.131.16.255,24,255.255.255.0,256
102.134.130.0/23,102.134.130.0,102.134.131.255,23,255.255.254.0,512
102.135.188.0/24,102.135.188.0,102.135.188.255,24,255.255.255.0,256
102.164.123.0/24,102.164.123.0,102.164.123.255,24,255.255.255.0,256
102.176.0.0/17,102.176.0.0,102.176.127.255,17,255.255.128.0,32768
102.177.100.0/22,102.177.100.0,102.177.103.255,22,255.255.252.0,1024
102.208.160.0/22,102.208.160.0,102.208.163.255,22,255.255.252.0,1024
102.208.188.0/23,102.208.188.0,102.208.189.255,23,255.255.254.0,512
