# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.58.8.0/22,2.58.8.0,2.58.11.255,22,255.255.252.0,1024
5.150.152.0/22,5.150.152.0,5.150.155.255,22,255.255.252.0,1024
31.222.48.0/20,31.222.48.0,31.222.63.255,20,255.255.240.0,4096
45.88.36.0/22,45.88.36.0,45.88.39.255,22,255.255.252.0,1024
45.89.212.0/22,45.89.212.0,45.89.215.255,22,255.255.252.0,1024
45.94.8.0/22,45.94.8.0,45.94.11.255,22,255.255.252.0,1024
62.192.155.0/24,62.192.155.0,62.192.155.255,24,255.255.255.0,256
62.205.128.0/19,62.205.128.0,62.205.159.255,19,255.255.224.0,8192
80.92.200.0/22,80.92.200.0,80.92.203.255,22,255.255.252.0,1024
85.115.128.0/19,85.115.128.0,85.115.159.255,19,255.255.224.0,8192
85.159.120.0/21,85.159.120.0,85.159.127.255,21,255.255.248.0,2048
85.208.60.0/22,85.208.60.0,85.208.63.255,22,255.255.252.0,1024
91.109.248.0/21,91.109.248.0,91.109.255.255,21,255.255.248.0,2048
91.198.133.0/24,91.198.133.0,91.198.133.255,24,255.255.255.0,256
91.235.119.0/24,91.235.119.0,91.235.119.255,24,255.255.255.0,256
92.249.5.0/24,92.249.5.0,92.249.5.255,24,255.255.255.0,256
93.191.192.0/21,93.191.192.0,93.191.199.255,21,255.255.248.0,2048
94.26.93.0/24,94.26.93.0,94.26.93.255,24,255.255.255.0,256
94.26.95.0/24,94.26.95.0,94.26.95.255,24,255.255.255.0,256
94.26.97.0/24,94.26.97.0,94.26.97.255,24,255.255.255.0,256
94.26.98.0/23,94.26.98.0,94.26.99.255,23,255.255.254.0,512
94.26.101.0/24,94.26.101.0,94.26.101.255,24,255.255.255.0,256
94.26.103.0/24,94.26.103.0,94.26.103.255,24,255.255.255.0,256
94.26.109.0/24,94.26.109.0,94.26.109.255,24,255.255.255.0,256
94.131.0.0/21,94.131.0.0,94.131.7.255,21,255.255.248.0,2048
94.131.16.0/20,94.131.16.0,94.131.31.255,20,255.255.240.0,4096
94.131.32.0/19,94.131.32.0,94.131.63.255,19,255.255.224.0,8192
94.131.64.0/19,94.131.64.0,94.131.95.255,19,255.255.224.0,8192
94.131.96.0/20,94.131.96.0,94.131.111.255,20,255.255.240.0,4096
94.131.120.0/21,94.131.120.0,94.131.127.255,21,255.255.248.0,2048
94.131.128.0/18,94.131.128.0,94.131.191.255,18,255.255.192.0,16384
94.131.224.0/20,94.131.224.0,94.131.239.255,20,255.255.240.0,4096
94.190.196.0/22,94.190.196.0,94.190.199.255,22,255.255.252.0,1024
95.131.184.0/21,95.131.184.0,95.131.191.255,21,255.255.248.0,2048
95.164.0.0/16,95.164.0.0,95.164.255.255,16,255.255.0.0,65536
104.255.128.0/21,104.255.128.0,104.255.135.255,21,255.255.248.0,2048
