# CIDR,network(start) address,end address,prefix,subnet mask
37.18.44.0/22,37.18.44.0,37.18.47.255,22,255.255.252.0
37.230.164.0/22,37.230.164.0,37.230.167.255,22,255.255.252.0
37.230.214.0/23,37.230.214.0,37.230.215.255,23,255.255.254.0
37.230.216.0/22,37.230.216.0,37.230.219.255,22,255.255.252.0
37.230.220.0/23,37.230.220.0,37.230.221.255,23,255.255.254.0
46.16.16.0/21,46.16.16.0,46.16.23.255,21,255.255.248.0
46.243.151.0/24,46.243.151.0,46.243.151.255,24,255.255.255.0
88.83.0.0/19,88.83.0.0,88.83.31.255,19,255.255.224.0
128.0.70.0/24,128.0.70.0,128.0.70.255,24,255.255.255.0
178.170.132.0/22,178.170.132.0,178.170.135.255,22,255.255.252.0
178.170.147.0/24,178.170.147.0,178.170.147.255,24,255.255.255.0
178.170.160.0/22,178.170.160.0,178.170.163.255,22,255.255.252.0
178.170.199.0/24,178.170.199.0,178.170.199.255,24,255.255.255.0
178.170.200.0/22,178.170.200.0,178.170.203.255,22,255.255.252.0
178.170.204.0/23,178.170.204.0,178.170.205.255,23,255.255.254.0
178.170.210.0/23,178.170.210.0,178.170.211.255,23,255.255.254.0
178.170.212.0/22,178.170.212.0,178.170.215.255,22,255.255.252.0
178.170.216.0/24,178.170.216.0,178.170.216.255,24,255.255.255.0
185.18.188.0/22,185.18.188.0,185.18.191.255,22,255.255.252.0
185.21.228.0/22,185.21.228.0,185.21.231.255,22,255.255.252.0
185.57.160.0/22,185.57.160.0,185.57.163.255,22,255.255.252.0
185.93.20.0/22,185.93.20.0,185.93.23.255,22,255.255.252.0
185.157.200.0/22,185.157.200.0,185.157.203.255,22,255.255.252.0
188.72.71.0/24,188.72.71.0,188.72.71.255,24,255.255.255.0
194.177.224.0/19,194.177.224.0,194.177.255.255,19,255.255.224.0
