# CIDR,network(start) address,end address,prefix,subnet mask
41.76.8.0/21,41.76.8.0,41.76.15.255,21,255.255.248.0
41.223.212.0/22,41.223.212.0,41.223.215.255,22,255.255.252.0
102.69.160.0/22,102.69.160.0,102.69.163.255,22,255.255.252.0
102.140.128.0/19,102.140.128.0,102.140.159.255,19,255.255.224.0
102.211.244.0/22,102.211.244.0,102.211.247.255,22,255.255.252.0
102.213.220.0/22,102.213.220.0,102.213.223.255,22,255.255.252.0
102.216.248.0/22,102.216.248.0,102.216.251.255,22,255.255.252.0
102.221.64.0/22,102.221.64.0,102.221.67.255,22,255.255.252.0
146.196.128.0/17,146.196.128.0,146.196.255.255,17,255.255.128.0
155.251.0.0/16,155.251.0.0,155.251.255.255,16,255.255.0.0
160.182.0.0/15,160.182.0.0,160.183.255.255,15,255.254.0.0
196.46.232.0/21,196.46.232.0,196.46.239.255,21,255.255.248.0
196.49.1.0/24,196.49.1.0,196.49.1.255,24,255.255.255.0
196.223.34.0/24,196.223.34.0,196.223.34.255,24,255.255.255.0
196.223.144.0/21,196.223.144.0,196.223.151.255,21,255.255.248.0
197.148.72.0/21,197.148.72.0,197.148.79.255,21,255.255.248.0
197.231.128.0/21,197.231.128.0,197.231.135.255,21,255.255.248.0
197.231.204.0/22,197.231.204.0,197.231.207.255,22,255.255.252.0
197.242.128.0/20,197.242.128.0,197.242.143.255,20,255.255.240.0
197.255.192.0/20,197.255.192.0,197.255.207.255,20,255.255.240.0
212.60.64.0/19,212.60.64.0,212.60.95.255,19,255.255.224.0
