# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
5.187.96.0/19,5.187.96.0,5.187.127.255,19,255.255.224.0,8192
46.238.128.0/18,46.238.128.0,46.238.191.255,18,255.255.192.0,16384
93.121.128.0/17,93.121.128.0,93.121.255.255,17,255.255.128.0,32768
95.138.0.0/17,95.138.0.0,95.138.127.255,17,255.255.128.0,32768
104.250.0.0/19,104.250.0.0,104.250.31.255,19,255.255.224.0,8192
107.191.208.0/20,107.191.208.0,107.191.223.255,20,255.255.240.0,4096
185.29.48.0/22,185.29.48.0,185.29.51.255,22,255.255.252.0,1024
193.218.114.0/24,193.218.114.0,193.218.114.255,24,255.255.255.0,256
199.91.160.0/22,199.91.160.0,199.91.163.255,22,255.255.252.0,1024
207.90.254.0/23,207.90.254.0,207.90.255.255,23,255.255.254.0,512
208.72.228.0/22,208.72.228.0,208.72.231.255,22,255.255.252.0,1024
208.79.96.0/22,208.79.96.0,208.79.99.255,22,255.255.252.0,1024
208.94.168.0/22,208.94.168.0,208.94.171.255,22,255.255.252.0,1024
213.16.0.0/19,213.16.0.0,213.16.31.255,19,255.255.224.0,8192
213.188.160.0/19,213.188.160.0,213.188.191.255,19,255.255.224.0,8192
