# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
41.79.48.0/22,41.79.48.0,41.79.51.255,22,255.255.252.0,1024
41.222.112.0/21,41.222.112.0,41.222.119.255,21,255.255.248.0,2048
102.164.248.0/21,102.164.248.0,102.164.255.255,21,255.255.248.0,2048
102.213.52.0/23,102.213.52.0,102.213.53.255,23,255.255.254.0,512
102.223.24.0/22,102.223.24.0,102.223.27.255,22,255.255.252.0,1024
105.235.224.0/20,105.235.224.0,105.235.239.255,20,255.255.240.0,4096
164.160.84.0/22,164.160.84.0,164.160.87.255,22,255.255.252.0,1024
169.239.112.0/22,169.239.112.0,169.239.115.255,22,255.255.252.0,1024
196.251.240.0/22,196.251.240.0,196.251.243.255,22,255.255.252.0,1024
197.214.64.0/20,197.214.64.0,197.214.79.255,20,255.255.240.0,4096
