# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
2.84.0.0/14,2.84.0.0,2.87.255.255,14,255.252.0.0,262144
5.54.0.0/15,5.54.0.0,5.55.255.255,15,255.254.0.0,131072
5.144.192.0/18,5.144.192.0,5.144.255.255,18,255.255.192.0,16384
5.172.192.0/20,5.172.192.0,5.172.207.255,20,255.255.240.0,4096
5.203.0.0/16,5.203.0.0,5.203.255.255,16,255.255.0.0,65536
31.14.168.0/21,31.14.168.0,31.14.175.255,21,255.255.248.0,2048
31.14.208.0/21,31.14.208.0,31.14.215.255,21,255.255.248.0,2048
31.14.240.0/21,31.14.240.0,31.14.247.255,21,255.255.248.0,2048
31.22.112.0/21,31.22.112.0,31.22.119.255,21,255.255.248.0,2048
31.152.0.0/16,31.152.0.0,31.152.255.255,16,255.255.0.0,65536
31.177.56.0/21,31.177.56.0,31.177.63.255,21,255.255.248.0,2048
31.186.104.0/21,31.186.104.0,31.186.111.255,21,255.255.248.0,2048
31.193.104.0/22,31.193.104.0,31.193.107.255,22,255.255.252.0,1024
31.217.160.0/19,31.217.160.0,31.217.191.255,19,255.255.224.0,8192
37.6.0.0/16,37.6.0.0,37.6.255.255,16,255.255.0.0,65536
37.32.128.0/17,37.32.128.0,37.32.255.255,17,255.255.128.0,32768
37.99.192.0/21,37.99.192.0,37.99.199.255,21,255.255.248.0,2048
37.153.144.0/21,37.153.144.0,37.153.151.255,21,255.255.248.0,2048
37.153.160.0/21,37.153.160.0,37.153.167.255,21,255.255.248.0,2048
45.56.224.0/19,45.56.224.0,45.56.255.255,19,255.255.224.0,8192
45.66.40.0/22,45.66.40.0,45.66.43.255,22,255.255.252.0,1024
45.66.124.0/22,45.66.124.0,45.66.127.255,22,255.255.252.0,1024
45.66.184.0/22,45.66.184.0,45.66.187.255,22,255.255.252.0,1024
45.83.44.0/22,45.83.44.0,45.83.47.255,22,255.255.252.0,1024
45.139.212.0/22,45.139.212.0,45.139.215.255,22,255.255.252.0,1024
45.153.180.0/22,45.153.180.0,45.153.183.255,22,255.255.252.0,1024
45.159.24.0/22,45.159.24.0,45.159.27.255,22,255.255.252.0,1024
45.159.232.0/22,45.159.232.0,45.159.235.255,22,255.255.252.0,1024
46.12.0.0/16,46.12.0.0,46.12.255.255,16,255.255.0.0,65536
46.20.96.0/20,46.20.96.0,46.20.111.255,20,255.255.240.0,4096
46.103.0.0/16,46.103.0.0,46.103.255.255,16,255.255.0.0,65536
46.176.0.0/15,46.176.0.0,46.177.255.255,15,255.254.0.0,131072
46.183.16.0/21,46.183.16.0,46.183.23.255,21,255.255.248.0,2048
46.190.0.0/17,46.190.0.0,46.190.127.255,17,255.255.128.0,32768
46.198.128.0/17,46.198.128.0,46.198.255.255,17,255.255.128.0,32768
46.226.192.0/21,46.226.192.0,46.226.199.255,21,255.255.248.0,2048
46.227.56.0/21,46.227.56.0,46.227.63.255,21,255.255.248.0,2048
46.245.136.0/21,46.245.136.0,46.245.143.255,21,255.255.248.0,2048
46.246.128.0/17,46.246.128.0,46.246.255.255,17,255.255.128.0,32768
62.1.0.0/16,62.1.0.0,62.1.255.255,16,255.255.0.0,65536
62.38.0.0/16,62.38.0.0,62.38.255.255,16,255.255.0.0,65536
62.74.0.0/16,62.74.0.0,62.74.255.255,16,255.255.0.0,65536
62.75.0.0/17,62.75.0.0,62.75.127.255,17,255.255.128.0,32768
62.103.0.0/16,62.103.0.0,62.103.255.255,16,255.255.0.0,65536
62.169.192.0/18,62.169.192.0,62.169.255.255,18,255.255.192.0,16384
62.192.64.0/19,62.192.64.0,62.192.95.255,19,255.255.224.0,8192
62.205.32.0/19,62.205.32.0,62.205.63.255,19,255.255.224.0,8192
62.217.64.0/18,62.217.64.0,62.217.127.255,18,255.255.192.0,16384
72.46.154.0/23,72.46.154.0,72.46.155.255,23,255.255.254.0,512
77.49.0.0/16,77.49.0.0,77.49.255.255,16,255.255.0.0,65536
77.69.0.0/17,77.69.0.0,77.69.127.255,17,255.255.128.0,32768
78.87.0.0/16,78.87.0.0,78.87.255.255,16,255.255.0.0,65536
78.108.32.0/20,78.108.32.0,78.108.47.255,20,255.255.240.0,4096
79.103.0.0/16,79.103.0.0,79.103.255.255,16,255.255.0.0,65536
79.107.0.0/16,79.107.0.0,79.107.255.255,16,255.255.0.0,65536
79.128.0.0/14,79.128.0.0,79.131.255.255,14,255.252.0.0,262144
79.166.0.0/15,79.166.0.0,79.167.255.255,15,255.254.0.0,131072
80.106.0.0/15,80.106.0.0,80.107.255.255,15,255.254.0.0,131072
80.245.160.0/20,80.245.160.0,80.245.175.255,20,255.255.240.0,4096
81.92.48.0/20,81.92.48.0,81.92.63.255,20,255.255.240.0,4096
81.186.0.0/17,81.186.0.0,81.186.127.255,17,255.255.128.0,32768
81.186.128.0/18,81.186.128.0,81.186.191.255,18,255.255.192.0,16384
81.186.192.0/19,81.186.192.0,81.186.223.255,19,255.255.224.0,8192
83.97.37.0/24,83.97.37.0,83.97.37.255,24,255.255.255.0,256
83.174.148.0/22,83.174.148.0,83.174.151.255,22,255.255.252.0,1024
83.174.152.0/21,83.174.152.0,83.174.159.255,21,255.255.248.0,2048
83.212.0.0/16,83.212.0.0,83.212.255.255,16,255.255.0.0,65536
83.235.0.0/16,83.235.0.0,83.235.255.255,16,255.255.0.0,65536
84.205.192.0/18,84.205.192.0,84.205.255.255,18,255.255.192.0,16384
84.254.0.0/18,84.254.0.0,84.254.63.255,18,255.255.192.0,16384
85.72.0.0/14,85.72.0.0,85.75.255.255,14,255.252.0.0,262144
85.204.64.0/22,85.204.64.0,85.204.67.255,22,255.255.252.0,1024
85.209.236.0/22,85.209.236.0,85.209.239.255,22,255.255.252.0,1024
86.104.68.0/22,86.104.68.0,86.104.71.255,22,255.255.252.0,1024
86.104.120.0/22,86.104.120.0,86.104.123.255,22,255.255.252.0,1024
86.105.188.0/22,86.105.188.0,86.105.191.255,22,255.255.252.0,1024
86.105.200.0/22,86.105.200.0,86.105.203.255,22,255.255.252.0,1024
86.105.248.0/22,86.105.248.0,86.105.251.255,22,255.255.252.0,1024
86.106.173.0/24,86.106.173.0,86.106.173.255,24,255.255.255.0,256
87.202.0.0/15,87.202.0.0,87.203.255.255,15,255.254.0.0,131072
87.239.232.0/21,87.239.232.0,87.239.239.255,21,255.255.248.0,2048
88.197.0.0/17,88.197.0.0,88.197.127.255,17,255.255.128.0,32768
89.31.176.0/21,89.31.176.0,89.31.183.255,21,255.255.248.0,2048
89.32.208.0/21,89.32.208.0,89.32.215.255,21,255.255.248.0,2048
89.38.105.0/24,89.38.105.0,89.38.105.255,24,255.255.255.0,256
89.43.56.0/22,89.43.56.0,89.43.59.255,22,255.255.252.0,1024
89.43.184.0/22,89.43.184.0,89.43.187.255,22,255.255.252.0,1024
89.44.72.0/22,89.44.72.0,89.44.75.255,22,255.255.252.0,1024
89.44.92.0/22,89.44.92.0,89.44.95.255,22,255.255.252.0,1024
89.44.96.0/22,89.44.96.0,89.44.99.255,22,255.255.252.0,1024
