# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
24.152.52.0/22,24.152.52.0,24.152.55.255,22,255.255.252.0,1024
45.4.128.0/22,45.4.128.0,45.4.131.255,22,255.255.252.0,1024
45.5.116.0/22,45.5.116.0,45.5.119.255,22,255.255.252.0,1024
45.68.4.0/22,45.68.4.0,45.68.7.255,22,255.255.252.0,1024
45.68.48.0/22,45.68.48.0,45.68.51.255,22,255.255.252.0,1024
45.164.148.0/22,45.164.148.0,45.164.151.255,22,255.255.252.0,1024
45.165.152.0/24,45.165.152.0,45.165.152.255,24,255.255.255.0,256
45.166.240.0/22,45.166.240.0,45.166.243.255,22,255.255.252.0,1024
45.171.64.0/22,45.171.64.0,45.171.67.255,22,255.255.252.0,1024
45.173.216.0/22,45.173.216.0,45.173.219.255,22,255.255.252.0,1024
45.179.198.0/24,45.179.198.0,45.179.198.255,24,255.255.255.0,256
45.181.43.0/24,45.181.43.0,45.181.43.255,24,255.255.255.0,256
45.183.220.0/23,45.183.220.0,45.183.221.255,23,255.255.254.0,512
45.186.104.0/22,45.186.104.0,45.186.107.255,22,255.255.252.0,1024
45.188.0.0/22,45.188.0.0,45.188.3.255,22,255.255.252.0,1024
45.188.58.0/24,45.188.58.0,45.188.58.255,24,255.255.255.0,256
45.191.244.0/22,45.191.244.0,45.191.247.255,22,255.255.252.0,1024
45.226.176.0/22,45.226.176.0,45.226.179.255,22,255.255.252.0,1024
45.228.232.0/22,45.228.232.0,45.228.235.255,22,255.255.252.0,1024
45.229.40.0/22,45.229.40.0,45.229.43.255,22,255.255.252.0,1024
45.229.128.0/22,45.229.128.0,45.229.131.255,22,255.255.252.0,1024
45.233.64.0/22,45.233.64.0,45.233.67.255,22,255.255.252.0,1024
103.111.40.0/22,103.111.40.0,103.111.43.255,22,255.255.252.0,1024
103.205.232.0/22,103.205.232.0,103.205.235.255,22,255.255.252.0,1024
109.104.148.0/22,109.104.148.0,109.104.151.255,22,255.255.252.0,1024
138.94.144.0/22,138.94.144.0,138.94.147.255,22,255.255.252.0,1024
138.94.252.0/22,138.94.252.0,138.94.255.255,22,255.255.252.0,1024
138.117.140.0/22,138.117.140.0,138.117.143.255,22,255.255.252.0,1024
138.117.228.0/22,138.117.228.0,138.117.231.255,22,255.255.252.0,1024
138.118.104.0/22,138.118.104.0,138.118.107.255,22,255.255.252.0,1024
143.208.56.0/22,143.208.56.0,143.208.59.255,22,255.255.252.0,1024
143.208.180.0/22,143.208.180.0,143.208.183.255,22,255.255.252.0,1024
148.230.16.0/20,148.230.16.0,148.230.31.255,20,255.255.240.0,4096
167.250.220.0/22,167.250.220.0,167.250.223.255,22,255.255.252.0,1024
168.194.72.0/22,168.194.72.0,168.194.75.255,22,255.255.252.0,1024
168.227.128.0/22,168.227.128.0,168.227.131.255,22,255.255.252.0,1024
168.232.76.0/22,168.232.76.0,168.232.79.255,22,255.255.252.0,1024
168.234.0.0/16,168.234.0.0,168.234.255.255,16,255.255.0.0,65536
170.80.20.0/22,170.80.20.0,170.80.23.255,22,255.255.252.0,1024
170.150.28.0/22,170.150.28.0,170.150.31.255,22,255.255.252.0,1024
170.239.56.0/22,170.239.56.0,170.239.59.255,22,255.255.252.0,1024
179.0.192.0/24,179.0.192.0,179.0.192.255,24,255.255.255.0,256
179.60.224.0/22,179.60.224.0,179.60.227.255,22,255.255.252.0,1024
181.114.0.0/19,181.114.0.0,181.114.31.255,19,255.255.224.0,8192
181.174.64.0/18,181.174.64.0,181.174.127.255,18,255.255.192.0,16384
181.189.27.0/24,181.189.27.0,181.189.27.255,24,255.255.255.0,256
181.189.128.0/19,181.189.128.0,181.189.159.255,19,255.255.224.0,8192
181.209.128.0/17,181.209.128.0,181.209.255.255,17,255.255.128.0,32768
181.233.62.0/23,181.233.62.0,181.233.63.255,23,255.255.254.0,512
186.64.104.0/21,186.64.104.0,186.64.111.255,21,255.255.248.0,2048
186.151.0.0/18,186.151.0.0,186.151.63.255,18,255.255.192.0,16384
186.151.64.0/20,186.151.64.0,186.151.79.255,20,255.255.240.0,4096
186.151.80.0/21,186.151.80.0,186.151.87.255,21,255.255.248.0,2048
186.151.88.0/22,186.151.88.0,186.151.91.255,22,255.255.252.0,1024
186.151.92.0/23,186.151.92.0,186.151.93.255,23,255.255.254.0,512
186.151.95.0/24,186.151.95.0,186.151.95.255,24,255.255.255.0,256
186.151.112.0/20,186.151.112.0,186.151.127.255,20,255.255.240.0,4096
186.151.128.0/17,186.151.128.0,186.151.255.255,17,255.255.128.0,32768
186.189.192.0/19,186.189.192.0,186.189.223.255,19,255.255.224.0,8192
190.0.192.0/19,190.0.192.0,190.0.223.255,19,255.255.224.0,8192
190.4.0.0/18,190.4.0.0,190.4.63.255,18,255.255.192.0,16384
