# CIDR,network(start) address,end address,prefix,subnet mask,number of addresses
43.240.88.0/22,43.240.88.0,43.240.91.255,22,255.255.252.0,1024
43.247.60.0/22,43.247.60.0,43.247.63.255,22,255.255.252.0,1024
49.128.104.0/22,49.128.104.0,49.128.107.255,22,255.255.252.0,1024
101.99.128.0/17,101.99.128.0,101.99.255.255,17,255.255.128.0,32768
103.3.240.0/22,103.3.240.0,103.3.243.255,22,255.255.252.0,1024
103.7.100.0/22,103.7.100.0,103.7.103.255,22,255.255.252.0,1024
103.17.112.0/22,103.17.112.0,103.17.115.255,22,255.255.252.0,1024
103.115.192.0/23,103.115.192.0,103.115.193.255,23,255.255.254.0,512
103.212.24.0/22,103.212.24.0,103.212.27.255,22,255.255.252.0,1024
114.142.192.0/18,114.142.192.0,114.142.255.255,18,255.255.192.0,16384
116.68.0.0/19,116.68.0.0,116.68.31.255,19,255.255.224.0,8192
117.20.120.0/21,117.20.120.0,117.20.127.255,21,255.255.248.0,2048
121.55.192.0/18,121.55.192.0,121.55.255.255,18,255.255.192.0,16384
139.5.136.0/22,139.5.136.0,139.5.139.255,22,255.255.252.0,1024
168.123.0.0/16,168.123.0.0,168.123.255.255,16,255.255.0.0,65536
182.173.192.0/18,182.173.192.0,182.173.255.255,18,255.255.192.0,16384
192.149.202.0/24,192.149.202.0,192.149.202.255,24,255.255.255.0,256
202.22.176.0/20,202.22.176.0,202.22.191.255,20,255.255.240.0,4096
202.47.144.0/20,202.47.144.0,202.47.159.255,20,255.255.240.0,4096
202.123.128.0/19,202.123.128.0,202.123.159.255,19,255.255.224.0,8192
202.128.0.0/19,202.128.0.0,202.128.31.255,19,255.255.224.0,8192
202.128.64.0/19,202.128.64.0,202.128.95.255,19,255.255.224.0,8192
202.131.160.0/19,202.131.160.0,202.131.191.255,19,255.255.224.0,8192
202.151.64.0/19,202.151.64.0,202.151.95.255,19,255.255.224.0,8192
203.95.8.0/21,203.95.8.0,203.95.15.255,21,255.255.248.0,2048
203.215.52.0/22,203.215.52.0,203.215.55.255,22,255.255.252.0,1024
