# CIDR,network(start) address,end address,prefix,subnet mask
138.94.248.0/22,138.94.248.0,138.94.251.255,22,255.255.252.0
168.232.144.0/22,168.232.144.0,168.232.147.255,22,255.255.252.0
179.51.205.0/24,179.51.205.0,179.51.205.255,24,255.255.255.0
181.41.64.0/18,181.41.64.0,181.41.127.255,18,255.255.192.0
181.177.216.0/22,181.177.216.0,181.177.219.255,22,255.255.252.0
181.199.224.0/19,181.199.224.0,181.199.255.255,19,255.255.224.0
190.80.0.0/17,190.80.0.0,190.80.127.255,17,255.255.128.0
190.93.36.0/22,190.93.36.0,190.93.39.255,22,255.255.252.0
190.105.156.0/22,190.105.156.0,190.105.159.255,22,255.255.252.0
190.108.196.0/22,190.108.196.0,190.108.199.255,22,255.255.252.0
190.108.200.0/21,190.108.200.0,190.108.207.255,21,255.255.248.0
190.108.208.0/21,190.108.208.0,190.108.215.255,21,255.255.248.0
190.124.220.0/22,190.124.220.0,190.124.223.255,22,255.255.252.0
